Time,CPU Usage
43475.276666,22.9
43475.276713,13.7
43475.276759,12.1
43475.276805,11.5
43475.276851,9.8
43475.276898,13.1
43475.276944,9.7
43475.276990,12.0
43475.277037,9.0
43475.277083,10.1
43475.277129,8.8
43475.277175,9.6
43475.277222,9.3
43475.277268,9.5
43475.277314,8.7
43475.277361,8.8
43475.277407,9.1
43475.277453,7.9
43475.277499,9.0
43475.277546,9.7
43475.277592,9.1
43475.277638,8.6
43475.277685,9.0
43475.277731,8.7
43475.277777,9.2
43475.277824,9.3
43475.277870,9.3
43475.277916,9.2
43475.277962,8.8
43475.278009,9.4
43475.278055,8.9
43475.278101,9.2
43475.278148,9.3
43475.278194,9.0
43475.278240,8.9
43475.278286,9.2
43475.278333,9.1
43475.278379,8.7
43475.278425,9.4
43475.278472,9.5
43475.278518,9.1
43475.278564,9.1
43475.278611,10.0
43475.278657,8.9
43475.278703,9.2
43475.278749,9.1
43475.278796,8.8
43475.278842,9.0
43475.278888,8.5
43475.278935,8.4
43475.278981,8.8
43475.279027,8.9
43475.279074,8.6
43475.279120,9.0
43475.279166,8.7
43475.279212,9.2
43475.279259,9.2
43475.279305,9.3
43475.279351,9.1
43475.279398,9.3
43475.279444,9.0
43475.279490,9.0
43475.279537,8.7
43475.279583,8.5
43475.279629,8.3
43475.279675,9.9
43475.279722,8.9
43475.279768,9.0
43475.279814,9.1
43475.279861,9.2
43475.279907,8.8
43475.279953,8.9
43475.280000,9.7
43475.280046,8.9
43475.280092,9.0
43475.280138,8.8
43475.280185,8.9
43475.280231,9.2
43475.280277,9.6
43475.280324,8.9
43475.280370,8.9
43475.280416,9.1
43475.280462,9.1
43475.280509,8.1
43475.280555,8.4
43475.280601,9.2
43475.280648,8.6
43475.280694,8.6
43475.280740,9.0
43475.280787,9.0
43475.280833,8.5
43475.280879,9.7
43475.280925,8.5
43475.280972,8.4
43475.281018,8.9
43475.281064,8.9
43475.281111,8.9
43475.281157,8.6
43475.281203,8.6
43475.281250,8.6
43475.281296,9.8
43475.281342,8.8
43475.281388,8.6
43475.281435,8.8
43475.281481,8.6
43475.281527,8.3
43475.281574,8.6
43475.281620,9.0
43475.281666,8.6
43475.281712,9.3
43475.281759,8.6
43475.281805,9.0
43475.281851,8.8
43475.281898,8.6
43475.281944,9.3
43475.281990,8.5
43475.282037,9.0
43475.282083,8.4
43475.282129,8.4
43475.282175,8.6
43475.282222,8.8
43475.282268,8.6
43475.282314,7.7
43475.282361,8.6
43475.282407,8.2
43475.282453,8.5
43475.282500,8.1
43475.282546,8.0
43475.282592,7.9
43475.282638,7.7
43475.282685,8.6
43475.282731,8.5
43475.282777,8.4
43475.282824,8.4
43475.282870,8.8
43475.282916,7.6
43475.282962,8.8
43475.283009,8.5
43475.283055,7.7
43475.283101,7.9
43475.283148,8.4
43475.283194,8.1
43475.283240,8.6
43475.283287,8.3
43475.283333,7.9
43475.283379,8.6
43475.283425,8.7
43475.283472,8.7
43475.283518,8.4
43475.283564,9.6
