Time,Used,Committed,Max
43475.276623,178760464,383778816,2036334592
43475.276666,56318464,383778816,2036334592
43475.276712,155933184,383778816,2036334592
43475.276759,38958040,383778816,2036334592
43475.276805,138572760,383778816,2036334592
43475.276851,238187480,383778816,2036334592
43475.276897,122862600,383778816,2036334592
43475.276944,222477320,383778816,2036334592
43475.276990,106594048,383778816,2036334592
43475.277036,205160192,383778816,2036334592
43475.277083,88776144,383778816,2036334592
43475.277129,188390864,383778816,2036334592
43475.277175,72063168,383778816,2036334592
43475.277222,171677888,383778816,2036334592
43475.277268,55640040,383778816,2036334592
43475.277314,156303336,383778816,2036334592
43475.277360,34525248,383778816,2036334592
43475.277407,135188544,383778816,2036334592
43475.277453,230608960,383778816,2036334592
43475.277499,108149248,383778816,2036334592
43475.277546,208812544,383778816,2036334592
43475.277592,85374456,383778816,2036334592
43475.277638,186037752,383778816,2036334592
43475.277685,62022480,383778816,2036334592
43475.277731,162685776,383778816,2036334592
43475.277777,39276480,383778816,2036334592
43475.277823,139939776,383778816,2036334592
43475.277870,241651648,383778816,2036334592
43475.277916,117880760,383778816,2036334592
43475.277962,218544056,383778816,2036334592
43475.278009,96362336,383778816,2036334592
43475.278055,198074208,383778816,2036334592
43475.278101,73437328,383778816,2036334592
43475.278147,175149200,383778816,2036334592
43475.278194,51428016,383778816,2036334592
43475.278240,152091312,383778816,2036334592
43475.278286,252754608,383778816,2036334592
43475.278333,128216992,383778816,2036334592
43475.278379,229928864,383778816,2036334592
43475.278425,105152224,383778816,2036334592
43475.278472,206864096,383778816,2036334592
43475.278518,82311728,383778816,2036334592
43475.278564,182975024,383778816,2036334592
43475.278610,59382976,383778816,2036334592
43475.278657,160046272,383778816,2036334592
43475.278703,260709568,383778816,2036334592
43475.278749,137244480,383778816,2036334592
43475.278796,237907776,383778816,2036334592
43475.278842,114225872,383778816,2036334592
43475.278888,215937744,383778816,2036334592
43475.278935,92373392,383778816,2036334592
43475.278981,194085264,383778816,2036334592
43475.279027,70622592,383778816,2036334592
43475.279073,172334464,383778816,2036334592
43475.279120,48646840,383778816,2036334592
43475.279166,150358712,383778816,2036334592
43475.279212,251022008,383778816,2036334592
43475.279259,126388880,383778816,2036334592
43475.279305,228100752,383778816,2036334592
43475.279351,103474736,383778816,2036334592
43475.279398,205186608,383778816,2036334592
43475.279444,80442528,383778816,2036334592
43475.279490,181105824,383778816,2036334592
43475.279536,57527376,383778816,2036334592
43475.279583,158190672,383778816,2036334592
43475.279629,258853968,383778816,2036334592
43475.279675,134219744,383778816,2036334592
43475.279722,234883040,383778816,2036334592
43475.279768,110478656,383778816,2036334592
43475.279814,211141952,383778816,2036334592
43475.279860,86408544,383778816,2036334592
43475.279907,188120416,383778816,2036334592
43475.279953,63605984,383778816,2036334592
43475.279999,164269280,383778816,2036334592
43475.280046,40691584,383778816,2036334592
43475.280092,141354880,383778816,2036334592
43475.280138,242018176,383778816,2036334592
43475.280185,118210256,383778816,2036334592
43475.280231,218873552,383778816,2036334592
43475.280277,95407776,383778816,2036334592
43475.280323,195022496,383778816,2036334592
43475.280370,71445560,383778816,2036334592
43475.280416,173157432,383778816,2036334592
43475.280462,48642400,383778816,2036334592
43475.280509,149305696,383778816,2036334592
43475.280555,249968992,383778816,2036334592
43475.280601,126399872,383778816,2036334592
43475.280648,227063168,383778816,2036334592
43475.280694,103485664,383778816,2036334592
43475.280740,204148960,383778816,2036334592
43475.280786,79410352,383778816,2036334592
43475.280833,181122224,383778816,2036334592
43475.280879,56494704,383778816,2036334592
43475.280925,158206576,383778816,2036334592
43475.280972,257821296,383778816,2036334592
43475.281018,134250840,383778816,2036334592
43475.281064,234914136,383778816,2036334592
43475.281111,111336144,383778816,2036334592
43475.281157,213048016,383778816,2036334592
43475.281203,87373080,383778816,2036334592
43475.281249,188036376,383778816,2036334592
43475.281296,64459232,383778816,2036334592
43475.281342,165122528,383778816,2036334592
43475.281388,41553776,383778816,2036334592
43475.281435,142217072,383778816,2036334592
43475.281481,243928944,383778816,2036334592
43475.281527,120462784,383778816,2036334592
43475.281573,221126080,383778816,2036334592
43475.281620,96493184,383778816,2036334592
43475.281666,198205056,383778816,2036334592
43475.281712,74516152,383778816,2036334592
43475.281759,175179448,383778816,2036334592
43475.281805,50546240,383778816,2036334592
43475.281851,151209536,383778816,2036334592
43475.281898,252921408,383778816,2036334592
43475.281944,128296232,383778816,2036334592
43475.281990,230008104,383778816,2036334592
43475.282036,105388848,383778816,2036334592
43475.282083,207100720,383778816,2036334592
43475.282129,80489760,383778816,2036334592
43475.282175,181153056,383778816,2036334592
43475.282222,57464752,383778816,2036334592
43475.282268,157079472,383778816,2036334592
43475.282314,254597040,383778816,2036334592
43475.282361,129962664,383778816,2036334592
43475.282407,230625960,383778816,2036334592
43475.282453,105999048,383778816,2036334592
43475.282499,204565192,383778816,2036334592
43475.282546,76786864,383778816,2036334592
43475.282592,174304432,383778816,2036334592
43475.282638,45479528,383778816,2036334592
43475.282685,145094248,383778816,2036334592
43475.282731,244708968,383778816,2036334592
43475.282777,121131376,383778816,2036334592
43475.282823,221794672,383778816,2036334592
43475.282870,97286688,383778816,2036334592
43475.282916,193755680,383778816,2036334592
43475.282962,69130304,383778816,2036334592
43475.283009,168745024,383778816,2036334592
43475.283055,266262592,383778816,2036334592
43475.283101,140469504,383778816,2036334592
43475.283148,240084224,383778816,2036334592
43475.283194,110327072,383778816,2036334592
43475.283240,210990368,383778816,2036334592
43475.283286,84155440,383778816,2036334592
43475.283333,183770160,383778816,2036334592
43475.283379,59139456,383778816,2036334592
43475.283425,160851328,383778816,2036334592
43475.283472,261514624,383778816,2036334592
43475.283518,137000192,383778816,2036334592
43475.283564,236614912,383778816,2036334592
43475.283611,112932224,383778816,2036334592
43475.283657,213595520,383778816,2036334592
43475.283703,87806240,383778816,2036334592
43475.283749,188469536,383778816,2036334592
43475.283796,65115136,383778816,2036334592
