Time,CPU Usage
43475.321321,34.2
43475.321367,15.8
43475.321413,14.5
43475.321459,10.1
43475.321506,10.8
43475.321552,9.5
43475.321598,11.9
43475.321644,12.7
43475.321691,9.5
43475.321737,12.6
43475.321783,9.1
43475.321830,9.0
43475.321876,9.2
43475.321922,8.4
43475.321969,8.4
43475.322015,9.1
43475.322061,8.8
43475.322107,8.3
43475.322154,8.6
43475.322200,8.2
43475.322246,8.5
43475.322293,8.7
43475.322339,8.9
43475.322385,8.6
43475.322431,8.4
43475.322478,9.0
43475.322524,8.5
43475.322570,8.9
43475.322617,8.6
43475.322663,8.6
43475.322709,9.6
43475.322756,8.6
43475.322802,9.0
43475.322848,8.8
43475.322895,9.0
43475.322941,8.6
43475.322987,8.9
43475.323033,8.7
43475.323080,8.6
43475.323126,9.2
43475.323172,8.5
43475.323218,8.8
43475.323265,8.7
43475.323311,8.9
43475.323357,8.8
43475.323404,8.4
43475.323450,8.9
43475.323496,8.5
43475.323543,9.1
43475.323589,8.8
43475.323635,8.9
43475.323681,8.6
43475.323728,8.7
43475.323774,9.1
43475.323820,8.9
43475.323867,9.3
43475.323913,9.5
43475.323959,9.2
43475.324006,8.6
43475.324052,8.8
43475.324098,8.4
43475.324144,8.7
43475.324191,8.8
43475.324237,9.1
43475.324283,8.8
43475.324330,8.6
43475.324376,8.8
43475.324422,8.4
43475.324469,8.8
43475.324515,8.4
43475.324561,8.9
43475.324607,8.7
43475.324654,8.6
43475.324700,8.4
43475.324746,8.9
43475.324793,9.2
43475.324839,8.6
43475.324885,8.4
43475.324932,8.4
43475.324978,8.6
43475.325024,8.6
43475.325070,8.8
43475.325117,8.8
43475.325163,8.6
43475.325209,8.4
43475.325256,8.5
43475.325302,8.6
43475.325348,8.7
43475.325395,9.3
43475.325441,8.5
43475.325487,9.7
43475.325533,8.3
43475.325580,8.6
43475.325626,9.0
43475.325672,8.9
43475.325719,9.0
43475.325765,8.7
43475.325811,8.8
43475.325857,8.7
43475.325904,8.8
43475.325950,8.7
43475.325996,8.8
43475.326043,8.9
43475.326089,8.7
43475.326135,8.7
43475.326182,9.1
43475.326228,8.8
43475.326274,8.6
43475.326320,9.1
43475.326367,8.7
43475.326413,8.8
43475.326459,8.9
43475.326506,8.4
43475.326552,8.9
43475.326598,9.0
43475.326644,8.9
43475.326691,8.8
43475.326737,8.8
43475.326783,8.7
43475.326830,9.0
43475.326876,8.8
43475.326922,9.1
43475.326969,8.8
43475.327015,8.6
43475.327061,8.9
43475.327107,8.7
43475.327154,8.8
43475.327200,8.8
43475.327246,9.0
43475.327293,8.9
43475.327339,9.0
43475.327385,8.9
43475.327432,8.9
43475.327478,8.8
43475.327524,8.7
43475.327570,8.9
43475.327617,8.7
43475.327663,9.1
43475.327709,8.9
43475.327756,9.2
43475.327802,8.9
43475.327848,8.9
43475.327895,9.3
43475.327941,9.1
43475.327987,9.0
43475.328033,9.0
43475.328080,9.0
43475.328126,9.0
43475.328172,8.8
43475.328219,9.2
43475.328265,9.3
43475.328311,8.8
43475.328358,8.8
43475.328404,9.4
43475.328450,8.9
43475.328496,9.2
43475.328543,9.4
43475.328589,8.8
43475.328635,9.9
43475.328682,9.2
43475.328728,9.6
43475.328774,8.9
43475.328820,8.8
43475.328867,8.2
43475.328913,9.1
43475.328959,9.1
43475.329006,9.0
43475.329052,9.0
43475.329098,9.0
43475.329145,9.4
43475.329191,8.9
43475.329237,9.2
43475.329283,9.1
43475.329330,8.9
43475.329376,8.4
43475.329422,8.4
43475.329469,8.8
43475.329515,8.8
43475.329561,9.0
43475.329608,8.6
43475.329654,8.8
43475.329700,8.6
43475.329746,9.2
43475.329793,8.8
43475.329839,8.7
43475.329885,8.7
43475.329932,8.7
43475.329978,9.1
43475.330024,8.7
43475.330070,8.8
43475.330117,8.6
43475.330163,8.8
43475.330209,8.7
43475.330256,8.8
43475.330302,8.7
43475.330348,8.9
43475.330395,9.3
43475.330441,8.8
43475.330487,8.8
43475.330533,8.5
43475.330580,8.6
43475.330626,8.3
43475.330672,8.9
43475.330719,9.1
43475.330765,9.0
43475.330811,9.3
43475.330858,9.3
43475.330904,9.3
43475.330950,9.1
43475.330996,9.0
43475.331043,9.0
43475.331089,9.0
43475.331135,9.1
43475.331182,9.1
43475.331228,9.7
43475.331274,8.8
43475.331321,8.8
43475.331367,8.6
43475.331413,8.8
43475.331459,8.7
43475.331506,9.9
43475.331552,8.9
43475.331598,8.6
43475.331645,8.9
43475.331691,8.7
43475.331737,8.4
43475.331783,8.6
43475.331830,8.9
43475.331876,8.6
43475.331922,8.8
43475.331969,8.8
43475.332015,8.5
43475.332061,9.0
43475.332108,8.6
43475.332154,8.8
43475.332200,8.8
43475.332246,8.9
43475.332293,8.7
43475.332339,8.7
43475.332385,8.9
43475.332432,8.4
43475.332478,8.8
43475.332524,8.5
43475.332571,8.6
43475.332617,8.7
43475.332663,9.1
43475.332709,7.9
43475.332756,8.8
43475.332802,9.4
43475.332848,9.0
43475.332895,9.2
43475.332941,9.2
43475.332987,9.2
43475.333034,9.1
43475.333080,9.3
43475.333126,8.5
43475.333172,9.1
43475.333219,9.3
43475.333265,9.1
43475.333311,21.2
43475.333358,12.4
43475.333404,6.0
43475.333450,5.8
43475.333497,6.1
43475.333543,5.7
43475.333589,6.0
43475.333635,5.8
43475.333682,6.4
43475.333728,5.6
