Time,Used
43475.321278,111274896
43475.321320,208792464
43475.321367,92779856
43475.321413,192394576
43475.321459,75179008
43475.321505,174793728
43475.321552,56775968
43475.321598,156390688
43475.321644,38478848
43475.321691,137044992
43475.321737,234562560
43475.321783,116560432
43475.321830,215126576
43475.321876,96644744
43475.321922,195210888
43475.321968,76728952
43475.322015,176343672
43475.322061,59419888
43475.322107,157986032
43475.322154,39527424
43475.322200,139142144
43475.322246,236659712
43475.322292,119741936
43475.322339,219356656
43475.322385,101396480
43475.322431,199962624
43475.322478,81583120
43475.322524,181197840
43475.322570,57806336
43475.322617,158469632
43475.322663,258084352
43475.322709,133653728
43475.322755,234317024
43475.322802,109639424
43475.322848,208205568
43475.322894,83793888
43475.322941,184457184
43475.322987,59610088
43475.323033,159224808
43475.323080,258839528
43475.323126,133271584
43475.323172,232886304
43475.323218,108153048
43475.323265,207767768
43475.323311,83267776
43475.323357,182882496
43475.323404,58141536
43475.323450,158804832
43475.323496,258419552
43475.323542,133799848
43475.323589,233414568
43475.323635,108913312
43475.323681,207479456
43475.323728,82742040
43475.323774,182356760
43475.323820,56677184
43475.323867,156291904
43475.323913,256955200
43475.323959,132329840
43475.324005,231944560
43475.324052,107438976
43475.324098,208102272
43475.324144,83362928
43475.324191,182977648
43475.324237,57421696
43475.324283,158084992
43475.324330,257699712
43475.324376,132962896
43475.324422,232577616
43475.324468,108067296
43475.324515,207682016
43475.324561,82015040
43475.324607,182678336
43475.324654,56885184
43475.324700,157548480
43475.324746,257163200
43475.324793,132536088
43475.324839,232150808
43475.324885,106590432
43475.324931,207253728
43475.324978,82516320
43475.325024,182131040
43475.325070,56451192
43475.325117,157114488
43475.325163,256729208
43475.325209,133151896
43475.325256,232766616
43475.325302,108142056
43475.325348,207756776
43475.325394,82084128
43475.325441,182747424
43475.325487,58235072
43475.325533,157849792
43475.325580,257464512
43475.325626,131791776
43475.325672,233503648
43475.325718,107717544
43475.325765,207332264
43475.325811,82707312
43475.325857,182322032
43475.325904,57698904
43475.325950,158362200
43475.325996,259025496
43475.326043,135450328
43475.326089,235065048
43475.326135,111493184
43475.326181,212156480
43475.326228,86483736
43475.326274,187147032
43475.326320,63570384
43475.326367,164233680
43475.326413,264896976
43475.326459,140265784
43475.326506,241977656
43475.326552,116415616
43475.326598,216030336
43475.326644,91406336
43475.326691,192069632
43475.326737,66276920
43475.326783,165891640
43475.326830,265506360
43475.326876,140881264
43475.326922,241544560
43475.326969,116919784
43475.327015,216534504
43475.327061,91909848
43475.327107,191524568
43475.327154,66900016
43475.327200,167563312
43475.327246,42938368
43475.327293,143601664
43475.327339,243216384
43475.327385,118590736
43475.327431,218205456
43475.327478,93685440
43475.327524,194348736
43475.327570,68682944
43475.327617,169346240
43475.327663,44608544
43475.327709,144223264
43475.327756,243837984
43475.327802,119212576
43475.327848,219875872
43475.327894,94202464
43475.327941,194865760
43475.327987,69191200
43475.328033,168805920
43475.328080,268420640
43475.328126,143788088
43475.328172,243402808
43475.328219,118784168
43475.328265,218398888
43475.328311,94821336
43475.328357,193387480
43475.328404,68755712
43475.328450,168370432
43475.328496,269033728
43475.328543,143360184
43475.328589,242974904
43475.328635,118349736
43475.328681,217964456
43475.328728,93339408
43475.328774,192954128
43475.328820,68329128
43475.328867,168992424
43475.328913,268607144
43475.328959,143988968
43475.329006,243603688
43475.329052,118981232
43475.329098,219644528
43475.329144,95018520
43475.329191,194633240
43475.329237,70015264
43475.329283,169629984
43475.329330,270293280
43475.329376,145780544
43475.329422,246443840
43475.329469,121699712
43475.329515,221314432
43475.329561,96688952
43475.329607,197352248
43475.329654,71786816
43475.329700,172450112
43475.329746,47825760
43475.329793,147440480
43475.329839,247055200
43475.329885,121262680
43475.329932,221925976
43475.329978,98349824
43475.330024,197964544
43475.330070,73339384
43475.330117,175051256
43475.330163,50425568
43475.330209,151088864
43475.330256,251752160
43475.330302,127127920
43475.330348,227791216
43475.330394,103166816
43475.330441,203830112
43475.330487,79206360
43475.330533,178821080
43475.330580,54195944
43475.330626,154859240
43475.330672,254473960
43475.330719,128905056
43475.330765,229568352
43475.330811,104942464
43475.330857,205605760
43475.330904,78890592
43475.330950,179553888
43475.330996,54928960
43475.331043,154543680
43475.331089,255206976
43475.331135,130472088
43475.331182,231135384
43475.331228,105461280
43475.331274,206124576
43475.331320,80562912
43475.331367,181226208
43475.331413,56489472
43475.331459,157152768
43475.331506,256767488
43475.331552,132149176
43475.331598,232812472
43475.331645,107250464
43475.331691,208962336
43475.331737,84221504
43475.331783,184884800
43475.331830,59202960
43475.331876,158817680
43475.331922,259480976
43475.331969,134967872
43475.332015,235631168
43475.332061,110900296
43475.332107,211563592
43475.332154,87056864
43475.332200,187720160
43475.332246,63102144
43475.332293,163765440
43475.332339,264428736
43475.332385,139809664
43475.332432,241521536
43475.332478,115736000
43475.332524,216399296
43475.332570,91774160
43475.332617,192437456
43475.332663,67812192
43475.332709,168475488
43475.332756,268090208
43475.332802,143577216
43475.332848,243191936
43475.332895,119622080
43475.332941,219236800
43475.332987,93451304
43475.333033,194114600
43475.333080,69489048
43475.333126,170152344
43475.333172,271864216
43475.333219,147352992
43475.333265,246967712
43475.333311,125405520
43475.333358,155901440
43475.333404,209378816
43475.333450,262856192
43475.333496,92286112
43475.333543,144714912
43475.333589,198192288
43475.333635,250621088
43475.333682,80892824
43475.333728,132273048
43475.333774,184701848
43475.333821,236082072
