Time,CPU Usage
43475.290936,8.1
43475.290982,3.7
43475.291029,5.9
43475.291075,3.9
43475.291121,4.8
43475.291167,4.2
43475.291214,3.5
43475.291260,19.3
43475.291306,23.5
43475.291352,44.9
43475.291399,44.9
43475.291445,25.1
43475.291491,16.1
43475.291538,16.1
43475.291584,20.0
43475.291630,14.6
43475.291677,11.7
43475.291723,10.6
43475.291769,12.1
43475.291815,10.3
43475.291862,9.9
43475.291908,11.4
43475.291954,14.0
43475.292001,10.4
43475.292047,9.4
43475.292093,9.0
43475.292139,9.4
43475.292186,9.3
43475.292232,9.0
43475.292278,9.9
43475.292325,9.4
43475.292371,8.9
43475.292417,8.7
43475.292464,8.9
43475.292510,8.6
43475.292556,9.5
43475.292602,8.8
43475.292649,8.9
43475.292695,8.7
43475.292741,9.0
43475.292788,8.7
43475.292834,8.8
43475.292880,8.7
43475.292927,8.7
43475.292973,8.6
43475.293019,9.2
43475.293065,8.3
43475.293112,8.4
43475.293158,9.0
43475.293204,8.6
43475.293251,8.7
43475.293297,9.3
43475.293343,10.1
43475.293389,9.9
43475.293436,12.1
43475.293482,9.8
43475.293528,10.2
43475.293575,9.9
43475.293621,10.1
43475.293667,9.9
43475.293714,10.1
43475.293760,9.9
43475.293806,10.1
43475.293852,10.1
43475.293899,9.9
43475.293945,10.2
43475.293991,10.4
43475.294038,10.1
43475.294084,10.3
43475.294130,11.4
43475.294177,9.9
43475.294223,10.1
43475.294269,10.1
43475.294315,10.1
43475.294362,9.9
43475.294408,10.3
43475.294454,9.7
43475.294501,10.0
43475.294547,10.2
43475.294593,10.6
43475.294640,10.9
43475.294686,9.8
43475.294732,10.0
43475.294778,9.9
43475.294825,9.7
43475.294871,10.1
43475.294917,9.9
43475.294964,9.8
43475.295010,10.0
43475.295056,9.6
43475.295103,9.7
43475.295149,9.7
43475.295195,9.9
43475.295241,9.9
43475.295288,9.9
43475.295334,10.3
43475.295380,9.9
43475.295427,9.9
43475.295473,9.7
43475.295519,10.0
43475.295565,9.8
43475.295612,10.1
43475.295658,9.8
43475.295704,9.9
43475.295751,9.8
43475.295797,9.8
43475.295843,9.8
43475.295890,9.9
43475.295936,9.9
43475.295982,10.0
43475.296028,9.8
43475.296075,9.8
43475.296121,9.9
43475.296167,9.7
43475.296214,9.9
43475.296260,9.7
43475.296306,9.9
43475.296353,9.7
43475.296399,9.9
43475.296445,9.7
43475.296491,9.9
43475.296538,9.8
43475.296584,9.9
43475.296630,9.7
43475.296677,9.8
43475.296723,9.6
43475.296769,9.7
43475.296816,9.7
43475.296862,9.7
43475.296908,9.7
43475.296954,9.6
43475.297001,9.8
43475.297047,9.8
43475.297093,9.9
43475.297140,9.7
43475.297186,9.9
43475.297232,9.8
43475.297278,9.8
43475.297325,9.7
43475.297371,9.9
43475.297417,10.6
43475.297464,10.7
43475.297510,9.7
43475.297556,9.7
43475.297603,10.1
43475.297649,9.7
43475.297695,9.9
43475.297741,9.6
43475.297788,9.9
43475.297834,9.8
43475.297880,10.0
43475.297927,9.7
43475.297973,11.3
43475.298019,12.8
43475.298066,9.9
43475.298112,9.8
43475.298158,9.8
43475.298204,9.8
43475.298251,10.2
43475.298297,9.6
43475.298343,9.6
43475.298390,10.1
43475.298436,10.2
43475.298482,9.9
43475.298529,9.7
43475.298575,9.7
43475.298621,9.6
43475.298667,9.9
43475.298714,9.6
43475.298760,9.9
43475.298806,10.1
43475.298853,9.8
43475.298899,9.8
43475.298945,9.8
43475.298992,9.9
43475.299038,9.8
43475.299084,9.6
43475.299130,9.6
43475.299177,9.4
43475.299223,9.5
43475.299269,10.7
43475.299316,9.8
43475.299362,9.8
43475.299408,9.6
43475.299455,9.8
43475.299501,9.6
43475.299547,9.8
43475.299593,9.6
43475.299640,9.7
43475.299686,9.6
43475.299732,9.7
43475.299779,9.8
43475.299825,9.6
43475.299871,9.8
43475.299917,9.6
43475.299964,9.8
43475.300010,9.7
43475.300056,9.8
43475.300103,9.4
43475.300149,9.9
43475.300195,9.7
43475.300242,9.8
43475.300288,9.6
43475.300334,9.6
43475.300380,9.4
43475.300427,9.9
43475.300473,9.6
43475.300519,9.7
43475.300566,9.5
43475.300612,9.7
43475.300658,9.7
43475.300705,9.6
43475.300751,9.8
43475.300797,9.6
43475.300843,9.9
43475.300890,9.4
43475.300936,9.8
43475.300982,9.4
43475.301029,9.7
43475.301075,9.5
43475.301121,9.7
43475.301167,9.9
43475.301214,9.7
43475.301260,9.5
43475.301306,9.6
43475.301353,9.4
43475.301399,9.4
43475.301445,9.7
43475.301492,9.5
43475.301538,9.6
43475.301584,9.5
43475.301630,9.9
43475.301677,9.4
43475.301723,9.6
43475.301769,9.6
43475.301816,9.6
43475.301862,9.4
43475.301908,9.8
43475.301955,9.6
43475.302001,9.9
43475.302047,9.4
43475.302093,9.2
43475.302140,9.3
43475.302186,9.0
43475.302232,9.1
43475.302279,9.1
43475.302325,9.3
43475.302371,9.1
43475.302418,9.2
43475.302464,9.1
43475.302510,9.2
43475.302556,9.9
43475.302603,9.4
43475.302649,9.1
43475.302695,9.3
43475.302742,9.1
43475.302788,9.2
43475.302834,9.0
43475.302881,9.1
43475.302927,9.2
43475.302973,9.0
43475.303019,9.3
43475.303066,7.2
43475.303112,8.9
43475.303158,9.3
43475.303205,9.4
43475.303251,9.3
43475.303297,9.4
43475.303344,9.2
43475.303390,9.3
43475.303436,9.3
43475.303482,9.4
43475.303529,7.9
43475.303575,5.7
43475.303621,5.6
43475.303668,5.9
43475.303714,5.7
43475.303760,5.7
43475.303806,5.6
43475.303853,5.7
43475.303899,5.9
43475.303945,5.7
43475.303992,5.7
43475.304038,5.7
43475.304084,5.7
43475.304131,5.8
43475.304177,6.9
43475.304223,5.7
43475.304269,5.6
43475.304316,5.9
43475.304362,5.6
43475.304408,5.6
43475.304455,5.7
43475.304501,5.8
43475.304547,5.6
43475.304594,5.7
43475.304640,5.8
43475.304686,5.6
43475.304732,5.8
43475.304779,5.7
43475.304825,5.3
43475.304871,6.0
43475.304918,5.4
43475.304964,5.1
43475.305010,5.1
43475.305056,5.2
43475.305103,5.2
43475.305149,5.4
43475.305195,5.0
43475.305242,5.6
43475.305288,5.0
43475.305334,5.6
43475.305381,4.9
43475.305427,5.1
43475.305473,5.1
43475.305519,5.3
43475.305566,5.1
43475.305612,5.1
43475.305658,5.4
43475.305705,5.2
43475.305751,5.3
