Time,CPU Usage
43475.335450,20.1
43475.335496,10.8
43475.335542,12.9
43475.335589,16.5
43475.335635,44.9
43475.335681,28.6
43475.335728,21.7
43475.335774,23.0
43475.335820,16.5
43475.335866,12.1
43475.335913,9.1
43475.335959,12.7
43475.336005,8.9
43475.336052,9.2
43475.336098,8.6
43475.336144,8.3
43475.336191,9.4
43475.336237,11.1
43475.336283,11.9
43475.336329,8.1
43475.336376,9.1
43475.336422,8.4
43475.336468,8.2
43475.336515,8.3
43475.336561,9.1
43475.336607,8.6
43475.336653,8.1
43475.336700,8.4
43475.336746,8.1
43475.336792,8.2
43475.336839,8.0
43475.336885,8.2
43475.336931,8.2
43475.336978,8.1
43475.337024,8.6
43475.337070,8.3
43475.337117,8.4
43475.337163,8.8
43475.337209,8.2
43475.337255,8.7
43475.337302,8.4
43475.337348,8.3
43475.337394,8.5
43475.337441,8.4
43475.337487,8.4
43475.337533,8.2
43475.337579,8.6
43475.337626,8.1
43475.337672,8.4
43475.337718,8.2
43475.337765,8.4
43475.337811,8.3
43475.337857,8.7
43475.337903,8.6
43475.337950,10.9
43475.337996,8.1
43475.338042,8.6
43475.338089,8.3
43475.338135,8.5
43475.338181,8.8
43475.338228,8.7
43475.338274,8.7
43475.338320,8.4
43475.338366,8.4
43475.338413,8.3
43475.338459,8.5
43475.338505,8.4
43475.338552,8.4
43475.338598,8.5
43475.338644,8.3
43475.338691,8.4
43475.338737,8.6
43475.338783,8.1
43475.338829,8.1
43475.338876,8.4
43475.338922,8.7
43475.338968,8.5
43475.339015,8.3
43475.339061,9.1
43475.339107,8.7
43475.339154,9.1
43475.339200,8.8
43475.339246,8.5
43475.339292,8.2
43475.339339,8.1
43475.339385,8.5
43475.339431,8.8
43475.339478,8.3
43475.339524,8.3
43475.339570,8.4
43475.339616,8.4
43475.339663,8.6
43475.339709,8.8
43475.339755,8.6
43475.339802,8.3
43475.339848,8.6
43475.339894,8.5
43475.339941,8.3
43475.339987,8.6
43475.340033,8.3
43475.340079,8.2
43475.340126,8.2
43475.340172,8.6
43475.340218,8.7
43475.340265,8.7
43475.340311,8.5
43475.340357,8.7
43475.340404,9.8
43475.340450,8.9
43475.340496,8.8
43475.340542,8.7
43475.340589,8.7
43475.340635,8.7
43475.340681,8.3
43475.340728,8.2
43475.340774,9.9
43475.340820,9.7
43475.340867,9.9
43475.340913,8.5
43475.340959,8.0
43475.341005,8.2
43475.341052,8.2
43475.341098,8.1
43475.341144,8.1
43475.341191,8.3
43475.341237,8.2
43475.341283,8.0
43475.341330,8.2
43475.341376,8.1
43475.341422,8.3
43475.341468,8.1
43475.341515,8.0
43475.341561,8.1
43475.341607,8.1
43475.341654,8.0
43475.341700,8.2
43475.341746,8.2
43475.341792,8.6
43475.341839,8.3
43475.341885,8.9
43475.341931,8.4
43475.341978,8.2
43475.342024,8.2
43475.342070,8.1
43475.342117,8.3
43475.342163,8.0
43475.342209,8.2
43475.342255,8.2
43475.342302,7.9
43475.342348,8.0
43475.342394,8.1
43475.342441,8.2
43475.342487,8.0
43475.342533,9.5
43475.342580,8.2
43475.342626,8.1
43475.342672,8.1
43475.342718,8.3
43475.342765,8.2
43475.342811,8.1
43475.342857,8.6
43475.342904,8.1
43475.342950,8.1
43475.342996,8.3
43475.343043,8.3
43475.343089,8.6
43475.343135,8.1
43475.343181,8.2
43475.343228,8.1
43475.343274,8.3
43475.343320,7.9
43475.343367,8.7
43475.343413,8.2
43475.343459,8.2
43475.343505,8.3
43475.343552,8.1
43475.343598,8.4
43475.343644,8.0
43475.343691,8.4
43475.343737,8.3
43475.343783,8.2
43475.343830,8.9
43475.343876,8.3
43475.343922,8.2
43475.343968,8.2
43475.344015,8.2
43475.344061,8.3
43475.344107,8.3
43475.344154,8.8
43475.344200,8.3
43475.344246,8.4
43475.344293,8.2
43475.344339,8.1
43475.344385,8.3
43475.344431,8.2
43475.344478,8.3
43475.344524,8.4
43475.344570,8.8
43475.344617,8.3
43475.344663,8.3
43475.344709,8.1
43475.344756,8.1
43475.344802,8.3
43475.344848,8.4
43475.344894,8.2
43475.344941,8.3
43475.344987,8.4
43475.345033,8.2
43475.345080,8.3
43475.345126,8.1
43475.345172,8.3
43475.345219,8.2
43475.345265,8.3
43475.345311,8.1
43475.345357,8.2
43475.345404,8.3
43475.345450,8.4
43475.345496,8.3
43475.345543,8.4
43475.345589,8.6
43475.345635,8.3
43475.345681,8.1
43475.345728,8.3
43475.345774,8.1
43475.345820,8.3
43475.345867,8.3
43475.345913,8.1
43475.345959,8.3
43475.346006,8.0
43475.346052,8.5
43475.346098,8.3
43475.346144,8.3
43475.346191,8.4
43475.346237,8.3
43475.346283,8.3
43475.346330,8.4
43475.346376,8.6
43475.346422,8.2
43475.346469,8.3
43475.346515,8.3
43475.346561,8.4
43475.346607,8.3
43475.346654,8.3
43475.346700,8.1
43475.346746,8.4
43475.346793,8.4
43475.346839,8.2
43475.346885,8.3
43475.346932,8.3
43475.346978,8.9
43475.347024,8.2
43475.347070,7.4
43475.347117,8.6
43475.347163,9.2
43475.347209,9.2
43475.347256,9.2
43475.347302,9.0
43475.347348,9.0
43475.347394,9.1
43475.347441,9.0
43475.347487,9.2
43475.347533,9.1
43475.347580,9.1
43475.347626,9.1
43475.347672,9.0
43475.347719,9.1
43475.347765,9.2
43475.347811,9.2
43475.347857,4.2
43475.347904,5.2
43475.347950,5.6
43475.347996,5.8
43475.348043,6.0
43475.348089,6.0
43475.348135,5.9
43475.348182,5.8
43475.348228,5.9
43475.348274,5.9
43475.348320,5.1
43475.348367,5.1
