Time,Used
43475.335405,90768896
43475.335450,142149120
43475.335496,192480768
43475.335542,240715264
43475.335589,81331712
43475.335635,189335040
43475.335681,78622592
43475.335727,182431616
43475.335774,67700224
43475.335820,169412096
43475.335866,54068736
43475.335913,155780608
43475.335959,38173808
43475.336005,139885680
43475.336052,241597552
43475.336098,124154992
43475.336144,224818288
43475.336190,109032936
43475.336237,209696232
43475.336283,93307328
43475.336329,193970624
43475.336376,77137408
43475.336422,177800704
43475.336468,60803544
43475.336515,161466840
43475.336561,44026920
43475.336607,145738792
43475.336653,246402088
43475.336700,128517632
43475.336746,230229504
43475.336792,112208568
43475.336839,213920440
43475.336885,96567152
43475.336931,198279024
43475.336977,76582912
43475.337024,177246208
43475.337070,54527424
43475.337116,156239296
43475.337163,32288640
43475.337209,134000512
43475.337255,235712384
43475.337302,109927544
43475.337348,211639416
43475.337394,86861360
43475.337440,187524656
43475.337487,62733096
43475.337533,163396392
43475.337579,37611400
43475.337626,140371848
43475.337672,241035144
43475.337718,116272976
43475.337765,216936272
43475.337811,92134656
43475.337857,193846528
43475.337903,68039960
43475.337950,170800408
43475.337996,47089768
43475.338042,147753064
43475.338089,250513512
43475.338135,125761824
43475.338181,227473696
43475.338228,102692912
43475.338274,204404784
43475.338320,78606528
43475.338366,181366976
43475.338413,55551760
43475.338459,158312208
43475.338505,33534392
43475.338552,135246264
43475.338598,236958136
43475.338644,112213408
43475.338690,214973856
43475.338737,89148856
43475.338783,190860728
43475.338829,67142696
43475.338876,168854568
43475.338922,43051072
43475.338968,145811520
43475.339015,247523392
43475.339061,122757872
43475.339107,224469744
43475.339153,98653888
43475.339200,200365760
43475.339246,75590976
43475.339292,177302848
43475.339339,52570248
43475.339385,154282120
43475.339431,257042568
43475.339478,132277960
43475.339524,233989832
43475.339570,107100272
43475.339616,209860720
43475.339663,85128960
43475.339709,187889408
43475.339755,62062432
43475.339802,164822880
43475.339848,40046968
43475.339894,142807416
43475.339940,245567864
43475.339987,119769440
43475.340033,222529888
43475.340079,97752824
43475.340126,199464696
43475.340172,74710128
43475.340218,177470576
43475.340265,52707856
43475.340311,155468304
43475.340357,257180176
43475.340403,132401736
43475.340450,234113608
43475.340496,109349456
43475.340542,211061328
43475.340589,86328864
43475.340635,189089312
43475.340681,63278272
43475.340728,166038720
43475.340774,40194784
43475.340820,142955232
43475.340866,244667104
43475.340913,120966880
43475.340959,223727328
43475.341005,98960512
43475.341052,200672384
43475.341098,75889128
43475.341144,177601000
43475.341191,52855616
43475.341237,155616064
43475.341283,257327936
43475.341329,132562592
43475.341376,233225888
43475.341422,109526480
43475.341468,211238352
43475.341515,86454288
43475.341561,188166160
43475.341607,63390296
43475.341654,165102168
43475.341700,40335296
