Time,CPU Usage
43475.373920,18.6
43475.373966,16.8
43475.374013,9.4
43475.374059,8.5
43475.374105,8.4
43475.374152,8.1
43475.374198,8.2
43475.374244,8.1
43475.374290,8.1
43475.374337,8.1
43475.374383,8.1
43475.374429,8.6
43475.374476,8.1
43475.374522,8.1
43475.374568,8.2
43475.374615,8.0
43475.374661,7.9
43475.374707,8.2
43475.374753,8.0
43475.374800,8.1
43475.374846,8.9
43475.374892,7.9
43475.374939,8.1
43475.374985,8.4
43475.375031,8.5
43475.375078,8.2
43475.375124,9.9
43475.375170,8.4
43475.375216,8.3
43475.375263,8.1
43475.375309,8.3
43475.375355,8.3
43475.375402,8.0
43475.375448,8.1
43475.375494,8.1
43475.375540,8.5
43475.375587,8.7
43475.375633,8.1
43475.375679,8.0
43475.375726,8.1
43475.375772,8.2
43475.375818,8.7
43475.375865,8.5
43475.375911,8.3
43475.375957,8.6
43475.376003,8.4
43475.376050,8.1
43475.376096,8.2
43475.376142,8.3
43475.376189,8.4
43475.376235,8.1
43475.376281,8.3
43475.376328,8.1
43475.376374,8.1
43475.376420,8.3
43475.376466,8.4
43475.376513,8.1
43475.376559,8.3
43475.376605,8.1
43475.376652,8.1
43475.376698,10.1
43475.376744,8.3
43475.376791,8.2
43475.376837,8.2
43475.376883,8.3
43475.376929,8.0
43475.376976,8.0
43475.377022,8.0
43475.377068,8.0
43475.377115,8.0
43475.377161,8.1
43475.377207,8.2
43475.377253,7.9
43475.377300,7.9
43475.377346,8.0
43475.377392,8.0
43475.377439,8.2
43475.377485,7.9
43475.377531,8.1
43475.377578,7.8
43475.377624,8.1
43475.377670,8.0
43475.377716,8.9
43475.377763,8.3
43475.377809,8.4
43475.377855,8.3
43475.377902,8.1
43475.377948,8.5
43475.377994,8.1
43475.378041,8.1
43475.378087,8.0
43475.378133,8.1
43475.378179,8.0
43475.378226,8.1
43475.378272,8.1
43475.378318,8.0
43475.378365,8.1
43475.378411,8.0
43475.378457,8.1
43475.378504,8.1
43475.378550,7.9
43475.378596,8.4
43475.378642,8.0
43475.378689,7.9
43475.378735,8.0
43475.378781,7.9
43475.378828,7.9
43475.378874,8.2
43475.378920,7.9
43475.378966,7.9
43475.379013,7.9
43475.379059,8.3
43475.379105,7.9
43475.379152,8.0
43475.379198,7.9
43475.379244,8.0
43475.379291,8.1
43475.379337,8.0
43475.379383,8.0
43475.379429,8.1
43475.379476,8.2
43475.379522,8.1
43475.379568,8.1
43475.379615,8.1
43475.379661,8.0
43475.379707,8.1
43475.379754,8.0
43475.379800,8.0
43475.379846,7.9
43475.379892,8.1
43475.379939,8.0
43475.379985,8.0
43475.380031,8.2
43475.380078,8.0
43475.380124,8.2
43475.380170,8.1
43475.380217,8.1
43475.380263,7.9
43475.380309,8.1
43475.380355,8.1
43475.380402,8.3
43475.380448,7.9
43475.380494,8.1
43475.380541,7.9
43475.380587,8.6
43475.380633,7.9
43475.380680,8.7
43475.380726,8.0
43475.380772,8.0
43475.380818,8.5
43475.380865,8.1
43475.380911,8.1
43475.380957,8.1
43475.381004,7.9
43475.381050,8.1
43475.381096,7.9
43475.381143,7.9
43475.381189,8.2
43475.381235,8.1
43475.381281,8.0
43475.381328,8.1
43475.381374,8.1
43475.381420,8.0
43475.381467,8.1
43475.381513,8.1
43475.381559,8.1
43475.381605,8.3
43475.381652,8.2
43475.381698,8.1
43475.381744,7.9
43475.381791,7.4
43475.381837,8.6
43475.381883,8.7
43475.381930,8.7
43475.381976,8.9
43475.382022,9.3
43475.382068,9.0
43475.382115,9.2
43475.382161,9.2
43475.382207,8.9
43475.382254,9.1
43475.382300,9.1
43475.382346,8.8
43475.382393,3.9
43475.382439,6.3
43475.382485,6.0
43475.382531,5.6
