Time,CPU Usage
43476.042607,27.0
43476.042653,27.0
43476.042699,15.6
43476.042746,10.9
43476.042792,10.3
43476.042838,10.4
43476.042885,9.7
43476.042931,11.0
43476.042977,10.5
43476.043024,9.4
43476.043070,12.5
43476.043116,9.1
43476.043162,10.1
43476.043209,12.8
43476.043255,9.0
43476.043301,8.9
43476.043348,8.9
43476.043394,9.2
43476.043440,8.7
43476.043486,8.7
43476.043533,9.0
43476.043579,8.9
43476.043625,9.3
43476.043672,9.1
43476.043718,8.8
43476.043764,8.9
43476.043811,8.9
43476.043857,9.0
43476.043903,9.0
43476.043949,8.9
43476.043996,9.3
43476.044042,8.8
43476.044088,8.9
43476.044135,8.8
43476.044181,8.9
43476.044227,8.9
43476.044274,9.0
43476.044320,8.8
43476.044366,8.9
43476.044412,9.0
43476.044459,9.8
43476.044505,8.8
43476.044551,8.9
43476.044598,8.6
43476.044644,8.9
43476.044690,8.7
43476.044737,8.9
43476.044783,8.7
43476.044829,8.8
43476.044875,8.2
43476.044922,8.4
43476.044968,8.3
43476.045014,8.2
43476.045061,9.2
43476.045107,8.4
43476.045153,8.1
43476.045199,8.4
43476.045246,8.6
43476.045292,8.3
43476.045338,8.4
43476.045385,8.4
43476.045431,8.3
43476.045477,8.4
43476.045524,8.5
43476.045570,8.3
43476.045616,8.4
43476.045662,8.6
43476.045709,8.6
43476.045755,8.3
43476.045801,8.1
43476.045848,8.0
43476.045894,8.6
43476.045940,8.3
43476.045987,8.3
43476.046033,8.6
43476.046079,8.6
43476.046125,8.7
43476.046172,8.7
43476.046218,9.1
43476.046264,8.5
43476.046311,8.6
43476.046357,8.8
43476.046403,8.7
43476.046450,8.9
43476.046496,8.7
43476.046542,8.3
43476.046588,8.1
43476.046635,9.1
43476.046681,8.4
43476.046727,8.6
43476.046774,8.7
43476.046820,10.2
43476.046866,8.8
43476.046912,8.8
43476.046959,8.7
43476.047005,8.6
43476.047051,8.7
43476.047098,8.7
43476.047144,8.6
43476.047190,9.6
43476.047237,8.6
43476.047283,8.7
43476.047329,8.6
43476.047375,8.8
43476.047422,8.9
43476.047468,8.7
43476.047514,8.4
43476.047561,8.7
43476.047607,8.5
43476.047653,8.7
43476.047700,8.6
43476.047746,8.6
43476.047792,8.6
43476.047838,8.6
43476.047885,8.5
43476.047931,8.4
43476.047977,8.3
43476.048024,8.3
43476.048070,8.6
43476.048116,8.9
43476.048163,8.6
43476.048209,8.8
43476.048255,8.7
43476.048301,8.5
43476.048348,8.4
43476.048394,8.4
43476.048440,8.2
43476.048487,8.6
43476.048533,8.4
43476.048579,8.5
43476.048626,8.5
43476.048672,8.8
43476.048718,9.8
43476.048764,8.5
43476.048811,8.5
43476.048857,8.4
43476.048903,9.1
43476.048950,8.6
43476.048996,8.7
43476.049042,8.4
43476.049089,8.7
43476.049135,8.7
43476.049181,8.8
43476.049227,8.6
43476.049274,8.4
43476.049320,8.6
43476.049366,8.9
43476.049413,8.7
43476.049459,8.4
43476.049505,8.8
43476.049551,9.2
43476.049598,8.6
43476.049644,8.6
43476.049690,8.6
43476.049737,8.4
43476.049783,8.5
43476.049829,8.5
43476.049876,8.6
43476.049922,8.7
43476.049968,9.1
43476.050014,8.4
43476.050061,9.0
43476.050107,8.1
43476.050153,8.9
43476.050200,8.7
43476.050246,8.7
43476.050292,9.1
43476.050338,8.8
43476.050385,8.5
43476.050431,8.9
43476.050477,8.7
43476.050524,8.7
43476.050570,8.8
43476.050616,8.8
43476.050663,8.8
43476.050709,8.8
43476.050755,8.8
43476.050801,8.8
43476.050848,8.6
43476.050894,8.7
43476.050940,8.6
43476.050987,8.8
43476.051033,9.4
43476.051079,8.4
43476.051126,8.9
43476.051172,8.7
43476.051218,9.1
43476.051264,8.7
43476.051311,9.6
43476.051357,8.7
43476.051403,8.6
43476.051450,8.4
43476.051496,8.8
43476.051542,9.0
43476.051589,8.6
43476.051635,8.6
43476.051681,8.8
43476.051727,8.9
43476.051774,8.7
43476.051820,8.6
43476.051866,8.8
43476.051913,8.9
43476.051959,8.7
43476.052005,8.7
43476.052051,8.8
43476.052098,8.8
43476.052144,8.9
43476.052190,8.9
43476.052237,8.6
43476.052283,8.5
43476.052329,8.7
43476.052376,8.9
43476.052422,8.6
43476.052468,8.8
43476.052514,8.8
43476.052561,8.6
43476.052607,9.1
43476.052653,8.9
43476.052700,8.6
43476.052746,8.6
43476.052792,8.8
43476.052839,8.6
43476.052885,8.9
43476.052931,8.6
43476.052977,8.8
43476.053024,8.8
43476.053070,8.9
43476.053116,9.0
43476.053163,8.6
43476.053209,8.8
43476.053255,8.7
43476.053302,9.0
43476.053348,8.5
43476.053394,8.9
43476.053440,8.8
43476.053487,8.9
43476.053533,8.9
43476.053579,8.6
43476.053626,9.8
43476.053672,8.7
43476.053718,9.4
43476.053764,8.8
43476.053811,8.9
43476.053857,8.6
43476.053903,8.7
43476.053950,8.6
43476.053996,7.9
43476.054042,8.1
43476.054089,8.4
43476.054135,8.6
43476.054181,8.5
43476.054227,8.6
43476.054274,8.4
43476.054320,8.4
43476.054366,8.4
43476.054413,8.6
43476.054459,8.4
43476.054505,8.3
43476.054552,8.4
43476.054598,8.6
43476.054644,2.9
43476.054690,2.8
43476.054737,2.9
43476.054783,2.5
43476.054829,2.6
