Time,CPU Usage
43476.363543,19.2
43476.363589,16.6
43476.363635,21.5
43476.363681,15.5
43476.363728,21.6
43476.363774,10.0
43476.363820,7.0
43476.363867,7.1
43476.363913,7.3
43476.363959,8.9
43476.364005,7.3
43476.364052,6.1
43476.364098,7.2
43476.364144,6.4
43476.364191,5.1
43476.364237,5.3
43476.364283,5.4
43476.364330,6.1
43476.364376,6.4
43476.364422,5.4
43476.364468,4.9
43476.364515,5.1
43476.364561,5.0
43476.364607,5.1
43476.364654,5.2
43476.364700,5.4
43476.364746,5.0
43476.364793,5.1
43476.364839,5.1
43476.364885,4.9
43476.364931,5.1
43476.364978,5.0
43476.365024,5.1
43476.365070,4.9
43476.365117,5.1
43476.365163,5.7
43476.365209,4.9
43476.365255,4.9
43476.365302,5.1
43476.365348,4.9
43476.365394,5.1
43476.365441,5.1
43476.365487,4.8
43476.365533,5.0
43476.365580,4.9
43476.365626,5.0
43476.365672,4.8
43476.365718,4.9
43476.365765,4.9
43476.365811,4.9
43476.365857,4.9
43476.365904,4.9
43476.365950,4.9
43476.365996,4.8
43476.366043,4.9
43476.366089,6.6
43476.366135,4.9
43476.366181,4.8
43476.366228,4.7
43476.366274,4.9
43476.366320,5.4
43476.366367,4.9
43476.366413,5.0
43476.366459,4.8
43476.366505,4.8
43476.366552,4.9
43476.366598,4.9
43476.366644,4.9
43476.366691,4.9
43476.366737,4.8
43476.366783,4.8
43476.366830,4.9
43476.366876,5.4
43476.366922,4.9
43476.366968,4.9
43476.367015,5.0
43476.367061,4.9
43476.367107,4.9
43476.367154,4.8
43476.367200,5.1
43476.367246,4.9
43476.367293,5.1
43476.367339,5.2
43476.367385,4.9
43476.367431,4.9
43476.367478,5.0
43476.367524,4.9
43476.367570,4.8
43476.367617,4.9
43476.367663,4.8
43476.367709,4.9
43476.367756,4.9
43476.367802,4.9
43476.367848,4.9
43476.367894,4.9
43476.367941,4.8
43476.367987,4.9
43476.368033,4.9
43476.368080,5.0
43476.368126,4.9
43476.368172,4.8
43476.368219,4.9
43476.368265,4.9
43476.368311,4.9
43476.368357,5.1
43476.368404,4.9
43476.368450,4.9
43476.368496,4.8
43476.368543,5.1
43476.368589,4.9
43476.368635,4.8
43476.368681,5.0
43476.368728,4.9
43476.368774,4.8
43476.368820,5.0
43476.368867,4.9
43476.368913,4.9
43476.368959,4.8
43476.369006,4.8
43476.369052,4.9
43476.369098,4.9
43476.369144,4.9
43476.369191,4.8
43476.369237,4.9
43476.369283,4.8
43476.369330,4.9
43476.369376,4.9
43476.369422,4.9
43476.369469,5.0
43476.369515,5.1
43476.369561,5.2
43476.369607,4.9
43476.369654,4.9
43476.369700,4.8
43476.369746,4.9
43476.369793,5.3
43476.369839,4.8
43476.369885,4.8
43476.369932,4.8
43476.369978,5.1
43476.370024,4.9
43476.370070,5.5
43476.370117,4.8
43476.370163,4.8
43476.370209,4.9
43476.370256,4.8
43476.370302,4.9
43476.370348,4.8
43476.370395,5.3
43476.370441,4.8
43476.370487,4.8
43476.370533,4.7
43476.370580,4.7
43476.370626,4.8
43476.370672,6.0
43476.370719,4.9
43476.370765,4.8
43476.370811,5.1
43476.370857,4.9
43476.370904,4.7
43476.370950,4.8
43476.370996,4.8
43476.371043,4.8
43476.371089,4.8
43476.371135,4.7
43476.371182,4.9
43476.371228,4.7
43476.371274,4.7
43476.371320,4.9
43476.371367,4.6
43476.371413,4.7
43476.371459,4.8
43476.371506,5.1
43476.371552,4.7
43476.371598,4.7
43476.371645,4.8
43476.371691,4.7
43476.371737,5.3
43476.371783,4.7
43476.371830,4.6
43476.371876,4.6
43476.371922,4.6
43476.371969,4.7
43476.372015,4.7
43476.372061,4.6
43476.372107,5.4
43476.372154,4.6
43476.372200,4.6
43476.372246,4.6
43476.372293,4.7
43476.372339,4.7
43476.372385,4.6
43476.372432,4.6
43476.372478,4.6
43476.372524,4.6
43476.372570,4.6
43476.372617,4.6
43476.372663,4.6
43476.372709,4.7
43476.372756,4.9
43476.372802,4.8
43476.372848,4.7
43476.372895,4.6
43476.372941,4.6
43476.372987,4.7
43476.373033,4.8
43476.373080,4.6
43476.373126,4.7
43476.373172,4.8
43476.373219,4.5
43476.373265,4.6
43476.373311,4.6
43476.373357,4.6
43476.373404,4.6
43476.373450,4.6
43476.373496,4.6
43476.373543,4.6
43476.373589,4.7
43476.373635,4.7
43476.373682,4.6
43476.373728,4.7
43476.373774,4.6
43476.373820,4.6
43476.373867,4.6
43476.373913,4.6
43476.373959,4.6
43476.374006,4.8
43476.374052,4.4
43476.374098,4.7
43476.374145,4.6
43476.374191,4.7
43476.374237,4.6
43476.374283,4.6
43476.374330,4.9
43476.374376,4.6
43476.374422,5.0
43476.374469,4.6
43476.374515,4.6
43476.374561,4.5
43476.374608,4.7
43476.374654,4.6
43476.374700,4.9
43476.374746,4.6
43476.374793,4.6
43476.374839,4.6
43476.374885,4.5
43476.374932,4.7
43476.374978,4.6
43476.375024,4.1
43476.375071,5.0
43476.375117,5.4
43476.375163,5.6
43476.375209,5.4
43476.375256,4.8
43476.375302,5.2
43476.375348,5.3
