Time,Used
43476.363499,165965824
43476.363542,203714560
43476.363589,238317568
43476.363635,63129600
43476.363681,97732608
43476.363728,131287040
43476.363774,165890048
43476.363820,200493056
43476.363866,234047488
43476.363913,44255232
43476.363959,79906816
43476.364005,113461248
43476.364052,147015680
43476.364098,181618688
43476.364144,215173120
43476.364190,249776128
43476.364237,59743952
43476.364283,93298384
43476.364329,125804240
43476.364376,160407248
43476.364422,195010256
43476.364468,227516112
43476.364515,37651776
43476.364561,72254784
43476.364607,105809216
43476.364653,140412224
43476.364700,172918080
43476.364746,206472512
43476.364792,240026944
43476.364839,50207760
43476.364885,84810768
43476.364931,117316624
43476.364978,151919632
43476.365024,185474064
43476.365070,219028496
43476.365116,252582928
43476.365163,60790752
43476.365209,96442336
43476.365255,129996768
43476.365302,163551200
43476.365348,197105632
43476.365394,229611488
43476.365441,38774576
43476.365487,73377584
43476.365533,106932016
43476.365579,140486448
43476.365626,174040880
43476.365672,207595312
43476.365718,242198320
43476.365765,50332352
43476.365811,83886784
43476.365857,118489792
43476.365904,152044224
43476.365950,185598656
43476.365996,219153088
43476.366042,252707520
43476.366089,61897392
43476.366135,94403248
43476.366181,129006256
43476.366228,162560688
43476.366274,196115120
43476.366320,229669552
43476.366367,37738720
43476.366413,72341728
43476.366459,105896160
43476.366505,140499168
43476.366552,174053600
43476.366598,207608032
43476.366644,241162464
43476.366691,50368496
43476.366737,83922928
43476.366783,117477360
43476.366829,151031792
43476.366876,184586224
43476.366922,218140656
43476.366968,252743664
43476.367015,60816992
43476.367061,94371424
43476.367107,128974432
43476.367154,161480288
43476.367200,196083296
43476.367246,229637728
43476.367292,37763920
43476.367339,71318352
43476.367385,104872784
43476.367431,139475792
43476.367478,174078800
43476.367524,206584656
43476.367570,241187664
43476.367617,49407152
43476.367663,82961584
43476.367709,117564592
43476.367755,151119024
43476.367802,185722032
43476.367848,219276464
43476.367894,252830896
43476.367941,60852752
43476.367987,95455760
43476.368033,129010192
43476.368080,162564624
43476.368126,196119056
43476.368172,230722064
43476.368218,37876224
43476.368265,72479232
43476.368311,107082240
43476.368357,140636672
43476.368404,173142528
43476.368450,207745536
43476.368496,241299968
43476.368543,48404336
43476.368589,83007344
43476.368635,116561776
43476.368681,151164784
43476.368728,183670640
43476.368774,218273648
43476.368820,251828080
43476.368867,58883680
43476.368913,92438112
43476.368959,127041120
43476.369005,160595552
43476.369052,195198560
43476.369098,228752992
43476.369144,34759648
43476.369191,69362656
43476.369237,102917088
43476.369283,137520096
43476.369330,171074528
43476.369376,204628960
43476.369422,238183392
43476.369468,46309760
43476.369515,80912768
43476.369561,113418624
43476.369607,148021632
43476.369654,181576064
43476.369700,215130496
43476.369746,249733504
43476.369793,56813688
43476.369839,90368120
43476.369885,123922552
43476.369931,158525560
43476.369978,191031416
43476.370024,225634424
43476.370070,32715720
43476.370117,66270152
43476.370163,99824584
43476.370209,134427592
43476.370256,169030600
43476.370302,202585032
43476.370348,236139464
43476.370394,43215016
43476.370441,76769448
43476.370487,110323880
43476.370533,144926888
43476.370580,178481320
43476.370626,212035752
43476.370672,246638760
43476.370719,52681728
43476.370765,86236160
43476.370811,120839168
43476.370857,154393600
43476.370904,187948032
43476.370950,222551040
43476.370996,256105472
43476.371043,62118744
43476.371089,97770328
43476.371135,131324760
43476.371181,164879192
43476.371228,198433624
43476.371274,231988056
43476.371320,39082336
43476.371367,73685344
43476.371413,107239776
43476.371459,141842784
43476.371506,175397216
43476.371552,208951648
43476.371598,243554656
43476.371644,49570328
43476.371691,85221912
43476.371737,117727768
43476.371783,151282200
43476.371830,185885208
43476.371876,219439640
43476.371922,252994072
43476.371968,60102744
43476.372015,93657176
43476.372061,128260184
43476.372107,161814616
43476.372154,195369048
43476.372200,228923480
43476.372246,37039376
43476.372293,69545232
43476.372339,104148240
43476.372385,137702672
43476.372431,172305680
43476.372478,205860112
43476.372524,239414544
43476.372570,47541088
43476.372617,81095520
43476.372663,114649952
43476.372709,148204384
43476.372756,181758816
43476.372802,216361824
43476.372848,249916256
43476.372894,58045792
43476.372941,90551648
43476.372987,125154656
43476.373033,158709088
43476.373080,193312096
43476.373126,226866528
43476.373172,33954664
43476.373219,68557672
43476.373265,102112104
43476.373311,135666536
43476.373357,169220968
43476.373404,202775400
43476.373450,237378408
43476.373496,43405800
43476.373543,78008808
43476.373589,111563240
43476.373635,146166248
43476.373681,178672104
43476.373728,213275112
43476.373774,247878120
43476.373820,54958640
43476.373867,89561648
43476.373913,122067504
43476.373959,156670512
43476.374006,190224944
43476.374052,224827952
43476.374098,32934560
43476.374144,65440416
43476.374191,100043424
43476.374237,133597856
43476.374283,167152288
43476.374330,200706720
43476.374376,235309728
43476.374422,42388112
43476.374469,75942544
43476.374515,110545552
43476.374561,144099984
43476.374607,178702992
43476.374654,212257424
43476.374700,245811856
43476.374746,52871616
43476.374793,87474624
43476.374839,121029056
43476.374885,154583488
43476.374932,188137920
43476.374978,221692352
43476.375024,256295360
43476.375070,64436496
43476.375117,97990928
43476.375163,131545360
43476.375209,165099792
43476.375256,198654224
43476.375302,233257232
43476.375348,39298144
43476.375394,73901152
43476.375441,108504160
43476.375487,142058592
