Time,Used
43476.377623,76802048
43476.377667,101967872
43476.377714,125036544
43476.377760,149153792
43476.377806,185853952
43476.377853,220456960
43476.377899,50464256
43476.377945,85067264
43476.377991,118621696
43476.378038,152176128
43476.378084,186779136
43476.378130,220333568
43476.378177,253888000
43476.378223,65668608
43476.378269,99223040
43476.378316,132777472
43476.378362,166331904
43476.378408,199886336
43476.378454,234489344
43476.378501,43513968
43476.378547,78116976
43476.378593,111671408
43476.378640,145225840
43476.378686,178780272
43476.378732,212334704
43476.378779,244840560
43476.378825,54869824
43476.378871,88424256
43476.378917,121978688
43476.378964,154484544
43476.379010,189087552
43476.379056,221593408
43476.379103,255147840
43476.379149,64329400
43476.379195,97883832
43476.379242,132486840
43476.379288,164992696
43476.379334,198547128
43476.379380,232101560
43476.379427,40219880
43476.379473,74822888
43476.379519,107328744
43476.379566,141931752
43476.379612,175486184
43476.379658,209040616
43476.379705,241546472
43476.379751,50751888
43476.379797,85354896
43476.379843,117860752
43476.379890,151415184
43476.379936,186018192
43476.379982,218524048
43476.380029,253127056
43476.380075,61172152
43476.380121,94726584
43476.380167,129329592
43476.380214,161835448
43476.380260,195389880
43476.380306,228944312
43476.380353,37063832
43476.380399,71666840
43476.380445,104172696
43476.380492,137727128
43476.380538,171281560
43476.380584,205884568
43476.380630,238390424
43476.380677,46623648
43476.380723,81226656
43476.380769,114781088
43476.380816,148335520
43476.380862,181889952
43476.380908,214395808
43476.380955,248998816
43476.381001,57102448
43476.381047,90656880
43476.381093,124211312
43476.381140,157765744
43476.381186,190271600
43476.381232,224874608
43476.381279,31939344
43476.381325,66542352
43476.381371,100096784
43476.381418,133651216
43476.381464,168254224
43476.381510,200760080
43476.381556,234314512
43476.381603,42401920
43476.381649,75956352
43476.381695,110559360
43476.381742,143065216
43476.381788,177668224
43476.381834,211222656
43476.381880,245825664
43476.381927,52941344
43476.381973,86495776
43476.382019,120050208
43476.382066,153604640
43476.382112,187159072
43476.382158,220713504
43476.382205,254267936
43476.382251,62374048
43476.382297,95928480
43476.382343,129482912
43476.382390,163037344
43476.382436,197640352
43476.382482,230146208
43476.382529,38342848
43476.382575,72945856
43476.382621,106500288
43476.382668,140054720
43476.382714,173609152
43476.382760,207163584
43476.382806,240718016
43476.382853,46657264
43476.382899,81260272
43476.382945,114814704
43476.382992,148369136
43476.383038,181923568
43476.383084,215478000
43476.383131,247983856
43476.383177,56086176
43476.383223,89640608
43476.383269,123195040
43476.383316,156749472
43476.383362,190303904
43476.383408,224906912
43476.383455,32023456
43476.383501,64529312
43476.383547,98083744
43476.383593,132686752
43476.383640,165192608
43476.383686,198747040
43476.383732,233350048
43476.383779,39367664
43476.383825,73970672
43476.383871,106476528
43476.383918,140030960
43476.383964,173585392
43476.384010,207139824
43476.384056,241742832
43476.384103,47765104
43476.384149,82368112
43476.384195,114873968
43476.384242,148428400
43476.384288,181982832
43476.384334,216585840
43476.384381,250140272
43476.384427,57240352
43476.384473,90794784
43476.384519,123300640
43476.384566,157903648
43476.384612,191458080
43476.384658,225012512
43476.384705,33146272
43476.384751,65652128
43476.384797,100255136
43476.384844,133809568
43476.384890,166315424
43476.384936,200918432
43476.384982,234472864
43476.385029,40503176
43476.385075,75106184
43476.385121,108660616
43476.385168,142215048
43476.385214,175769480
43476.385260,209323912
43476.385306,242878344
43476.385353,49935664
43476.385399,83490096
43476.385445,115995952
43476.385492,150598960
43476.385538,184153392
43476.385584,217707824
43476.385631,251262256
43476.385677,58352752
43476.385723,90858608
43476.385769,125461616
43476.385816,159016048
43476.385862,192570480
43476.385908,227173488
43476.385955,32142600
43476.386001,66745608
43476.386047,99251464
43476.386094,133854472
43476.386140,167408904
43476.386186,200963336
43476.386232,234517768
43476.386279,41623584
43476.386325,75178016
43476.386371,107683872
43476.386418,142286880
43476.386464,175841312
43476.386510,209395744
43476.386556,241901600
43476.386603,50037680
43476.386649,82543536
43476.386695,117146544
43476.386742,150700976
43476.386788,183206832
43476.386834,216761264
43476.386881,251364272
43476.386927,58423208
43476.386973,91977640
43476.387019,125532072
43476.387066,159086504
43476.387112,192640936
43476.387158,226195368
43476.387205,32237840
43476.387251,66840848
43476.387297,100395280
43476.387344,133949712
43476.387390,167504144
43476.387436,202107152
43476.387482,234613008
43476.387529,42738864
43476.387575,76293296
43476.387621,109847728
43476.387668,143402160
43476.387714,176956592
43476.387760,210511024
43476.387807,244065456
43476.387853,52174384
43476.387899,85728816
43476.387945,118234672
43476.387992,151789104
43476.388038,186392112
43476.388084,218897968
43476.388131,252452400
43476.388177,59563600
43476.388223,94166608
43476.388269,127721040
43476.388316,159178320
43476.388362,194829904
43476.388408,227335760
43476.388455,34402816
43476.388501,67957248
43476.388547,101511680
43476.388594,134017536
43476.388640,167571968
43476.388686,202174976
43476.388732,235729408
43476.388779,42811248
43476.388825,76365680
43476.388871,109920112
43476.388918,143474544
43476.388964,177028976
43476.389010,210583408
43476.389057,244137840
43476.389103,51208432
43476.389149,85811440
43476.389195,118317296
43476.389242,151871728
43476.389288,186474736
43476.389334,220029168
43476.389381,253583600
