Time,CPU Usage
43476.391425,8.1
43476.391471,5.1
43476.391517,2.9
43476.391563,2.2
43476.391610,1.6
43476.391656,1.9
43476.391702,1.5
43476.391749,1.0
43476.391795,28.1
43476.391841,23.7
43476.391887,16.9
43476.391934,18.9
43476.391980,9.5
43476.392026,17.1
43476.392073,18.5
43476.392119,16.5
43476.392165,17.1
43476.392212,11.3
43476.392258,6.6
43476.392304,6.1
43476.392350,6.3
43476.392397,7.0
43476.392443,8.9
43476.392489,5.6
43476.392536,5.1
43476.392582,6.0
43476.392628,5.1
43476.392674,5.1
43476.392721,5.5
43476.392767,4.9
43476.392813,5.2
43476.392860,4.9
43476.392906,4.8
43476.392952,4.9
43476.392999,5.7
43476.393045,4.9
43476.393091,5.1
43476.393137,4.8
43476.393184,5.3
43476.393230,4.8
43476.393276,4.8
43476.393323,5.0
43476.393369,5.2
43476.393415,4.9
43476.393462,4.7
43476.393508,4.9
43476.393554,4.9
43476.393600,4.9
43476.393647,4.8
43476.393693,5.2
43476.393739,4.7
43476.393786,4.7
43476.393832,4.7
43476.393878,4.9
43476.393925,4.9
43476.393971,5.9
43476.394017,4.8
43476.394063,4.8
43476.394110,4.5
43476.394156,4.1
43476.394202,4.1
43476.394249,4.1
43476.394295,4.8
43476.394341,4.6
43476.394387,4.9
43476.394434,5.5
43476.394480,5.9
43476.394526,5.9
43476.394573,6.4
43476.394619,5.8
43476.394665,5.7
43476.394712,5.9
43476.394758,5.7
43476.394804,5.9
43476.394850,6.0
43476.394897,6.3
43476.394943,5.9
43476.394989,5.9
43476.395036,6.0
43476.395082,5.9
43476.395128,6.0
43476.395175,5.8
43476.395221,6.1
43476.395267,5.9
43476.395313,5.8
43476.395360,5.9
43476.395406,5.9
43476.395452,5.9
43476.395499,5.7
43476.395545,5.9
43476.395591,5.8
43476.395638,5.8
43476.395684,5.8
43476.395730,6.0
43476.395776,6.2
43476.395823,5.8
43476.395869,5.8
43476.395915,6.0
43476.395962,5.8
43476.396008,5.8
43476.396054,5.8
43476.396100,5.9
43476.396147,5.7
43476.396193,5.8
43476.396239,5.8
43476.396286,5.8
43476.396332,5.9
43476.396378,5.8
43476.396425,5.8
43476.396471,4.6
43476.396517,4.7
43476.396563,4.9
43476.396610,4.9
43476.396656,4.8
43476.396702,5.0
43476.396749,4.9
43476.396795,4.9
43476.396841,4.9
43476.396888,4.9
43476.396934,5.0
43476.396980,5.4
43476.397026,5.2
43476.397073,4.9
43476.397119,4.9
43476.397165,4.9
43476.397212,4.9
43476.397258,4.8
43476.397304,4.9
43476.397350,4.9
43476.397397,4.8
43476.397443,4.8
43476.397489,5.1
43476.397536,4.8
43476.397582,5.1
43476.397628,4.8
43476.397675,5.1
43476.397721,5.7
43476.397767,4.8
43476.397813,4.9
43476.397860,5.0
43476.397906,5.3
43476.397952,5.6
43476.397999,4.9
43476.398045,5.1
43476.398091,4.8
43476.398138,4.8
43476.398184,4.9
43476.398230,4.8
43476.398276,4.9
43476.398323,4.6
43476.398369,4.6
43476.398415,4.9
43476.398462,4.8
43476.398508,4.6
43476.398554,4.8
43476.398600,4.8
43476.398647,4.7
43476.398693,4.7
43476.398739,4.7
43476.398786,4.9
43476.398832,4.9
43476.398878,4.6
43476.398925,4.8
43476.398971,4.7
43476.399017,5.0
43476.399063,4.8
43476.399110,4.7
43476.399156,4.6
43476.399202,4.7
43476.399249,4.8
43476.399295,4.6
43476.399341,4.8
43476.399388,4.6
43476.399434,4.7
43476.399480,4.7
43476.399526,4.7
43476.399573,5.3
43476.399619,4.7
43476.399665,4.7
43476.399712,4.7
43476.399758,4.8
43476.399804,4.8
43476.399851,4.6
43476.399897,4.6
43476.399943,4.9
43476.399989,4.5
43476.400036,4.6
43476.400082,4.4
43476.400128,4.6
43476.400175,4.6
43476.400221,4.5
43476.400267,4.6
43476.400314,4.5
43476.400360,4.6
43476.400406,4.6
43476.400452,4.5
43476.400499,4.6
43476.400545,4.6
43476.400591,4.6
43476.400638,4.5
43476.400684,4.7
43476.400730,4.6
43476.400776,4.6
43476.400823,4.6
43476.400869,4.5
43476.400915,4.6
43476.400962,4.6
43476.401008,5.4
43476.401054,5.5
43476.401101,5.6
43476.401147,5.6
43476.401193,4.9
43476.401239,4.4
43476.401286,4.6
43476.401332,4.7
43476.401378,4.6
43476.401425,4.6
43476.401471,4.5
43476.401517,4.7
43476.401564,4.6
43476.401610,4.6
43476.401656,4.5
43476.401702,4.6
43476.401749,4.7
43476.401795,4.8
43476.401841,4.6
43476.401888,4.7
43476.401934,4.8
43476.401980,4.6
43476.402027,4.8
43476.402073,4.7
43476.402119,4.7
43476.402165,5.1
43476.402212,4.8
43476.402258,4.7
43476.402304,4.9
43476.402351,4.7
43476.402397,4.7
43476.402443,4.7
43476.402489,4.7
43476.402536,4.7
43476.402582,5.1
43476.402628,4.6
43476.402675,4.7
43476.402721,4.6
43476.402767,4.7
43476.402814,4.7
43476.402860,4.6
43476.402906,4.6
43476.402952,4.6
43476.402999,4.4
43476.403045,4.5
43476.403091,4.7
43476.403138,4.6
43476.403184,4.5
43476.403230,4.7
