Time,Used
43476.391379,153332688
43476.391424,159624144
43476.391471,160672720
43476.391517,161721296
43476.391563,162769872
43476.391610,162769872
43476.391656,163818448
43476.391702,164867024
43476.391748,165915600
43476.391795,87621632
43476.391841,125370368
43476.391887,159973376
43476.391934,194576384
43476.391980,229179392
43476.392026,52533760
43476.392073,88185344
43476.392119,121739776
43476.392165,155294208
43476.392211,188848640
43476.392258,222403072
43476.392304,255957504
43476.392350,67000000
43476.392397,100554432
43476.392443,135157440
43476.392489,167663296
43476.392536,201217728
43476.392582,234772160
43476.392628,44778576
43476.392674,77284432
43476.392721,109790288
43476.392767,144393296
43476.392813,176899152
43476.392860,210453584
43476.392906,242959440
43476.392952,52001968
43476.392998,85556400
43476.393045,120159408
43476.393091,152665264
43476.393137,185171120
43476.393184,219774128
43476.393230,252279984
43476.393276,59324096
43476.393323,92878528
43476.393369,126432960
43476.393415,158938816
43476.393461,192493248
43476.393508,226047680
43476.393554,34163792
43476.393600,65621072
43476.393647,99175504
43476.393693,131681360
43476.393739,167332944
43476.393786,199838800
43476.393832,233393232
43476.393878,39383744
43476.393924,72938176
43476.393971,106492608
43476.394017,140047040
43476.394063,173601472
43476.394110,206107328
43476.394156,239661760
43476.394202,46682984
43476.394249,80237416
43476.394295,113791848
43476.394341,147346280
43476.394387,179852136
43476.394434,213406568
43476.394480,246961000
43476.394526,54066096
43476.394573,86571952
43476.394619,120126384
43476.394665,152632240
43476.394711,186186672
43476.394758,220789680
43476.394804,253295536
43476.394850,60363584
43476.394897,93918016
43476.394943,127472448
43476.394989,161026880
43476.395036,193532736
43476.395082,227087168
43476.395128,34176608
43476.395174,67731040
43476.395221,101285472
43476.395267,134839904
43476.395313,167345760
43476.395360,200900192
43476.395406,233406048
43476.395452,40475136
43476.395499,74029568
43476.395545,106535424
43476.395591,141138432
43476.395637,174692864
43476.395684,207198720
43476.395730,239704576
43476.395776,47903280
43476.395823,80409136
43476.395869,113963568
43476.395915,147518000
43476.395961,181072432
43476.396008,213578288
43476.396054,247132720
43476.396100,56250696
43476.396147,89805128
43476.396193,121262408
43476.396239,154816840
43476.396286,188371272
43476.396332,221925704
43476.396378,255480136
43476.396424,63543808
43476.396471,97098240
43476.396517,129604096
43476.396563,163158528
43476.396610,196712960
43476.396656,229218816
43476.396702,37447360
43476.396749,69953216
43476.396795,103507648
43476.396841,137062080
43476.396887,170616512
43476.396934,204170944
43476.396980,236676800
43476.397026,43704048
43476.397073,77258480
43476.397119,110812912
43476.397165,143318768
43476.397212,177921776
43476.397258,211476208
43476.397304,243982064
43476.397350,51082904
43476.397397,83588760
43476.397443,117143192
43476.397489,150697624
43476.397536,183203480
43476.397582,217806488
43476.397628,250312344
43476.397674,57381168
43476.397721,90935600
43476.397767,123441456
43476.397813,156995888
43476.397860,190550320
43476.397906,223056176
43476.397952,256610608
43476.397999,62629736
43476.398045,97232744
43476.398091,129738600
43476.398137,163293032
43476.398184,196847464
43476.398230,229353320
43476.398276,36423112
43476.398323,69977544
43476.398369,102483400
43476.398415,136037832
43476.398462,169592264
43476.398508,203146696
43476.398554,236701128
43476.398600,43794000
43476.398647,77348432
43476.398693,109854288
43476.398739,143408720
43476.398786,178011728
43476.398832,210517584
43476.398878,243023440
43476.398925,50103696
43476.398971,84706704
43476.399017,117212560
43476.399063,150766992
43476.399110,183272848
43476.399156,216827280
43476.399202,250381712
43476.399249,57458400
43476.399295,91012832
43476.399341,124567264
43476.399388,157073120
43476.399434,190627552
43476.399480,224181984
43476.399526,257736416
43476.399573,64816032
43476.399619,97321888
43476.399665,130876320
43476.399712,164430752
43476.399758,197985184
43476.399804,230491040
43476.399850,37568896
43476.399897,71123328
43476.399943,103629184
43476.399989,138232192
43476.400036,170738048
43476.400082,204292480
43476.400128,237846912
43476.400175,44927984
43476.400221,77433840
43476.400267,110988272
43476.400313,144542704
43476.400360,178097136
43476.400406,210602992
43476.400452,244157424
43476.400499,51221344
43476.400545,83727200
43476.400591,117281632
43476.400638,150836064
43476.400684,184390496
43476.400730,217944928
43476.400776,250450784
43476.400823,57540992
43476.400869,91095424
43476.400915,124649856
43476.400962,158204288
43476.401008,191758720
43476.401054,225313152
43476.401101,257819008
43476.401147,65960416
43476.401193,98466272
43476.401239,130972128
43476.401286,165575136
43476.401332,198080992
43476.401378,232684000
43476.401425,38698080
43476.401471,71203936
43476.401517,105806944
43476.401563,138312800
43476.401610,171867232
43476.401656,205421664
43476.401702,237927520
43476.401749,46053952
43476.401795,78559808
43476.401841,113162816
43476.401888,145668672
43476.401934,178174528
43476.401980,212777536
43476.402026,246331968
43476.402073,52359904
43476.402119,84865760
43476.402165,119468768
43476.402212,151974624
43476.402258,185529056
43476.402304,219083488
43476.402351,252637920
43476.402397,58668608
43476.402443,92223040
43476.402489,125777472
43476.402536,159331904
43476.402582,192886336
43476.402628,225392192
43476.402675,30372720
43476.402721,66024304
43476.402767,98530160
43476.402813,132084592
43476.402860,165639024
43476.402906,198144880
43476.402952,231699312
43476.402999,38761008
43476.403045,72315440
43476.403091,104821296
43476.403138,138375728
43476.403184,171930160
43476.403230,204436016
43476.403276,239039024
43476.403323,45098584
