Time,Used,Committed,Max,Threshold
43509.563602,181403648,230686720,-1,-1
43509.563647,14680064,218103808,-1,-1
43509.563694,42991616,218103808,-1,-1
43509.563740,71303168,218103808,-1,-1
43509.563786,98566144,218103808,-1,-1
43509.563833,180355072,218103808,-1,-1
43509.563879,28311552,220200960,-1,-1
43509.563925,77594624,220200960,-1,-1
43509.563972,140509184,220200960,-1,-1
43509.564018,8388608,224395264,-1,-1
43509.564064,77594624,224395264,-1,-1
43509.564110,145752064,224395264,-1,-1
43509.564157,3145728,223346688,-1,-1
43509.564203,71303168,223346688,-1,-1
43509.564249,137363456,223346688,-1,-1
43509.564296,203423744,223346688,-1,-1
43509.564342,62914560,223346688,-1,-1
43509.564388,128974848,223346688,-1,-1
43509.564434,196083712,223346688,-1,-1
43509.564481,52428800,223346688,-1,-1
43509.564527,118489088,223346688,-1,-1
43509.564573,183500800,223346688,-1,-1
43509.564620,39845888,223346688,-1,-1
43509.564666,105906176,223346688,-1,-1
43509.564712,171966464,223346688,-1,-1
43509.564759,27262976,223346688,-1,-1
43509.564805,94371840,223346688,-1,-1
43509.564851,160432128,223346688,-1,-1
43509.564897,15728640,223346688,-1,-1
43509.564944,80740352,223346688,-1,-1
43509.564990,146800640,223346688,-1,-1
43509.565036,2097152,223346688,-1,-1
43509.565083,67108864,223346688,-1,-1
43509.565129,133169152,223346688,-1,-1
43509.565175,199229440,223346688,-1,-1
43509.565222,53477376,222298112,-1,-1
43509.565268,120586240,222298112,-1,-1
43509.565314,185597952,222298112,-1,-1
43509.565360,41943040,222298112,-1,-1
43509.565407,108003328,222298112,-1,-1
43509.565453,174063616,222298112,-1,-1
43509.565499,30408704,222298112,-1,-1
43509.565546,97517568,222298112,-1,-1
43509.565592,163577856,222298112,-1,-1
43509.565638,20971520,222298112,-1,-1
43509.565685,87031808,222298112,-1,-1
43509.565731,154140672,222298112,-1,-1
43509.565777,10485760,222298112,-1,-1
43509.565823,77594624,222298112,-1,-1
43509.565870,143654912,222298112,-1,-1
43509.565916,209715200,222298112,-1,-1
43509.565962,67108864,227540992,-1,-1
43509.566009,134217728,227540992,-1,-1
43509.566055,200278016,227540992,-1,-1
43509.566101,53477376,228589568,-1,-1
43509.566147,119537664,228589568,-1,-1
43509.566194,186646528,228589568,-1,-1
43509.566240,37748736,229638144,-1,-1
43509.566286,104857600,229638144,-1,-1
43509.566333,171966464,229638144,-1,-1
43509.566379,22020096,229638144,-1,-1
43509.566425,88080384,229638144,-1,-1
43509.566472,154140672,229638144,-1,-1
43509.566518,4194304,229638144,-1,-1
43509.566564,71303168,229638144,-1,-1
43509.566610,137363456,229638144,-1,-1
43509.566657,204472320,229638144,-1,-1
43509.566703,54525952,229638144,-1,-1
43509.566749,121634816,229638144,-1,-1
43509.566796,188743680,229638144,-1,-1
43509.566842,39845888,229638144,-1,-1
43509.566888,106954752,229638144,-1,-1
43509.566935,173015040,229638144,-1,-1
43509.566981,23068672,229638144,-1,-1
43509.567027,90177536,229638144,-1,-1
43509.567073,158334976,229638144,-1,-1
43509.567120,7340032,229638144,-1,-1
43509.567166,74448896,229638144,-1,-1
43509.567212,141557760,229638144,-1,-1
43509.567259,208666624,229638144,-1,-1
43509.567305,58720256,230686720,-1,-1
43509.567351,125829120,230686720,-1,-1
43509.567398,192937984,230686720,-1,-1
43509.567444,41943040,229638144,-1,-1
43509.567490,109051904,229638144,-1,-1
43509.567536,176160768,229638144,-1,-1
43509.567583,26214400,229638144,-1,-1
43509.567629,93323264,229638144,-1,-1
43509.567675,160432128,229638144,-1,-1
43509.567722,10485760,229638144,-1,-1
43509.567768,77594624,229638144,-1,-1
43509.567814,144703488,229638144,-1,-1
43509.567860,210763776,229638144,-1,-1
43509.567907,60817408,229638144,-1,-1
43509.567953,126877696,229638144,-1,-1
43509.567999,193986560,229638144,-1,-1
43509.568046,44040192,229638144,-1,-1
43509.568092,111149056,229638144,-1,-1
43509.568138,177209344,229638144,-1,-1
43509.568185,29360128,229638144,-1,-1
43509.568231,95420416,229638144,-1,-1
43509.568277,162529280,229638144,-1,-1
43509.568323,12582912,229638144,-1,-1
43509.568370,79691776,229638144,-1,-1
43509.568416,146800640,229638144,-1,-1
43509.568462,216006656,229638144,-1,-1
43509.568509,67108864,229638144,-1,-1
43509.568555,133169152,229638144,-1,-1
43509.568601,200278016,229638144,-1,-1
43509.568648,50331648,229638144,-1,-1
43509.568694,116391936,229638144,-1,-1
43509.568740,184549376,229638144,-1,-1
43509.568786,35651584,229638144,-1,-1
43509.568833,101711872,229638144,-1,-1
43509.568879,168820736,229638144,-1,-1
43509.568925,18874368,229638144,-1,-1
43509.568972,85983232,229638144,-1,-1
43509.569018,153092096,229638144,-1,-1
43509.569064,3145728,229638144,-1,-1
43509.569111,70254592,229638144,-1,-1
43509.569157,137363456,229638144,-1,-1
43509.569203,203423744,229638144,-1,-1
43509.569249,54525952,229638144,-1,-1
43509.569296,120586240,229638144,-1,-1
43509.569342,187695104,229638144,-1,-1
43509.569388,38797312,229638144,-1,-1
43509.569435,104857600,229638144,-1,-1
43509.569481,173015040,229638144,-1,-1
43509.569527,23068672,229638144,-1,-1
43509.569573,90177536,229638144,-1,-1
43509.569620,157286400,229638144,-1,-1
43509.569666,7340032,229638144,-1,-1
43509.569712,75497472,229638144,-1,-1
43509.569759,141557760,229638144,-1,-1
43509.569805,208666624,229638144,-1,-1
43509.569851,59768832,229638144,-1,-1
43509.569898,126877696,229638144,-1,-1
43509.569944,195035136,229638144,-1,-1
43509.569990,45088768,229638144,-1,-1
43509.570036,113246208,229638144,-1,-1
43509.570083,180355072,229638144,-1,-1
43509.570129,30408704,229638144,-1,-1
43509.570175,98566144,229638144,-1,-1
43509.570222,165675008,229638144,-1,-1
43509.570268,16777216,229638144,-1,-1
43509.570314,83886080,229638144,-1,-1
43509.570361,150994944,229638144,-1,-1
43509.570407,2097152,229638144,-1,-1
43509.570453,69206016,229638144,-1,-1
43509.570499,136314880,229638144,-1,-1
43509.570546,203423744,229638144,-1,-1
43509.570592,53477376,229638144,-1,-1
43509.570638,120586240,229638144,-1,-1
