Time,Used
43509.563602,205250048
43509.563647,52124768
43509.563694,80436320
43509.563740,108747872
43509.563786,136010848
43509.563833,217799776
43509.563879,64375808
43509.563925,113658880
43509.563972,176573440
43509.564018,40258560
43509.564064,108416000
43509.564110,177622016
43509.564157,35501584
43509.564203,103659024
43509.564249,169719312
43509.564296,235779600
43509.564342,95235832
43509.564388,161296120
43509.564434,228404984
43509.564481,84749776
43509.564527,149761488
43509.564573,215821776
43509.564620,72628768
43509.564666,138689056
43509.564712,204749344
43509.564759,60181504
43509.564805,127290368
43509.564851,193350656
43509.564897,48647168
43509.564944,113658880
43509.564990,179719168
43509.565036,35015680
43509.565083,100027392
43509.565129,165039104
43509.565175,232147968
43509.565222,86889904
43509.565268,153998768
43509.565314,219010480
43509.565360,75910144
43509.565407,141970432
43509.565453,208030720
43509.565499,64375808
43509.565546,131484672
43509.565592,197544960
43509.565638,54934496
43509.565685,120994784
43509.565731,188103648
43509.565777,44452864
43509.565823,111561728
43509.565870,177622016
43509.565916,243682304
43509.565962,101743104
43509.566009,168851968
43509.566055,234912256
43509.566101,88042632
43509.566147,154102920
43509.566194,221211784
43509.566240,72333552
43509.566286,139442416
43509.566333,206551280
43509.566379,56849240
43509.566425,122909528
43509.566472,188969816
43509.566518,39277824
43509.566564,106386688
43509.566610,172446976
43509.566657,239555840
43509.566703,89828592
43509.566749,156937456
43509.566796,224046320
43509.566842,75362480
43509.566888,141422768
43509.566935,208531632
43509.566981,58808096
43509.567027,125916960
43509.567073,193025824
43509.567120,43458672
43509.567166,110567536
43509.567212,177676400
43509.567259,244785264
43509.567305,94749184
43509.567351,161858048
43509.567398,228966912
43509.567444,78342688
43509.567490,145451552
43509.567536,212560416
43509.567583,62832104
43509.567629,129940968
43509.567675,197049832
43509.567722,47319664
43509.567768,114428528
43509.567814,180488816
43509.567860,247597680
43509.567907,97866464
43509.567953,163926752
43509.567999,231035616
43509.568046,81444880
43509.568092,148553744
43509.568138,214614032
43509.568185,66822360
43509.568231,132882648
43509.568277,199991512
43509.568323,50420208
43509.568370,117529072
43509.568416,184637936
43509.568462,253843952
43509.568509,103957120
43509.568555,171065984
43509.568601,238174848
43509.568648,88449616
43509.568694,154509904
43509.568740,222667344
43509.568786,72946704
43509.568833,140055568
43509.568879,207164432
43509.568925,57435168
43509.568972,124544032
43509.569018,191652896
43509.569064,42086976
43509.569111,109195840
43509.569157,176304704
43509.569203,242364992
43509.569249,93691040
43509.569296,159751328
43509.569342,226860192
43509.569388,78034296
43509.569435,144094584
43509.569481,211203448
43509.569527,62532088
43509.569573,129640952
43509.569620,196749816
43509.569666,47029608
43509.569712,115187048
43509.569759,181247336
43509.569805,248356200
43509.569851,99675848
43509.569898,166784712
43509.569944,234942152
43509.569990,85206728
43509.570036,153364168
43509.570083,220473032
43509.570129,70743064
43509.570175,138900504
43509.570222,206009368
43509.570268,57327624
43509.570314,124436488
43509.570361,191545352
43509.570407,42865648
43509.570453,109974512
43509.570499,177083376
43509.570546,244192240
43509.570592,93413240
43509.570638,160522104
43509.570685,228679544
43509.570731,79097360
43509.570777,146206224
43509.570824,213315088
43509.570870,63430080
43509.570916,130538944
43509.570962,197647808
43509.571009,47753728
43509.571055,114862592
43509.571101,183020032
43509.571148,251177472
43509.571194,100705344
43509.571240,167814208
43509.571286,234923072
43509.571333,85192544
43509.571379,152301408
43509.571425,219410272
43509.571472,70565808
43509.571518,137674672
43509.571564,204783536
43509.571611,55216912
43509.571657,123374352
43509.571703,191531792
43509.571749,257592080
43509.571796,107852752
43509.571842,174961616
43509.571888,241021904
43509.571935,91131872
43509.571981,158240736
43509.572027,224301024
43509.572074,73663760
43509.572120,140772624
43509.572166,206832912
43509.572212,57098400
43509.572259,124207264
43509.572305,191316128
43509.572351,258424992
43509.572398,108693136
43509.572444,175802000
43509.572490,242910864
43509.572536,94064016
43509.572583,161172880
43509.572629,229330320
43509.572675,79597984
43509.572722,146706848
43509.572768,213815712
43509.572814,64084424
43509.572861,132241864
43509.572907,198302152
43509.572953,49614720
43509.572999,115675008
43509.573046,182783872
43509.573092,249892736
43509.573138,100326048
43509.573185,167434912
43509.573231,234543776
43509.573277,84658896
43509.573324,151767760
43509.573370,217828048
43509.573416,69290416
43509.573462,135350704
43509.573509,202459568
43509.573555,52574584
43509.573601,120732024
43509.573648,187840888
43509.573694,254949752
43509.573740,106266560
43509.573787,173375424
43509.573833,239435712
43509.573879,90907952
43509.573925,156968240
43509.573972,224077104
43509.574018,74201448
43509.574064,141310312
43509.574111,208419176
43509.574157,59892672
43509.574203,125952960
43509.574249,193061824
43509.574296,259122112
43509.574342,109389600
43509.574388,176498464
43509.574435,243607328
43509.574481,92830880
43509.574527,159939744
43509.574574,226000032
43509.574620,77319024
43509.574666,144427888
43509.574712,212585328
43509.574759,62701152
43509.574805,128761440
43509.574851,195870304
43509.574898,262979168
43509.574944,113258104
43509.574990,180366968
43509.575037,247475832
43509.575083,96835488
43509.575129,163944352
43509.575175,231053216
43509.575222,81321872
43509.575268,148430736
43509.575314,215539600
43509.575361,66857968
43509.575407,133966832
43509.575453,201075696
43509.575499,50296688
43509.575546,117405552
43509.575592,184514416
43509.575638,250574704
43509.575685,100700392
43509.575731,168857832
43509.575777,234918120
43509.575824,86082048
43509.575870,151093760
43509.575916,219251200
43509.575962,68626584
43509.576009,134686872
43509.576055,201795736
43509.576101,52064504
43509.576148,119173368
43509.576194,186282232
43509.576240,253391096
43509.576287,103660360
43509.576333,157434416
43509.576379,210911792
43509.576425,265437744
43509.576472,102013760
43509.576518,153393984
43509.576564,205822784
43509.576611,257203008
43509.576657,93043712
43509.576703,143375360
43509.576750,193707008
43509.576796,245087232
43509.576842,78200000
43509.576888,128531648
43509.576935,177814720
43509.576981,228146368
43509.577027,61401184
43509.577074,111732832
43509.577120,161015904
43509.577166,211347552
43509.577212,261679200
43509.577259,95999808
43509.577305,145282880
43509.577351,194565952
43509.577398,243849024
43509.577444,78175744
43509.577490,128507392
43509.577537,176741888
43509.577583,228122112
43509.577629,59452944
43509.577675,108736016
43509.577722,158019088
43509.577768,206253584
43509.577814,255536656
43509.577861,86886496
43509.577907,135120992
43509.577953,184404064
43509.578000,232638560
43509.578046,64675536
43509.578092,113958608
43509.578138,162193104
43509.578185,210427600
43509.578231,259710672
43509.578277,91958160
43509.578324,140192656
43509.578370,189475728
43509.578416,238758800
43509.578462,71025152
43509.578509,119259648
43509.578555,168542720
43509.578601,217825792
43509.578648,267108864
43509.578694,98192384
43509.578740,147475456
43509.578787,196758528
43509.578833,246041600
43509.578879,77262960
43509.578925,125497456
43509.578972,174780528
43509.579018,224063600
43509.579064,55372944
43509.579111,105704592
43509.579157,153939088
43509.579203,203222160
43509.579250,252505232
43509.579296,82504576
43509.579342,130739072
43509.579388,180022144
43509.579435,231402368
43509.579481,63706304
43509.579527,111940800
43509.579574,161223872
43509.579620,210506944
43509.579666,259790016
43509.579712,88829688
43509.579759,137064184
43509.579805,186347256
43509.579851,235630328
43509.579898,64694784
43509.579944,115026432
43509.579990,164309504
43509.580037,213592576
43509.580083,262875648
43509.580129,92978984
43509.580175,141213480
43509.580222,190496552
43509.580268,239779624
43509.580314,68886368
43509.580361,117120864
43509.580407,166403936
43509.580453,215687008
43509.580500,264970080
43509.580546,93023808
43509.580592,142306880
43509.580638,191589952
43509.580685,240873024
43509.580731,69954056
43509.580777,120285704
43509.580824,169568776
43509.580870,218851848
43509.580916,268134920
43509.580963,97252368
43509.581009,146535440
43509.581055,196867088
43509.581101,245101584
43509.581148,74202400
43509.581194,123485472
43509.581240,171719968
43509.581287,221003040
43509.581333,271334688
43509.581379,100428016
43509.581425,148662512
43509.581472,198994160
43509.581518,247228656
43509.581564,76321984
43509.581611,125605056
43509.581657,174888128
43509.581703,224171200
43509.581750,52215600
43509.581796,102547248
43509.581842,150781744
43509.581888,200064816
43509.581935,249347888
43509.581981,78443680
43509.582027,127726752
43509.582074,177009824
43509.582120,226292896
43509.582166,55386048
43509.582213,103620544
43509.582259,153952192
43509.582305,202186688
43509.582351,251469760
43509.582398,80556280
43509.582444,129839352
43509.582490,178073848
43509.582537,227356920
43509.582583,55417504
43509.582629,104700576
43509.582676,153983648
43509.582722,203266720
43509.582768,252549792
43509.582814,80587488
43509.582861,130919136
43509.582907,180202208
43509.582953,229485280
43509.583000,58606728
43509.583046,107889800
43509.583092,157172872
43509.583138,206455944
43509.583185,255739016
43509.583231,84835056
43509.583277,133069552
43509.583324,182352624
43509.583370,231635696
43509.583416,59671488
43509.583463,108954560
43509.583509,158237632
43509.583555,208569280
43509.583601,257852352
43509.583648,85900032
43509.583694,135183104
43509.583740,185514752
43509.583787,234797824
43509.583833,62844160
43509.583879,112127232
43509.583926,161410304
43509.583972,209644800
43509.584018,258927872
43509.584064,88026832
43509.584111,136261328
43509.584157,186592976
43509.584203,235876048
43509.584250,63925424
43509.584296,112159920
43509.584342,161442992
43509.584389,210726064
43509.584435,260009136
43509.584481,88057168
43509.584527,136291664
43509.584574,185574736
43509.584620,233809232
43509.584666,62919792
43509.584713,112202864
43509.584759,161485936
43509.584805,210769008
43509.584851,259003504
43509.584898,88083824
43509.584944,137366896
43509.584990,186649968
43509.585037,234884464
43509.585083,63980784
43509.585129,114312432
43509.585176,163595504
43509.585222,212878576
43509.585268,262161648
43509.585314,90221352
43509.585361,139504424
43509.585407,188787496
43509.585453,238070568
43509.585500,67164928
43509.585546,116448000
43509.585592,165731072
43509.585639,213965568
43509.585685,263248640
43509.585731,92350592
43509.585777,141633664
43509.585824,190916736
43509.585870,240199808
43509.585916,70317600
43509.585963,119600672
43509.586009,168883744
43509.586055,218166816
43509.586102,268498464
43509.586148,97608928
43509.586194,146892000
43509.586240,196175072
43509.586287,246506720
43509.586333,75602688
43509.586379,125934336
43509.586426,175217408
43509.586472,224500480
43509.586518,54649296
43509.586564,102883792
43509.586611,152166864
43509.586657,200401360
43509.586703,249684432
43509.586750,79825456
43509.586796,129108528
43509.586842,178391600
43509.586889,226626096
43509.586935,55729088
43509.586981,106060736
43509.587027,155343808
43509.587074,205675456
43509.587120,253909952
43509.587166,84049392
43509.587213,133332464
43509.587259,182615536
43509.587305,231898608
43509.587352,60992288
43509.587398,110275360
43509.587444,159558432
43509.587490,207792928
43509.587537,257076000
43509.587583,86172960
43509.587629,135456032
43509.587676,183690528
43509.587722,232973600
43509.587768,62053488
43509.587815,111336560
43509.587861,160619632
43509.587907,209902704
43509.587953,260234352
43509.588000,89346688
43509.588046,139678336
43509.588092,188961408
43509.588139,239293056
43509.588185,67324016
43509.588231,116607088
43509.588277,165890160
43509.588324,215173232
43509.588370,265504880
43509.588416,94616048
43509.588463,144947696
43509.588509,193182192
43509.588555,242465264
43509.588602,71560176
43509.588648,121891824
43509.588694,171174896
43509.588740,221506544
43509.588787,271838192
43509.588833,100921784
43509.588879,150204856
43509.588926,200536504
43509.588972,248771000
43509.589018,78945168
43509.589065,128228240
43509.589111,177511312
43509.589157,227842960
43509.589203,56923072
43509.589250,106206144
43509.589296,155489216
43509.589342,205820864
43509.589389,255103936
43509.589435,84200432
43509.589481,133483504
43509.589528,182766576
43509.589574,232049648
43509.589620,60096096
43509.589666,109379168
43509.589713,159710816
43509.589759,207945312
43509.589805,258276960
43509.589852,86324336
43509.589898,135607408
43509.589944,185939056
43509.589990,235222128
43509.590037,64319504
43509.590083,113602576
43509.590129,162885648
43509.590176,212168720
43509.590222,261451792
43509.590268,91577800
43509.590315,141909448
43509.590361,192241096
43509.590407,241524168
43509.590453,71682320
43509.590500,122013968
43509.590546,172345616
43509.590592,221628688
43509.590639,273008912
