Time,Used,Committed,Max,Threshold
43508.725007,102760448,226492416,-1,-1
43508.725052,136314880,226492416,-1,-1
43508.725098,165675008,226492416,-1,-1
43508.725144,42991616,223346688,-1,-1
43508.725191,96468992,223346688,-1,-1
43508.725237,144703488,223346688,-1,-1
43508.725283,6291456,219152384,-1,-1
43508.725330,76546048,219152384,-1,-1
43508.725376,144703488,219152384,-1,-1
43508.725422,7340032,223346688,-1,-1
43508.725469,74448896,223346688,-1,-1
43508.725515,140509184,223346688,-1,-1
43508.725561,206569472,223346688,-1,-1
43508.725607,63963136,222298112,-1,-1
43508.725654,128974848,222298112,-1,-1
43508.725700,193986560,222298112,-1,-1
43508.725746,50331648,222298112,-1,-1
43508.725793,115343360,222298112,-1,-1
43508.725839,180355072,222298112,-1,-1
43508.725885,37748736,223346688,-1,-1
43508.725932,102760448,223346688,-1,-1
43508.725978,168820736,223346688,-1,-1
43508.726024,24117248,222298112,-1,-1
43508.726070,89128960,222298112,-1,-1
43508.726117,154140672,222298112,-1,-1
43508.726163,10485760,222298112,-1,-1
43508.726209,75497472,222298112,-1,-1
43508.726256,141557760,222298112,-1,-1
43508.726302,206569472,222298112,-1,-1
43508.726348,62914560,222298112,-1,-1
43508.726395,127926272,222298112,-1,-1
43508.726441,193986560,222298112,-1,-1
43508.726487,50331648,222298112,-1,-1
43508.726533,115343360,222298112,-1,-1
43508.726580,181403648,222298112,-1,-1
43508.726626,36700160,221249536,-1,-1
43508.726672,102760448,221249536,-1,-1
43508.726719,168820736,221249536,-1,-1
43508.726765,24117248,221249536,-1,-1
43508.726811,90177536,221249536,-1,-1
43508.726858,155189248,221249536,-1,-1
43508.726904,12582912,221249536,-1,-1
43508.726950,77594624,221249536,-1,-1
43508.726996,142606336,221249536,-1,-1
43508.727043,207618048,221249536,-1,-1
43508.727089,65011712,226492416,-1,-1
43508.727135,131072000,226492416,-1,-1
43508.727182,196083712,226492416,-1,-1
43508.727228,47185920,226492416,-1,-1
43508.727274,113246208,226492416,-1,-1
43508.727320,179306496,226492416,-1,-1
43508.727367,31457280,228589568,-1,-1
43508.727413,97517568,228589568,-1,-1
43508.727459,161480704,228589568,-1,-1
43508.727506,11534336,229638144,-1,-1
43508.727552,77594624,229638144,-1,-1
43508.727598,142606336,229638144,-1,-1
43508.727645,208666624,229638144,-1,-1
43508.727691,57671680,229638144,-1,-1
43508.727737,123731968,229638144,-1,-1
43508.727783,189792256,229638144,-1,-1
43508.727830,38797312,229638144,-1,-1
43508.727876,103809024,229638144,-1,-1
43508.727922,169869312,229638144,-1,-1
43508.727969,18874368,229638144,-1,-1
43508.728015,84934656,229638144,-1,-1
43508.728061,152043520,229638144,-1,-1
43508.728108,217055232,229638144,-1,-1
43508.728154,67108864,229638144,-1,-1
43508.728200,133169152,229638144,-1,-1
43508.728246,200278016,229638144,-1,-1
43508.728293,49283072,229638144,-1,-1
43508.728339,116391936,229638144,-1,-1
43508.728385,182452224,229638144,-1,-1
43508.728432,32505856,229638144,-1,-1
43508.728478,98566144,229638144,-1,-1
43508.728524,165675008,229638144,-1,-1
43508.728570,14680064,229638144,-1,-1
43508.728617,80740352,229638144,-1,-1
43508.728663,146800640,229638144,-1,-1
43508.728709,212860928,229638144,-1,-1
43508.728756,62914560,229638144,-1,-1
43508.728802,128974848,229638144,-1,-1
43508.728848,195035136,229638144,-1,-1
43508.728895,44040192,229638144,-1,-1
43508.728941,110100480,229638144,-1,-1
43508.728987,176160768,229638144,-1,-1
43508.729033,25165824,229638144,-1,-1
43508.729080,92274688,229638144,-1,-1
43508.729126,157286400,229638144,-1,-1
43508.729172,7340032,229638144,-1,-1
43508.729219,73400320,229638144,-1,-1
43508.729265,139460608,229638144,-1,-1
43508.729311,205520896,229638144,-1,-1
43508.729358,55574528,229638144,-1,-1
43508.729404,121634816,229638144,-1,-1
43508.729450,188743680,229638144,-1,-1
43508.729496,38797312,229638144,-1,-1
43508.729543,104857600,229638144,-1,-1
