Time,Used,Committed,Max,Threshold
43508.725007,7340032,7340032,-1,-1
43508.725052,7340032,7340032,-1,-1
43508.725098,7340032,7340032,-1,-1
43508.725144,10485760,10485760,-1,-1
43508.725191,10485760,10485760,-1,-1
43508.725237,10485760,10485760,-1,-1
43508.725283,14680064,14680064,-1,-1
43508.725330,14680064,14680064,-1,-1
43508.725376,14680064,14680064,-1,-1
43508.725422,10485760,10485760,-1,-1
43508.725469,10485760,10485760,-1,-1
43508.725515,10485760,10485760,-1,-1
43508.725561,10485760,10485760,-1,-1
43508.725607,11534336,11534336,-1,-1
43508.725654,11534336,11534336,-1,-1
43508.725700,11534336,11534336,-1,-1
43508.725746,11534336,11534336,-1,-1
43508.725793,11534336,11534336,-1,-1
43508.725839,11534336,11534336,-1,-1
43508.725885,10485760,10485760,-1,-1
43508.725932,10485760,10485760,-1,-1
43508.725978,10485760,10485760,-1,-1
43508.726024,11534336,11534336,-1,-1
43508.726070,11534336,11534336,-1,-1
43508.726117,11534336,11534336,-1,-1
43508.726163,11534336,11534336,-1,-1
43508.726209,11534336,11534336,-1,-1
43508.726256,11534336,11534336,-1,-1
43508.726302,11534336,11534336,-1,-1
43508.726348,11534336,11534336,-1,-1
43508.726395,11534336,11534336,-1,-1
43508.726441,11534336,11534336,-1,-1
43508.726487,11534336,11534336,-1,-1
43508.726533,11534336,11534336,-1,-1
43508.726580,11534336,11534336,-1,-1
43508.726626,12582912,12582912,-1,-1
43508.726672,12582912,12582912,-1,-1
43508.726719,12582912,12582912,-1,-1
43508.726765,12582912,12582912,-1,-1
43508.726811,12582912,12582912,-1,-1
43508.726858,12582912,12582912,-1,-1
43508.726904,12582912,12582912,-1,-1
43508.726950,12582912,12582912,-1,-1
43508.726996,12582912,12582912,-1,-1
43508.727043,12582912,12582912,-1,-1
43508.727089,7340032,7340032,-1,-1
43508.727135,7340032,7340032,-1,-1
43508.727182,7340032,7340032,-1,-1
43508.727228,7340032,7340032,-1,-1
43508.727274,7340032,7340032,-1,-1
43508.727320,7340032,7340032,-1,-1
43508.727367,5242880,5242880,-1,-1
43508.727413,5242880,5242880,-1,-1
43508.727459,5242880,5242880,-1,-1
43508.727506,4194304,4194304,-1,-1
43508.727552,4194304,4194304,-1,-1
43508.727598,4194304,4194304,-1,-1
43508.727645,4194304,4194304,-1,-1
