Time,Used,Committed,Max,Threshold
43508.725007,74536632,81838080,-1,0
43508.725052,74796096,82100224,-1,0
43508.725098,74891216,82100224,-1,0
43508.725144,83130544,91537408,-1,0
43508.725191,83999744,92323840,-1,0
43508.725237,84114272,92323840,-1,0
43508.725283,84635528,92848128,-1,0
43508.725330,84812552,93241344,-1,0
43508.725376,84838928,93241344,-1,0
43508.725422,84867392,93241344,-1,0
43508.725469,84892688,93241344,-1,0
43508.725515,84929280,93241344,-1,0
43508.725561,84944552,93241344,-1,0
43508.725607,84986136,93503488,-1,0
43508.725654,85028648,93503488,-1,0
43508.725700,85063376,93503488,-1,0
43508.725746,85094472,93503488,-1,0
43508.725793,85098400,93503488,-1,0
43508.725839,85107560,93503488,-1,0
43508.725885,85118408,93503488,-1,0
43508.725932,85125992,93503488,-1,0
43508.725978,85169848,93765632,-1,0
43508.726024,85175616,93765632,-1,0
43508.726070,85176896,93765632,-1,0
43508.726117,85177616,93765632,-1,0
43508.726163,85185040,93765632,-1,0
43508.726209,85189360,93765632,-1,0
43508.726256,85191184,93765632,-1,0
43508.726302,85191720,93765632,-1,0
43508.726348,85192360,93765632,-1,0
43508.726395,85193584,93765632,-1,0
43508.726441,85194544,93765632,-1,0
43508.726487,85198376,93765632,-1,0
43508.726533,85205536,93765632,-1,0
43508.726580,85206912,93765632,-1,0
43508.726626,85207344,93765632,-1,0
43508.726672,85212160,93765632,-1,0
43508.726719,85234008,93765632,-1,0
43508.726765,85234352,93765632,-1,0
43508.726811,85238632,93765632,-1,0
43508.726858,85240024,93765632,-1,0
43508.726904,85241248,93765632,-1,0
43508.726950,85243744,93765632,-1,0
43508.726996,85249248,93765632,-1,0
43508.727043,85254136,93765632,-1,0
43508.727089,85263584,93765632,-1,0
43508.727135,85269584,93765632,-1,0
43508.727182,85273640,93765632,-1,0
43508.727228,85276304,93765632,-1,0
43508.727274,85285536,93765632,-1,0
43508.727320,85285952,93765632,-1,0
43508.727367,85288872,93765632,-1,0
43508.727413,85295688,93765632,-1,0
43508.727459,85315360,93765632,-1,0
43508.727506,85320032,93765632,-1,0
43508.727552,85321376,93765632,-1,0
43508.727598,85321376,93765632,-1,0
43508.727645,85321880,93765632,-1,0
43508.727691,85327664,93765632,-1,0
43508.727737,85327664,93765632,-1,0
43508.727783,85327664,93765632,-1,0
43508.727830,85327664,93765632,-1,0
43508.727876,85328600,93765632,-1,0
43508.727922,85329376,93765632,-1,0
43508.727969,85329376,93765632,-1,0
43508.728015,85329808,93765632,-1,0
43508.728061,85329808,93765632,-1,0
43508.728108,85329808,93765632,-1,0
43508.728154,85329808,93765632,-1,0
43508.728200,85334584,93765632,-1,0
43508.728246,85335928,93765632,-1,0
43508.728293,85338584,93765632,-1,0
43508.728339,85338584,93765632,-1,0
