Time,Used
43508.725007,131685888
43508.725052,165240320
43508.725098,194600448
43508.725144,73862640
43508.725191,128388592
43508.725237,176623088
43508.725283,42475472
43508.725330,111681488
43508.725376,180887504
43508.725422,39935488
43508.725469,107044352
43508.725515,173104640
43508.725561,239164928
43508.725607,97063536
43508.725654,162075248
43508.725700,227086960
43508.725746,83907728
43508.725793,148919440
43508.725839,213931152
43508.725885,70275920
43508.725932,135287632
43508.725978,200299344
43508.726024,57703440
43508.726070,122715152
43508.726117,187726864
43508.726163,44099856
43508.726209,109111568
43508.726256,175171856
43508.726302,240183568
43508.726348,96549936
43508.726395,161561648
43508.726441,227621936
43508.726487,83975680
43508.726533,148987392
43508.726580,215047680
43508.726626,70868480
43508.726672,136928768
43508.726719,202989056
43508.726765,58809856
43508.726811,124870144
43508.726858,189881856
43508.726904,47761920
43508.726950,112773632
43508.726996,177785344
43508.727043,242797056
43508.727089,99664896
43508.727135,165725184
43508.727182,229688320
43508.727228,82152432
43508.727274,148212720
43508.727320,214273008
43508.727367,66591920
43508.727413,131603632
43508.727459,196615344
43508.727506,46846336
43508.727552,112906624
43508.727598,177918336
43508.727645,243978624
43508.727691,93420544
43508.727737,159480832
43508.727783,225541120
43508.727830,73725216
43508.727876,139785504
43508.727922,205845792
43508.727969,54943464
43508.728015,121003752
43508.728061,187064040
43508.728108,253124328
43508.728154,103565600
43508.728200,169625888
43508.728246,236734752
43508.728293,85806400
43508.728339,152915264
43508.728385,218975552
43508.728432,69408880
43508.728478,135469168
43508.728524,202578032
43508.728570,51799296
43508.728617,117859584
43508.728663,183919872
43508.728709,249980160
43508.728756,100095064
43508.728802,166155352
43508.728848,232215640
43508.728895,81436344
43508.728941,147496632
43508.728987,213556920
43508.729033,62777664
43508.729080,128837952
43508.729126,194898240
43508.729172,45156008
43508.729219,111216296
43508.729265,177276584
43508.729311,243336872
43508.729358,93595448
43508.729404,159655736
43508.729450,226764600
43508.729496,77187680
43508.729543,143247968
43508.729589,209308256
43508.729635,59413080
43508.729682,126521944
43508.729728,193630808
43508.729774,43008256
43508.729820,110117120
43508.729867,177225984
43508.729913,243286272
43508.729959,92364880
43508.730006,159473744
43508.730052,225534032
43508.730098,75813464
43508.730145,142922328
43508.730191,207934040
43508.730237,58207576
43508.730283,124267864
43508.730330,191376728
43508.730376,40611552
43508.730422,106671840
43508.730469,173780704
43508.730515,239840992
43508.730561,89220080
43508.730608,155280368
43508.730654,221340656
43508.730700,71612384
43508.730746,136624096
43508.730793,202684384
43508.730839,51753928
43508.730885,116765640
43508.730932,182825928
43508.730978,247837640
43508.731024,98109464
43508.731071,163121176
43508.731117,229181464
43508.731163,79610864
43508.731209,145671152
43508.731256,212780016
43508.731302,60789736
43508.731348,127898600
43508.731395,192910312
43508.731441,43031552
43508.731487,109091840
43508.731534,175152128
43508.731580,241212416
43508.731626,89533328
43508.731672,154545040
43508.731719,220605328
43508.731765,69829128
43508.731811,136937992
43508.731858,202998280
43508.731904,53270520
43508.731950,119330808
43508.731996,185391096
43508.732043,251451384
43508.732089,101722736
43508.732135,167783024
43508.732182,233843312
43508.732228,83062400
43508.732274,148074112
43508.732321,214134400
43508.732367,64571200
43508.732413,129582912
43508.732459,195643200
43508.732506,45758752
43508.732552,110770464
43508.732598,176830752
43508.732645,242891040
43508.732691,92104672
43508.732737,159213536
43508.732784,224225248
43508.732830,74653632
43508.732876,140713920
43508.732922,205725632
43508.732969,54947488
43508.733015,121007776
43508.733061,187068064
43508.733108,252079776
43508.733154,102195712
43508.733200,167207424
43508.733247,233267712
43508.733293,82492280
43508.733339,149601144
43508.733385,214612856
43508.733432,63994400
43508.733478,131103264
43508.733524,197163552
43508.733571,46231896
43508.733617,112292184
43508.733663,178352472
43508.733710,244412760
43508.733756,94687032
43508.733802,160747320
43508.733848,227856184
43508.733895,77080520
43508.733941,143140808
43508.733987,210249672
43508.734034,59620224
43508.734080,125680512
43508.734126,192789376
43508.734172,258849664
43508.734219,109122816
43508.734265,174134528
43508.734311,240194816
43508.734358,89252640
43508.734404,156361504
43508.734450,221373216
43508.734497,71647440
43508.734543,137707728
43508.734589,206913744
43508.734635,55245200
43508.734682,122354064
43508.734728,187365776
43508.734774,253426064
43508.734821,102658896
43508.734867,168719184
43508.734913,234779472
43508.734960,83989264
43508.735006,150049552
43508.735052,217158416
43508.735098,66214048
43508.735145,131225760
43508.735191,198334624
43508.735237,263346336
43508.735284,112573304
43508.735330,178633592
43508.735376,244693880
43508.735423,95269800
43508.735469,161330088
43508.735515,227390376
43508.735561,75409456
43508.735608,141469744
43508.735654,207530032
43508.735700,56754624
43508.735747,122814912
43508.735793,189923776
43508.735839,254935488
43508.735885,105054048
43508.735932,170065760
43508.735978,236126048
43508.736024,85340528
43508.736071,151400816
43508.736117,218509680
43508.736163,67889488
43508.736210,133949776
43508.736256,200010064
43508.736302,50115232
43508.736348,115126944
43508.736395,181187232
43508.736441,247247520
43508.736487,96460904
43508.736534,162521192
43508.736580,228581480
43508.736626,79016544
43508.736673,145076832
43508.736719,211137120
43508.736765,60361600
43508.736811,127470464
43508.736858,192482176
43508.736904,258542464
43508.736950,107609264
43508.736997,172620976
43508.737043,238681264
43508.737089,88062032
43508.737136,153073744
43508.737182,219134032
43508.737228,68361520
