Time,Used,Committed,Max
43508.725007,101451320,110526464,-1
43508.725052,103076664,112230400,-1
43508.725098,103472528,112558080,-1
43508.725144,114874040,125272064,-1
43508.725191,119812696,130121728,-1
43508.725237,120661856,130842624,-1
43508.725283,123144256,133267456,-1
43508.725330,124558424,134774784,-1
43508.725376,125229456,135692288,-1
43508.725422,125597712,135954432,-1
43508.725469,126155768,136544256,-1
43508.725515,124497416,136740864,-1
43508.725561,124675296,136806400,-1
43508.725607,124892008,137134080,-1
43508.725654,125086752,137134080,-1
43508.725700,125170296,137199616,-1
43508.725746,125318384,137199616,-1
43508.725793,125518536,137330688,-1
43508.725839,125589984,137396224,-1
43508.725885,125704432,137396224,-1
43508.725932,125871120,137527296,-1
43508.725978,126137672,137920512,-1
43508.726024,126188368,137920512,-1
43508.726070,126282320,137986048,-1
43508.726117,126333576,138051584,-1
43508.726163,126369416,138051584,-1
43508.726209,126414824,138051584,-1
43508.726256,126472456,138051584,-1
43508.726302,126475936,138117120,-1
43508.726348,126502176,138117120,-1
43508.726395,126514024,138117120,-1
43508.726441,126543064,138117120,-1
43508.726487,126587808,138117120,-1
43508.726533,126651288,138182656,-1
43508.726580,126672120,138182656,-1
43508.726626,126683048,138182656,-1
43508.726672,126722168,138182656,-1
43508.726719,126898640,138248192,-1
43508.726765,126902952,138248192,-1
43508.726811,126929248,138248192,-1
43508.726858,126938576,138248192,-1
43508.726904,126961816,138248192,-1
43508.726950,126974936,138248192,-1
43508.726996,126997336,138248192,-1
43508.727043,127017840,138248192,-1
43508.727089,127038424,138248192,-1
43508.727135,127066056,138248192,-1
43508.727182,127075104,138248192,-1
43508.727228,127087624,138248192,-1
43508.727274,127176344,138313728,-1
43508.727320,127180984,138313728,-1
43508.727367,127188704,138313728,-1
43508.727413,127232576,138313728,-1
43508.727459,127327672,138379264,-1
43508.727506,127362520,138379264,-1
43508.727552,127373976,138379264,-1
43508.727598,127428760,138444800,-1
43508.727645,127460240,138444800,-1
43508.727691,127537064,138444800,-1
43508.727737,127564584,138510336,-1
43508.727783,127567400,138510336,-1
43508.727830,127615016,138575872,-1
43508.727876,127638184,138641408,-1
43508.727922,127644904,138641408,-1
43508.727969,127647320,138641408,-1
43508.728015,127649800,138641408,-1
43508.728061,127650824,138641408,-1
43508.728108,127654152,138641408,-1
43508.728154,127657224,138641408,-1
43508.728200,127696816,138641408,-1
43508.728246,127700976,138641408,-1
43508.728293,127727312,138641408,-1
43508.728339,127727312,138641408,-1
43508.728385,127727312,138641408,-1
43508.728432,127752016,138641408,-1
43508.728478,127762416,138641408,-1
43508.728524,127786072,138641408,-1
43508.728570,127867712,138706944,-1
43508.728617,127898064,138772480,-1
43508.728663,127905872,138772480,-1
43508.728709,127920464,138772480,-1
43508.728756,127924832,138772480,-1
43508.728802,127984848,138772480,-1
43508.728848,127997776,138838016,-1
43508.728895,128006672,138838016,-1
43508.728941,128037696,138838016,-1
43508.728987,128074864,138838016,-1
43508.729033,128112648,138838016,-1
43508.729080,128129800,138838016,-1
43508.729126,128129800,138838016,-1
43508.729172,128134768,138838016,-1
43508.729219,128151280,138903552,-1
43508.729265,128151280,138903552,-1
43508.729311,128152048,138903552,-1
43508.729358,128152048,138903552,-1
43508.729404,128159088,138903552,-1
43508.729450,128159984,138903552,-1
43508.729496,128159984,138903552,-1
43508.729543,128159984,138903552,-1
43508.729589,128160504,138903552,-1
43508.729635,128165880,138903552,-1
43508.729682,128181928,138903552,-1
43508.729728,128190216,138903552,-1
43508.729774,128218056,138903552,-1
43508.729820,128218952,138903552,-1
43508.729867,128240712,138903552,-1
43508.729913,128244552,138903552,-1
43508.729959,128248496,138903552,-1
43508.730006,128253104,138903552,-1
43508.730052,128261936,138969088,-1
43508.730098,128263856,138969088,-1
43508.730145,128295400,138969088,-1
43508.730191,128296680,138969088,-1
43508.730237,128296680,138969088,-1
43508.730283,128338648,138969088,-1
43508.730330,128338648,138969088,-1
43508.730376,128340440,138969088,-1
43508.730422,128349784,138969088,-1
43508.730469,128388592,138969088,-1
43508.730515,128388592,138969088,-1
43508.730561,128402544,138969088,-1
43508.730608,128402544,138969088,-1
43508.730654,128402544,138969088,-1
43508.730700,128402544,138969088,-1
43508.730746,128402544,138969088,-1
43508.730793,128424816,139034624,-1
43508.730839,128433208,139034624,-1
43508.730885,128439128,139034624,-1
43508.730932,128454880,139034624,-1
43508.730978,128462304,139034624,-1
43508.731024,128462304,139034624,-1
43508.731071,128463200,139034624,-1
43508.731117,128481376,139034624,-1
43508.731163,128481376,139034624,-1
43508.731209,128488200,139034624,-1
43508.731256,128516928,139034624,-1
43508.731302,128528632,139034624,-1
43508.731348,128528632,139034624,-1
43508.731395,128528632,139034624,-1
43508.731441,128530168,139034624,-1
43508.731487,128545016,139100160,-1
43508.731534,128545016,139100160,-1
43508.731580,128556536,139100160,-1
43508.731626,128556536,139100160,-1
43508.731672,128556536,139100160,-1
43508.731719,128556536,139100160,-1
43508.731765,128560760,139100160,-1
43508.731811,128577912,139100160,-1
43508.731858,128581208,139100160,-1
43508.731904,128581208,139100160,-1
43508.731950,128652144,139100160,-1
43508.731996,128673008,139165696,-1
43508.732043,128675312,139165696,-1
43508.732089,128675312,139165696,-1
43508.732135,128676080,139165696,-1
43508.732182,128721008,139231232,-1
43508.732228,128760984,139231232,-1
43508.732274,128762648,139231232,-1
43508.732321,128790680,139296768,-1
43508.732367,128798488,139296768,-1
43508.732413,128799512,139296768,-1
43508.732459,128831888,139296768,-1
43508.732506,128866960,139362304,-1
43508.732552,128877456,139362304,-1
43508.732598,128902520,139362304,-1
43508.732645,128903672,139362304,-1
43508.732691,128916016,139362304,-1
43508.732737,128917936,139362304,-1
43508.732784,128917936,139362304,-1
43508.732830,128919216,139362304,-1
