Time,Used
43508.741188,114505216
43508.741233,148059648
43508.741280,176371200
43508.741326,206779904
43508.741372,239285760
43508.741418,57244160
43508.741465,86604288
43508.741511,114915840
43508.741557,142178816
43508.741604,171538944
43508.741650,198801920
43508.741696,228162048
43508.741743,44661248
43508.741789,75069952
43508.741835,104430080
43508.741881,134838784
43508.741928,164198912
43508.741974,193559040
43508.742020,75768000
43508.742067,137633984
43508.742113,214180032
43508.742159,78215680
43508.742205,146373120
43508.742252,215579136
43508.742298,74545664
43508.742344,142703104
43508.742391,209811968
43508.742437,66597072
43508.742483,132657360
43508.742530,199766224
43508.742576,55147008
43508.742622,122255872
43508.742668,187267584
43508.742715,43612672
43508.742761,108624384
43508.742807,174684672
43508.742854,238647808
43508.742900,94427848
43508.742946,159439560
43508.742993,225499848
43508.743039,81303264
43508.743085,147363552
43508.743131,212375264
43508.743178,68235448
43508.743224,133247160
43508.743270,197210296
43508.743317,53561400
43508.743363,119621688
43508.743409,184633400
43508.743456,40990248
43508.743502,106001960
43508.743548,171013672
43508.743594,237073960
43508.743641,94313984
43508.743687,159325696
43508.743733,225385984
43508.743780,81848832
43508.743826,147909120
43508.743872,213969408
43508.743919,66008576
43508.743965,131020288
43508.744011,198129152
43508.744057,47613304
43508.744104,113673592
43508.744150,178685304
43508.744196,243697016
43508.744243,95024880
43508.744289,161085168
43508.744335,226096880
43508.744381,77381200
43508.744428,143441488
43508.744474,207404624
43508.744520,57872848
43508.744567,123933136
43508.744613,191042000
43508.744659,40128624
43508.744706,106188912
43508.744752,171200624
43508.744798,238309488
43508.744844,87522608
43508.744891,152534320
43508.744937,219643184
43508.744983,68864672
43508.745030,133876384
43508.745076,199936672
43508.745122,48114080
43508.745169,114174368
43508.745215,181283232
43508.745261,246294944
43508.745307,96414992
43508.745354,161426704
43508.745400,227486992
43508.745446,77748936
43508.745493,142760648
43508.745539,208820936
43508.745585,59094344
43508.745632,124106056
43508.745678,190166344
43508.745724,40625552
43508.745770,106685840
43508.745817,172746128
43508.745863,239854992
43508.745909,89073616
43508.745956,155133904
43508.746002,221194192
43508.746048,71451408
43508.746095,139608848
43508.746141,204620560
43508.746187,55054168
43508.746233,121114456
43508.746280,187174744
43508.746326,253235032
43508.746372,102127064
43508.746419,168187352
43508.746465,234247640
43508.746511,84674816
43508.746557,150735104
43508.746604,216795392
43508.746650,66019184
43508.746696,132079472
43508.746743,199188336
43508.746789,49461104
43508.746835,114472816
43508.746882,180533104
43508.746928,245544816
43508.746974,95814176
43508.747020,161874464
43508.747067,226886176
43508.747113,75952944
43508.747159,142013232
43508.747206,208073520
43508.747252,58650496
43508.747298,123662208
43508.747345,188673920
43508.747391,254734208
43508.747437,103802064
43508.747483,169862352
43508.747530,234874064
43508.747576,84100640
43508.747622,149112352
43508.747669,215172640
43508.747715,64396768
43508.747761,129408480
43508.747808,194420192
43508.747854,43497744
43508.747900,109558032
43508.747946,173521168
43508.747993,239581456
43508.748039,87905328
43508.748085,153965616
43508.748132,220025904
43508.748178,68201600
43508.748224,133213312
43508.748270,199273600
43508.748317,47449056
43508.748363,113509344
43508.748409,177472480
43508.748456,242484192
43508.748502,90512952
43508.748548,156573240
43508.748595,221584952
43508.748641,70799040
43508.748687,136859328
43508.748733,202919616
43508.748780,51254496
43508.748826,116266208
43508.748872,182326496
43508.748919,247338208
43508.748965,96563056
43508.749011,162623344
43508.749058,226586480
43508.749104,75653960
43508.749150,141714248
43508.749196,207774536
43508.749243,56107504
43508.749289,122167792
43508.749335,188228080
43508.749382,253239792
43508.749428,103512784
43508.749474,168524496
43508.749520,234584784
43508.749567,83809216
43508.749613,148820928
43508.749659,214881216
43508.749706,64106832
43508.749752,130167120
43508.749798,195178832
43508.749845,44404480
