Time,Used,Committed,Max
43509.501100,108870656,371195904,1979711488
43509.501144,141376512,371195904,1979711488
43509.501190,171785216,371195904,1979711488
43509.501236,202193920,371195904,1979711488
43509.501283,231554048,371195904,1979711488
43509.501329,49791712,371195904,1979711488
43509.501375,139969248,371195904,1979711488
43509.501421,193446624,371195904,1979711488
43509.501468,63405248,371195904,1979711488
43509.501514,133659840,371195904,1979711488
43509.501560,202865856,371195904,1979711488
43509.501607,61684736,371195904,1979711488
43509.501653,129842176,371195904,1979711488
43509.501699,195902464,371195904,1979711488
43509.501746,51685792,371195904,1979711488
43509.501792,116697504,371195904,1979711488
43509.501838,182757792,371195904,1979711488
43509.501884,39554336,371195904,1979711488
43509.501931,105614624,371195904,1979711488
43509.501977,170626336,371195904,1979711488
43509.502023,234589472,371195904,1979711488
43509.502070,90937280,371195904,1979711488
43509.502116,155948992,371195904,1979711488
43509.502162,220960704,371195904,1979711488
43509.502209,75794328,371195904,1979711488
43509.502255,140806040,371195904,1979711488
43509.502301,204769176,371195904,1979711488
43509.502347,59509600,371195904,1979711488
43509.502394,125569888,371195904,1979711488
43509.502440,189533024,371195904,1979711488
43509.502486,45401792,371195904,1979711488
43509.502533,110413504,371195904,1979711488
43509.502579,176473792,371195904,1979711488
43509.502625,241485504,371195904,1979711488
43509.502671,96791848,371195904,1979711488
43509.502718,161803560,371195904,1979711488
43509.502764,226815272,371195904,1979711488
43509.502810,84220896,371195904,1979711488
43509.502857,149232608,371195904,1979711488
43509.502903,215292896,371195904,1979711488
43509.502949,71121920,371195904,1979711488
43509.502996,136133632,371195904,1979711488
43509.503042,201145344,371195904,1979711488
43509.503088,59257344,371195904,1979711488
43509.503134,124269056,371195904,1979711488
43509.503181,190329344,371195904,1979711488
43509.503227,47516672,371195904,1979711488
43509.503273,113576960,371195904,1979711488
43509.503320,178588672,371195904,1979711488
43509.503366,244648960,371195904,1979711488
43509.503412,97443328,371195904,1979711488
43509.503459,162455040,371195904,1979711488
43509.503505,227466752,371195904,1979711488
43509.503551,79786464,371195904,1979711488
43509.503597,145846752,371195904,1979711488
43509.503644,211907040,371195904,1979711488
43509.503690,63067088,371195904,1979711488
43509.503736,128078800,371195904,1979711488
43509.503783,193090512,371195904,1979711488
43509.503829,42391856,371195904,1979711488
43509.503875,108452144,371195904,1979711488
43509.503922,173463856,371195904,1979711488
43509.503968,239524144,371195904,1979711488
43509.504014,89951736,371195904,1979711488
43509.504060,153914872,371195904,1979711488
43509.504107,219975160,371195904,1979711488
43509.504153,69031600,371195904,1979711488
43509.504199,135091888,371195904,1979711488
43509.504246,201152176,371195904,1979711488
43509.504292,50376128,371195904,1979711488
43509.504338,117484992,371195904,1979711488
43509.504385,182496704,371195904,1979711488
43509.504431,249605568,371195904,1979711488
43509.504477,98830208,371195904,1979711488
43509.504523,163841920,371195904,1979711488
43509.504570,230950784,371195904,1979711488
43509.504616,80022336,371195904,1979711488
43509.504662,146082624,371195904,1979711488
43509.504709,211094336,371195904,1979711488
