Time,Used
43509.517513,49197552
43509.517557,83800560
43509.517603,114209264
43509.517650,143569392
43509.517696,173978096
43509.517742,202289648
43509.517789,94185984
43509.517835,157100544
43509.517881,229452288
43509.517928,93095688
43509.517974,161253128
43509.518020,229410568
43509.518066,87894528
43509.518113,155003392
43509.518159,222112256
43509.518205,78912032
43509.518252,144972320
43509.518298,211032608
43509.518344,67346096
43509.518390,133406384
43509.518437,199466672
43509.518483,56388512
43509.518529,121400224
43509.518576,186411936
43509.518622,42281472
43509.518668,107293184
43509.518715,172304896
43509.518761,238365184
43509.518807,93105024
43509.518853,158116736
43509.518900,223128448
43509.518946,81024496
43509.518992,144987632
43509.519039,209999344
43509.519085,66909376
43509.519131,131921088
43509.519178,196932800
43509.519224,53806064
43509.519270,118817776
43509.519316,184878064
43509.519363,40708608
43509.519409,106768896
43509.519455,171780608
43509.519502,236792320
43509.519548,95234560
43509.519594,160246272
43509.519641,225257984
43509.519687,82888704
43509.519733,148948992
43509.519779,213960704
43509.519826,71802368
43509.519872,136814080
43509.519918,202874368
43509.519965,55480136
43509.520011,121540424
43509.520057,189697864
43509.520103,40563264
43509.520150,105574976
43509.520196,171635264
43509.520242,236646976
43509.520289,85706696
43509.520335,151766984
43509.520381,216778696
43509.520428,66185984
43509.520474,132246272
43509.520520,197257984
43509.520566,46353264
43509.520613,111364976
43509.520659,177425264
43509.520705,242436976
43509.520752,90617152
43509.520798,155628864
43509.520844,221689152
43509.520891,69861584
43509.520937,135921872
43509.520983,201982160
43509.521029,51353984
43509.521076,116365696
43509.521122,181377408
43509.521168,247437696
43509.521215,96507168
43509.521261,161518880
43509.521307,227579168
43509.521354,76956320
43509.521400,141968032
43509.521446,206979744
43509.521492,57241712
43509.521539,123302000
43509.521585,188313712
43509.521631,38426120
43509.521678,103437832
43509.521724,169498120
43509.521770,235558408
43509.521817,84924768
43509.521863,150985056
43509.521909,215996768
43509.521955,66263840
43509.522002,132324128
43509.522048,197335840
43509.522094,47449528
43509.522141,112461240
43509.522187,179570104
43509.522233,245630392
43509.522279,95015472
43509.522326,161075760
43509.522372,227136048
43509.522418,76376832
43509.522465,142437120
43509.522511,208497408
43509.522557,57720016
43509.522604,123780304
43509.522650,189840592
43509.522696,40116064
43509.522742,105127776
43509.522789,171188064
43509.522835,238296928
43509.522881,87525904
43509.522928,153586192
43509.522974,219646480
43509.523020,68861744
43509.523067,135970608
43509.523113,202030896
43509.523159,51256336
43509.523205,118365200
43509.523252,183376912
43509.523298,249437200
43509.523344,98662448
43509.523391,164722736
43509.523437,230783024
43509.523483,79842288
43509.523530,145902576
43509.523576,211962864
43509.523622,61497384
43509.523668,128606248
43509.523715,193617960
43509.523761,42689424
43509.523807,109798288
43509.523854,175858576
43509.523900,241918864
43509.523946,90979120
43509.523992,157039408
43509.524039,223099696
43509.524085,72315160
43509.524131,138375448
43509.524178,203387160
43509.524224,53663512
43509.524270,119723800
43509.524317,185784088
43509.524363,251844376
43509.524409,101235664
43509.524455,168344528
43509.524502,234404816
43509.524548,84522368
43509.524594,150582656
43509.524641,215594368
43509.524687,65865904
43509.524733,132974768
43509.524780,197986480
43509.524826,48414384
43509.524872,113426096
43509.524918,179486384
43509.524965,245546672
43509.525011,94773008
43509.525057,160833296
43509.525104,225845008
43509.525150,75059440
43509.525196,141119728
43509.525243,206131440
43509.525289,56248880
43509.525335,122309168
43509.525381,187320880
43509.525428,253381168
43509.525474,103653568
43509.525520,169713856
43509.525567,234725568
43509.525613,84997288
43509.525659,151057576
43509.525706,217117864
43509.525752,66657704
43509.525798,132717992
43509.525844,198778280
