Time,Used,Committed,Max
43509.517513,97922888,106864640,-1
43509.517557,99239024,108175360,-1
43509.517603,99762128,108896256,-1
43509.517650,100385048,109355008,-1
43509.517696,100846944,109682688,-1
43509.517742,101253304,110338048,-1
43509.517789,117156184,127311872,-1
43509.517835,121045200,131506176,-1
43509.517881,123149656,133406720,-1
43509.517928,124184744,134651904,-1
43509.517974,124879736,135307264,-1
43509.518020,125242656,135569408,-1
43509.518066,125622648,136224768,-1
43509.518113,126301632,136945664,-1
43509.518159,126606056,137076736,-1
43509.518205,126857368,137273344,-1
43509.518252,127041576,137469952,-1
43509.518298,127131696,137535488,-1
43509.518344,127291176,137863168,-1
43509.518390,127419768,138059776,-1
43509.518437,127538640,138125312,-1
43509.518483,127618016,138190848,-1
43509.518529,127834368,138452992,-1
43509.518576,127967208,138518528,-1
43509.518622,128073032,138649600,-1
43509.518668,128236840,138780672,-1
43509.518715,128306928,138846208,-1
43509.518761,128395968,138977280,-1
43509.518807,128439440,138977280,-1
43509.518853,128486248,139042816,-1
43509.518900,128548728,139042816,-1
43509.518946,128664024,139108352,-1
43509.518992,128736800,139239424,-1
43509.519039,128775624,139239424,-1
43509.519085,128832424,139304960,-1
43509.519131,128844840,139304960,-1
43509.519178,128883576,139304960,-1
43509.519224,128915632,139370496,-1
43509.519270,128930272,139436032,-1
43509.519316,128958784,139436032,-1
43509.519363,128997896,139436032,-1
43509.519409,129009392,139436032,-1
43509.519455,129023056,139501568,-1
43509.519502,129052992,139501568,-1
43509.519548,129066760,139501568,-1
43509.519594,129075848,139501568,-1
43509.519641,129118400,139501568,-1
43509.519687,129198912,139632640,-1
43509.519733,129202112,139632640,-1
43509.519779,129206536,139632640,-1
43509.519826,129208968,139632640,-1
43509.519872,129215880,139632640,-1
43509.519918,129254200,139698176,-1
43509.519965,129365104,139763712,-1
43509.520011,129374464,139763712,-1
43509.520057,129627120,140156928,-1
43509.520103,129652576,140156928,-1
43509.520150,129674656,140156928,-1
43509.520196,129712408,140156928,-1
43509.520242,129730920,140222464,-1
43509.520289,129739904,140222464,-1
43509.520335,129746488,140222464,-1
43509.520381,129777728,140222464,-1
43509.520428,129902712,140288000,-1
43509.520474,129908584,140288000,-1
43509.520520,129918632,140288000,-1
43509.520566,129920800,140288000,-1
43509.520613,129922080,140288000,-1
43509.520659,129924752,140288000,-1
43509.520705,129926416,140288000,-1
43509.520752,129931280,140288000,-1
43509.520798,129936400,140288000,-1
43509.520844,129936400,140288000,-1
43509.520891,129959976,140353536,-1
43509.520937,129964584,140419072,-1
43509.520983,129982872,140419072,-1
43509.521029,130004632,140419072,-1
43509.521076,130023832,140419072,-1
43509.521122,130098584,140484608,-1
43509.521168,130184136,140615680,-1
43509.521215,130232368,140615680,-1
43509.521261,130280368,140615680,-1
43509.521307,130327256,140681216,-1
43509.521354,130327256,140681216,-1
43509.521400,130350936,140746752,-1
43509.521446,130366424,140746752,-1
43509.521492,130413568,140812288,-1
43509.521539,130453648,140812288,-1
43509.521585,130480040,140877824,-1
43509.521631,130502712,140877824,-1
43509.521678,130515056,140877824,-1
43509.521724,130533656,140877824,-1
43509.521770,130560472,140877824,-1
43509.521817,130583040,140943360,-1
43509.521863,130591000,140943360,-1
43509.521909,130656128,141074432,-1
43509.521955,130713712,141074432,-1
43509.522002,130713712,141074432,-1
43509.522048,130735728,141074432,-1
43509.522094,130741624,141074432,-1
43509.522141,130741624,141074432,-1
43509.522187,130741624,141074432,-1
43509.522233,130741624,141074432,-1
43509.522279,130743032,141074432,-1
43509.522326,130754040,141074432,-1
43509.522372,130754808,141074432,-1
43509.522418,130778592,141074432,-1
43509.522465,130779848,141074432,-1
43509.522511,130784200,141074432,-1
43509.522557,130787064,141139968,-1
43509.522604,130788648,141139968,-1
43509.522650,130803584,141139968,-1
43509.522696,130804992,141139968,-1
43509.522742,130812568,141139968,-1
43509.522789,130812568,141139968,-1
43509.522835,130819296,141139968,-1
43509.522881,130822240,141205504,-1
43509.522928,130822240,141205504,-1
43509.522974,130822240,141205504,-1
43509.523020,130832736,141205504,-1
43509.523067,130868320,141205504,-1
43509.523113,130895832,141205504,-1
43509.523159,130902360,141205504,-1
43509.523205,130909144,141205504,-1
