Time,CPU Usage
43509.677588,7.2
43509.677634,5.8
43509.677680,2.9
43509.677726,3.0
43509.677773,7.8
43509.677819,30.2
43509.677865,37.0
43509.677912,27.4
43509.677958,28.9
43509.678004,17.8
43509.678050,14.2
43509.678097,17.4
43509.678143,11.5
43509.678189,8.9
43509.678236,7.1
43509.678282,6.4
43509.678328,6.2
43509.678375,6.9
43509.678421,8.0
43509.678467,6.8
43509.678513,10.0
43509.678560,10.1
43509.678606,5.8
43509.678652,6.6
43509.678699,6.2
43509.678745,5.8
43509.678791,6.0
43509.678838,5.8
43509.678884,5.6
43509.678930,5.7
43509.678976,5.7
43509.679023,5.6
43509.679069,6.0
43509.679115,5.6
43509.679162,6.3
43509.679208,5.5
43509.679254,5.8
43509.679300,5.6
43509.679347,5.6
43509.679393,5.9
43509.679439,5.5
43509.679486,5.6
43509.679532,5.7
43509.679578,5.4
43509.679625,5.6
43509.679671,5.8
43509.679717,5.6
43509.679763,5.4
43509.679810,5.7
43509.679856,5.5
43509.679902,5.5
43509.679949,5.4
43509.679995,8.1
43509.680041,5.5
43509.680088,5.6
43509.680134,5.6
43509.680180,5.4
43509.680226,5.5
43509.680273,5.6
43509.680319,5.6
43509.680365,5.5
43509.680412,5.6
43509.680458,5.6
43509.680504,5.5
43509.680551,5.4
43509.680597,5.5
43509.680643,5.4
43509.680689,5.5
43509.680736,5.5
43509.680782,5.4
43509.680828,5.4
43509.680875,5.6
43509.680921,5.4
43509.680967,5.4
43509.681013,5.4
43509.681060,5.4
43509.681106,5.3
43509.681152,5.4
43509.681199,5.5
43509.681245,5.4
43509.681291,5.4
43509.681338,5.5
43509.681384,5.8
43509.681430,5.5
43509.681476,5.4
43509.681523,5.8
43509.681569,6.1
43509.681615,5.5
43509.681662,5.4
43509.681708,5.4
43509.681754,5.4
43509.681801,5.4
43509.681847,5.6
43509.681893,5.4
43509.681939,5.5
43509.681986,5.5
43509.682032,5.8
43509.682078,5.4
43509.682125,5.3
43509.682171,5.4
43509.682217,5.5
43509.682264,5.4
43509.682310,5.4
43509.682356,5.4
43509.682402,5.4
43509.682449,5.4
43509.682495,5.4
43509.682541,5.4
43509.682588,5.4
43509.682634,5.6
43509.682680,5.5
43509.682727,5.4
43509.682773,5.3
43509.682819,5.3
43509.682865,5.5
43509.682912,5.4
43509.682958,5.4
43509.683004,5.4
43509.683051,5.4
43509.683097,5.5
43509.683143,5.5
43509.683189,5.4
43509.683236,5.4
43509.683282,5.4
43509.683328,5.5
43509.683375,5.3
43509.683421,5.4
43509.683467,5.4
43509.683514,5.3
43509.683560,5.4
43509.683606,5.4
43509.683652,5.3
43509.683699,5.4
43509.683745,5.5
43509.683791,5.5
43509.683838,5.4
43509.683884,5.3
43509.683930,5.4
43509.683977,5.7
43509.684023,5.8
43509.684069,6.1
43509.684115,5.6
43509.684162,5.9
43509.684208,5.8
43509.684254,5.3
43509.684301,5.3
43509.684347,5.4
43509.684393,5.4
43509.684440,5.3
43509.684486,5.4
43509.684532,5.4
43509.684578,5.4
43509.684625,5.3
43509.684671,5.6
43509.684717,5.5
43509.684764,5.6
43509.684810,5.6
43509.684856,5.7
43509.684903,5.6
43509.684949,5.6
43509.684995,5.7
43509.685041,5.6
43509.685088,5.6
43509.685134,5.6
43509.685180,5.6
43509.685227,5.6
43509.685273,5.6
43509.685319,5.6
43509.685365,5.5
43509.685412,5.8
43509.685458,6.3
43509.685504,5.8
43509.685551,5.8
43509.685597,5.7
43509.685643,5.7
43509.685690,5.6
43509.685736,5.8
43509.685782,5.6
43509.685828,5.5
43509.685875,5.8
43509.685921,5.5
43509.685967,5.8
43509.686014,6.3
43509.686060,5.6
43509.686106,5.6
43509.686153,5.7
43509.686199,5.6
43509.686245,5.6
43509.686291,5.5
43509.686338,5.7
43509.686384,5.6
43509.686430,5.7
43509.686477,5.6
43509.686523,6.1
43509.686569,6.1
43509.686615,5.7
43509.686662,5.6
43509.686708,5.4
43509.686754,5.6
43509.686801,5.6
43509.686847,5.7
43509.686893,5.4
43509.686940,5.8
43509.686986,5.6
43509.687032,5.4
43509.687078,5.6
43509.687125,5.7
43509.687171,5.4
43509.687217,5.8
43509.687264,6.1
43509.687310,5.8
43509.687356,5.8
43509.687403,5.8
43509.687449,5.7
43509.687495,6.3
43509.687541,5.9
43509.687588,5.9
43509.687634,5.5
43509.687680,5.6
43509.687727,5.6
43509.687773,5.7
43509.687819,5.8
43509.687865,5.7
43509.687912,5.9
43509.687958,5.8
43509.688004,5.4
43509.688051,5.2
43509.688097,5.6
43509.688143,5.7
43509.688190,5.9
43509.688236,6.1
43509.688282,5.5
43509.688328,6.1
43509.688375,5.8
43509.688421,5.5
43509.688467,5.7
43509.688514,5.4
43509.688560,5.5
43509.688606,5.7
43509.688653,5.5
43509.688699,5.4
43509.688745,5.5
43509.688791,5.5
43509.688838,5.4
43509.688884,5.4
43509.688930,5.6
43509.688977,5.4
43509.689023,5.4
43509.689069,5.7
43509.689115,5.5
43509.689162,5.4
43509.689208,5.5
43509.689254,5.4
43509.689301,5.5
43509.689347,5.4
43509.689393,5.5
43509.689440,5.5
43509.689486,5.6
43509.689532,5.6
43509.689578,5.4
43509.689625,5.7
43509.689671,5.5
43509.689717,5.4
43509.689764,5.5
43509.689810,5.4
43509.689856,5.5
43509.689903,5.4
43509.689949,5.4
43509.689995,5.5
43509.690041,5.7
43509.690088,5.6
43509.690134,5.5
43509.690180,4.2
43509.690227,3.9
