Time,Used,Committed,Max,Threshold
43508.771161,6291456,6291456,-1,-1
43508.771207,6291456,6291456,-1,-1
43508.771253,6291456,6291456,-1,-1
43508.771299,7340032,7340032,-1,-1
43508.771346,7340032,7340032,-1,-1
43508.771392,7340032,7340032,-1,-1
43508.771438,15728640,15728640,-1,-1
43508.771484,15728640,15728640,-1,-1
43508.771531,15728640,15728640,-1,-1
43508.771577,15728640,15728640,-1,-1
43508.771623,10485760,10485760,-1,-1
43508.771670,10485760,10485760,-1,-1
43508.771716,10485760,10485760,-1,-1
43508.771762,10485760,10485760,-1,-1
43508.771809,10485760,10485760,-1,-1
43508.771855,10485760,10485760,-1,-1
43508.771901,10485760,10485760,-1,-1
43508.771947,10485760,10485760,-1,-1
43508.771994,10485760,10485760,-1,-1
43508.772040,10485760,10485760,-1,-1
43508.772086,10485760,10485760,-1,-1
43508.772133,10485760,10485760,-1,-1
43508.772179,10485760,10485760,-1,-1
43508.772225,10485760,10485760,-1,-1
43508.772272,10485760,10485760,-1,-1
43508.772318,10485760,10485760,-1,-1
43508.772364,10485760,10485760,-1,-1
43508.772410,10485760,10485760,-1,-1
43508.772457,10485760,10485760,-1,-1
43508.772503,10485760,10485760,-1,-1
43508.772549,10485760,10485760,-1,-1
43508.772596,10485760,10485760,-1,-1
43508.772642,10485760,10485760,-1,-1
43508.772688,10485760,10485760,-1,-1
43508.772735,10485760,10485760,-1,-1
43508.772781,10485760,10485760,-1,-1
43508.772827,10485760,10485760,-1,-1
43508.772873,10485760,10485760,-1,-1
43508.772920,10485760,10485760,-1,-1
43508.772966,10485760,10485760,-1,-1
43508.773012,10485760,10485760,-1,-1
43508.773059,10485760,10485760,-1,-1
43508.773105,10485760,10485760,-1,-1
43508.773151,10485760,10485760,-1,-1
43508.773197,10485760,10485760,-1,-1
43508.773244,10485760,10485760,-1,-1
43508.773290,9437184,9437184,-1,-1
43508.773336,9437184,9437184,-1,-1
43508.773383,9437184,9437184,-1,-1
43508.773429,9437184,9437184,-1,-1
43508.773475,5242880,5242880,-1,-1
43508.773522,5242880,5242880,-1,-1
43508.773568,5242880,5242880,-1,-1
43508.773614,5242880,5242880,-1,-1
43508.773660,4194304,4194304,-1,-1
43508.773707,4194304,4194304,-1,-1
43508.773753,4194304,4194304,-1,-1
43508.773799,4194304,4194304,-1,-1
43508.773846,3145728,3145728,-1,-1
43508.773892,3145728,3145728,-1,-1
43508.773938,3145728,3145728,-1,-1
43508.773985,1048576,1048576,-1,-1
43508.774031,1048576,1048576,-1,-1
43508.774077,1048576,1048576,-1,-1
43508.774123,1048576,1048576,-1,-1
43508.774170,1048576,1048576,-1,-1
43508.774216,1048576,1048576,-1,-1
