Time,Used
43509.605669,115897360
43509.605714,148403216
43509.605761,176714768
43509.605807,203977744
43509.605853,83804672
43509.605900,138330624
43509.605946,194953728
43509.605992,67891520
43509.606038,137097536
43509.606085,205254976
43509.606131,64930304
43509.606177,133087744
43509.606224,200196608
43509.606270,58082664
43509.606316,125191528
43509.606363,191251816
43509.606409,49079920
43509.606455,115140208
43509.606501,181200496
43509.606548,36480960
43509.606594,103589824
43509.606640,168601536
43509.606687,233613248
43509.606733,90096128
43509.606779,155107840
43509.606825,221168128
43509.606872,75870704
43509.606918,141930992
43509.606964,207991280
43509.607011,62833152
43509.607057,128893440
43509.607103,193905152
43509.607150,48606600
43509.607196,114666888
43509.607242,179678600
43509.607288,35428224
43509.607335,101488512
43509.607381,167548800
43509.607427,233609088
43509.607474,88911744
43509.607520,154972032
43509.607566,222080896
43509.607613,76922048
43509.607659,141933760
43509.607705,209042624
43509.607751,64175104
43509.607798,130235392
43509.607844,196295680
43509.607890,52130928
43509.607937,118191216
43509.607983,185300080
43509.608029,36345856
43509.608076,102406144
43509.608122,169515008
43509.608168,235575296
43509.608214,85346832
43509.608261,151407120
43509.608307,218515984
43509.608353,65534864
43509.608400,131595152
43509.608446,197655440
43509.608492,44532816
43509.608539,110593104
43509.608585,176653392
43509.608631,242713680
43509.608677,89617328
43509.608724,155677616
43509.608770,222786480
43509.608816,69701536
43509.608863,136810400
43509.608909,202870688
43509.608955,49814064
43509.609002,117971504
43509.609048,182983216
43509.609094,250092080
43509.609140,97009600
43509.609187,164118464
43509.609233,231227328
43509.609279,78149536
43509.609326,146306976
43509.609372,212367264
43509.609418,59285088
43509.609464,126393952
43509.609511,192454240
43509.609557,39381440
43509.609603,106490304
43509.609650,172550592
43509.609696,240708032
43509.609742,87630720
43509.609789,154739584
43509.609835,220799872
43509.609881,67693696
43509.609927,134802560
43509.609974,200862848
43509.610020,47815520
43509.610066,113875808
43509.610113,180984672
43509.610159,247044960
43509.610205,95005816
43509.610252,162114680
43509.610298,229223544
43509.610344,76176056
43509.610390,142236344
43509.610437,209345208
43509.610483,56260912
43509.610529,123369776
43509.610576,189430064
43509.610622,35287200
43509.610668,103444640
43509.610714,170553504
43509.610761,236613792
43509.610807,83551056
43509.610853,149611344
43509.610900,216720208
43509.610946,64691360
43509.610992,131800224
43509.611039,197860512
43509.611085,45820056
43509.611131,112928920
43509.611177,180037784
43509.611224,247146648
43509.611270,94087808
43509.611316,161196672
43509.611363,228305536
43509.611409,75246624
43509.611455,142355488
43509.611502,208415776
43509.611548,56360840
43509.611594,123469704
43509.611640,189529992
43509.611687,36467104
43509.611733,103575968
43509.611779,170684832
43509.611826,237793696
43509.611872,83670032
43509.611918,150778896
43509.611964,217887760
43509.612011,64813200
43509.612057,130873488
43509.612103,197982352
43509.612150,44905744
43509.612196,110966032
43509.612242,178074896
43509.612289,244135184
43509.612335,92112016
43509.612381,159220880
43509.612427,225281168
43509.612474,72221496
43509.612520,139330360
43509.612566,206439224
43509.612613,53332368
43509.612659,119392656
43509.612705,186501520
43509.612752,33446016
43509.612798,100554880
43509.612844,167663744
43509.612890,234772608
43509.612937,81682312
43509.612983,147742600
43509.613029,213802888
43509.613076,60743072
43509.613122,127851936
43509.613168,193912224
43509.613215,40839312
43509.613261,106899600
43509.613307,172959888
43509.613353,239020176
