Time,Used
43509.621002,171476432
43509.621047,205030864
43509.621094,235439568
43509.621140,117904896
43509.621186,171382272
43509.621232,235345408
43509.621279,105188976
43509.621325,175443568
43509.621371,36421632
43509.621418,104579072
43509.621464,172736512
43509.621510,239845376
43509.621557,96635104
43509.621603,163743968
43509.621649,229804256
43509.621695,86078480
43509.621742,152138768
43509.621788,219247632
43509.621834,75743232
43509.621881,141803520
43509.621927,208912384
43509.621973,63160320
43509.622020,130269184
43509.622066,196329472
43509.622112,50404464
43509.622158,116464752
43509.622205,182525040
43509.622251,37994496
43509.622297,104054784
43509.622344,170115072
43509.622390,236175360
43509.622436,90860288
43509.622482,156920576
43509.622529,222980864
43509.622575,78888960
43509.622621,144949248
43509.622668,211009536
43509.622714,65085040
43509.622760,131145328
43509.622807,197205616
43509.622853,51625984
43509.622899,117686272
43509.622945,184795136
43509.622992,39043072
43509.623038,105103360
43509.623084,171163648
43509.623131,237223936
43509.623177,92017600
43509.623223,159126464
43509.623270,225186752
43509.623316,74552760
43509.623362,141661624
43509.623408,207721912
43509.623455,58091816
43509.623501,124152104
43509.623547,191260968
43509.623594,37106496
43509.623640,103166784
43509.623686,170275648
43509.623733,237384512
43509.623779,83272960
43509.623825,151430400
43509.623871,217490688
43509.623918,64419488
43509.623964,131528352
43509.624010,197588640
43509.624057,44512736
43509.624103,111621600
43509.624149,177681888
43509.624195,244790752
43509.624242,92762344
43509.624288,159871208
43509.624334,226980072
43509.624381,73909200
43509.624427,139969488
43509.624473,208126928
43509.624520,53987328
43509.624566,121096192
43509.624612,187156480
43509.624658,34095856
43509.624705,100156144
43509.624751,167265008
43509.624797,233325296
43509.624844,81300960
43509.624890,148409824
43509.624936,215518688
43509.624983,62424976
43509.625029,129533840
43509.625075,196642704
43509.625121,43589824
43509.625168,110698688
43509.625214,177807552
43509.625260,244916416
43509.625307,90790640
43509.625353,157899504
43509.625399,225008368
43509.625445,72980688
43509.625492,140089552
43509.625538,207198416
43509.625584,54134496
43509.625631,121243360
43509.625677,188352224
43509.625723,36304152
43509.625770,103413016
43509.625816,169473304
43509.625862,236582168
43509.625908,84572000
43509.625955,152729440
43509.626001,219838304
43509.626047,65720600
43509.626094,133878040
43509.626140,200986904
43509.626186,48953680
43509.626233,117111120
43509.626279,185268560
43509.626325,251328848
43509.626371,99287976
43509.626418,166396840
43509.626464,233505704
43509.626510,81483824
43509.626557,148592688
43509.626603,216750128
43509.626649,64714832
43509.626695,130775120
43509.626742,198932560
43509.626788,46934024
43509.626834,114042888
43509.626881,181151752
43509.626927,247212040
43509.626973,95172160
43509.627020,162281024
43509.627066,229389888
43509.627112,77342352
43509.627158,144451216
43509.627205,211560080
43509.627251,59552640
43509.627297,126661504
43509.627344,192721792
43509.627390,40697936
43509.627436,107806800
43509.627483,174915664
43509.627529,242024528
43509.627575,88931304
43509.627621,157088744
43509.627668,224197608
43509.627714,71153296
43509.627760,139310736
43509.627807,206419600
43509.627853,53312000
43509.627899,121469440
43509.627946,187529728
43509.627992,35520160
43509.628038,101580448
43509.628084,168689312
43509.628131,236846752
43509.628177,83788184
43509.628223,150897048
43509.628270,218005912
43509.628316,64913728
43509.628362,132022592
43509.628409,199131456
43509.628455,46047176
43509.628501,113156040
43509.628547,180264904
43509.628594,247373768
43509.628640,94295256
43509.628686,161404120
43509.628733,228512984
43509.628779,75447840
43509.628825,140459552
43509.628871,208616992
43509.628918,54479264
43509.628964,121588128
43509.629010,189745568
43509.629057,35653104
43509.629103,102761968
43509.629149,169870832
43509.629196,236979696
43509.629242,84929728
43509.629288,152038592
43509.629334,218098880
43509.629381,65012912
43509.629427,132121776
43509.629473,199230640
43509.629520,45121440
43509.629566,113278880
43509.629612,180387744
43509.629659,247496608
43509.629705,94423520
43509.629751,161532384
43509.629797,228641248
43509.629844,77647552
43509.629890,144756416
43509.629936,210816704
43509.629983,58802736
43509.630029,124863024
43509.630075,191971888
43509.630122,38899152
43509.630168,106008016
43509.630214,172068304
43509.630260,238128592
43509.630307,86083488
43509.630353,153192352
43509.630399,220301216
43509.630446,68337832
43509.630492,134398120
43509.630538,201506984
43509.630584,48403512
43509.630631,116560952
43509.630677,182621240
43509.630723,250778680
43509.630770,97718896
43509.630816,163779184
43509.630862,230888048
43509.630909,77815952
43509.630955,145973392
43509.631001,213082256
43509.631047,58960416
43509.631094,126069280
43509.631140,193178144
43509.631186,40085880
43509.631233,106146168
43509.631279,174303608
43509.631325,241412472
43509.631372,89383832
43509.631418,156492696
43509.631464,223601560
43509.631510,70523304
43509.631557,137632168
43509.631603,204741032
43509.631649,51687456
43509.631696,118796320
43509.631742,185905184
43509.631788,34920144
43509.631835,100980432
43509.631881,167040720
43509.631927,235198160
43509.631973,82108344
43509.632020,149217208
43509.632066,216326072
43509.632112,63262736
43509.632159,130371600
43509.632205,197480464
43509.632251,43372896
43509.632298,110481760
43509.632344,177590624
43509.632390,245748064
43509.632436,92665872
43509.632483,159774736
43509.632529,225835024
43509.632575,73786264
43509.632622,139846552
43509.632668,206955416
43509.632714,54943104
43509.632760,121003392
43509.632807,188112256
43509.632853,35037056
43509.632899,102145920
43509.632946,168206208
43509.632992,235315072
43509.633038,82231792
43509.633085,148292080
43509.633131,215400944
43509.633177,62338864
43509.633223,129447728
43509.633270,196556592
43509.633316,43464576
43509.633362,109524864
43509.633409,177682304
43509.633455,243742592
43509.633501,90680688
43509.633548,152546672
43509.633594,195538288
43509.633640,239578480
43509.633686,62367800
43509.633733,106407992
43509.633779,148351032
43509.633825,192391224
43509.633872,235382840
43509.633918,59241488
43509.633964,103281680
43509.634011,148370448
43509.634057,192410640
43509.634103,237499408
43509.634149,62411808
43509.634196,107500576
43509.634242,153637920
43509.634288,199775264
43509.634335,245912608
43509.634381,70812336
43509.634427,116949680
43509.634473,163087024
43509.634520,209224368
43509.634566,35159112
43509.634612,82345032
43509.634659,129530952
43509.634705,175668296
43509.634751,222854216
43509.634798,49865008
43509.634844,97050928
43509.634890,144236848
43509.634936,191422768
43509.634983,239657264
43509.635029,65626368
43509.635075,113860864
43509.635122,161046784
43509.635168,208232704
43509.635214,36276240
43509.635261,83462160
43509.635307,131696656
43509.635353,178882576
43509.635399,227117072
43509.635446,55149328
43509.635492,104432400
43509.635538,151618320
43509.635585,199852816
43509.635631,248087312
43509.635677,76137872
43509.635724,124372368
43509.635770,172606864
43509.635816,219792784
43509.635862,47842224
43509.635909,96076720
43509.635955,143262640
43509.636001,191497136
43509.636048,238683056
43509.636094,66734080
43509.636140,114968576
43509.636186,164251648
43509.636233,212486144
43509.636279,40532944
43509.636325,88767440
43509.636372,138050512
43509.636418,186285008
43509.636464,234519504
43509.636511,62566544
