Time,Used,Committed,Max,Threshold
43509.659072,13631488,13631488,-1,-1
43509.659117,13631488,13631488,-1,-1
43509.659163,13631488,13631488,-1,-1
43509.659210,13631488,13631488,-1,-1
43509.659256,13631488,13631488,-1,-1
43509.659302,8388608,8388608,-1,-1
43509.659348,8388608,8388608,-1,-1
43509.659395,8388608,8388608,-1,-1
43509.659441,8388608,8388608,-1,-1
43509.659487,15728640,15728640,-1,-1
43509.659534,15728640,15728640,-1,-1
43509.659580,15728640,15728640,-1,-1
43509.659626,10485760,10485760,-1,-1
43509.659672,10485760,10485760,-1,-1
43509.659719,10485760,10485760,-1,-1
43509.659765,10485760,10485760,-1,-1
43509.659811,10485760,10485760,-1,-1
43509.659858,10485760,10485760,-1,-1
43509.659904,10485760,10485760,-1,-1
43509.659950,10485760,10485760,-1,-1
43509.659997,10485760,10485760,-1,-1
43509.660043,9437184,9437184,-1,-1
43509.660089,9437184,9437184,-1,-1
43509.660135,9437184,9437184,-1,-1
43509.660182,9437184,9437184,-1,-1
43509.660228,9437184,9437184,-1,-1
43509.660274,9437184,9437184,-1,-1
43509.660321,9437184,9437184,-1,-1
43509.660367,10485760,10485760,-1,-1
43509.660413,10485760,10485760,-1,-1
43509.660460,10485760,10485760,-1,-1
43509.660506,9437184,9437184,-1,-1
43509.660552,9437184,9437184,-1,-1
43509.660598,9437184,9437184,-1,-1
43509.660645,9437184,9437184,-1,-1
43509.660691,9437184,9437184,-1,-1
43509.660737,9437184,9437184,-1,-1
43509.660784,10485760,10485760,-1,-1
43509.660830,10485760,10485760,-1,-1
43509.660876,10485760,10485760,-1,-1
43509.660922,10485760,10485760,-1,-1
43509.660969,10485760,10485760,-1,-1
43509.661015,10485760,10485760,-1,-1
43509.661061,10485760,10485760,-1,-1
43509.661108,10485760,10485760,-1,-1
43509.661154,10485760,10485760,-1,-1
43509.661200,10485760,10485760,-1,-1
43509.661247,10485760,10485760,-1,-1
43509.661293,10485760,10485760,-1,-1
43509.661339,10485760,10485760,-1,-1
43509.661385,5242880,5242880,-1,-1
43509.661432,5242880,5242880,-1,-1
43509.661478,5242880,5242880,-1,-1
43509.661524,4194304,4194304,-1,-1
43509.661571,4194304,4194304,-1,-1
43509.661617,4194304,4194304,-1,-1
43509.661663,4194304,4194304,-1,-1
43509.661710,1048576,1048576,-1,-1
43509.661756,1048576,1048576,-1,-1
43509.661802,1048576,1048576,-1,-1
43509.661848,1048576,1048576,-1,-1
43509.661895,1048576,1048576,-1,-1
43509.661941,1048576,1048576,-1,-1
43509.661987,1048576,1048576,-1,-1
43509.662034,1048576,1048576,-1,-1
43509.662080,1048576,1048576,-1,-1
43509.662126,1048576,1048576,-1,-1
43509.662173,1048576,1048576,-1,-1
43509.662219,1048576,1048576,-1,-1
43509.662265,1048576,1048576,-1,-1
43509.662311,1048576,1048576,-1,-1
43509.662358,1048576,1048576,-1,-1
43509.662404,1048576,1048576,-1,-1
43509.662450,1048576,1048576,-1,-1
43509.662497,1048576,1048576,-1,-1
43509.662543,1048576,1048576,-1,-1
43509.662589,1048576,1048576,-1,-1
43509.662635,1048576,1048576,-1,-1
43509.662682,1048576,1048576,-1,-1
43509.662728,1048576,1048576,-1,-1
43509.662774,1048576,1048576,-1,-1
43509.662821,1048576,1048576,-1,-1
43509.662867,1048576,1048576,-1,-1
43509.662913,1048576,1048576,-1,-1
43509.662960,1048576,1048576,-1,-1
43509.663006,1048576,1048576,-1,-1
43509.663052,1048576,1048576,-1,-1
43509.663098,1048576,1048576,-1,-1
43509.663145,1048576,1048576,-1,-1
43509.663191,1048576,1048576,-1,-1
43509.663237,1048576,1048576,-1,-1
43509.663284,1048576,1048576,-1,-1
43509.663330,1048576,1048576,-1,-1
43509.663376,1048576,1048576,-1,-1
43509.663423,1048576,1048576,-1,-1
43509.663469,1048576,1048576,-1,-1
43509.663515,1048576,1048576,-1,-1
43509.663561,1048576,1048576,-1,-1
43509.663608,1048576,1048576,-1,-1
43509.663654,1048576,1048576,-1,-1
43509.663700,1048576,1048576,-1,-1
43509.663747,1048576,1048576,-1,-1
43509.663793,1048576,1048576,-1,-1
43509.663839,1048576,1048576,-1,-1
43509.663886,1048576,1048576,-1,-1
43509.663932,1048576,1048576,-1,-1
43509.663978,1048576,1048576,-1,-1
43509.664024,1048576,1048576,-1,-1
43509.664071,1048576,1048576,-1,-1
43509.664117,1048576,1048576,-1,-1
43509.664163,1048576,1048576,-1,-1
43509.664210,1048576,1048576,-1,-1
43509.664256,1048576,1048576,-1,-1
43509.664302,1048576,1048576,-1,-1
43509.664348,1048576,1048576,-1,-1
43509.664395,1048576,1048576,-1,-1
43509.664441,1048576,1048576,-1,-1
43509.664487,1048576,1048576,-1,-1
43509.664534,1048576,1048576,-1,-1
