Time,Used,Committed,Max,Threshold
43509.659072,73692064,80760832,-1,0
43509.659117,73944848,81022976,-1,0
43509.659163,74108848,81285120,-1,0
43509.659210,74194608,81285120,-1,0
43509.659256,74279688,81547264,-1,0
43509.659302,74840096,82202624,-1,0
43509.659348,75098376,82464768,-1,0
43509.659395,75656432,83120128,-1,0
43509.659441,84632408,92819456,-1,0
43509.659487,85453816,93736960,-1,0
43509.659534,85636296,93999104,-1,0
43509.659580,85668120,93999104,-1,0
43509.659626,85696512,93999104,-1,0
43509.659672,85738472,93999104,-1,0
43509.659719,85813720,94261248,-1,0
43509.659765,85862592,94261248,-1,0
43509.659811,85879936,94261248,-1,0
43509.659858,85900512,94261248,-1,0
43509.659904,85907200,94261248,-1,0
43509.659950,85912192,94261248,-1,0
43509.659997,85913544,94261248,-1,0
43509.660043,85940216,94261248,-1,0
43509.660089,85944264,94261248,-1,0
43509.660135,85967016,94261248,-1,0
43509.660182,85980440,94261248,-1,0
43509.660228,85980600,94261248,-1,0
43509.660274,85992528,94261248,-1,0
43509.660321,86003128,94261248,-1,0
43509.660367,86007944,94261248,-1,0
43509.660413,86029736,94261248,-1,0
43509.660460,86034056,94261248,-1,0
43509.660506,86035600,94261248,-1,0
43509.660552,86039896,94261248,-1,0
43509.660598,86040576,94261248,-1,0
43509.660645,86042736,94261248,-1,0
43509.660691,86048944,94261248,-1,0
43509.660737,86049376,94261248,-1,0
43509.660784,86050128,94261248,-1,0
43509.660830,86050128,94261248,-1,0
43509.660876,86050128,94261248,-1,0
43509.660922,86055000,94261248,-1,0
43509.660969,86056296,94261248,-1,0
43509.661015,86062344,94261248,-1,0
43509.661061,86062776,94261248,-1,0
43509.661108,86064216,94261248,-1,0
43509.661154,86104112,94523392,-1,0
43509.661200,86104112,94523392,-1,0
43509.661247,86108736,94523392,-1,0
43509.661293,86108736,94523392,-1,0
43509.661339,86108736,94523392,-1,0
43509.661385,86110784,94523392,-1,0
43509.661432,86114600,94523392,-1,0
43509.661478,86120920,94523392,-1,0
43509.661524,86129248,94523392,-1,0
43509.661571,86134680,94523392,-1,0
43509.661617,86143352,94523392,-1,0
43509.661663,86145144,94523392,-1,0
43509.661710,86149384,94523392,-1,0
43509.661756,86155760,94523392,-1,0
43509.661802,86155760,94523392,-1,0
43509.661848,86162576,94523392,-1,0
43509.661895,86187624,94523392,-1,0
43509.661941,86193672,94523392,-1,0
43509.661987,86195384,94523392,-1,0
43509.662034,86195384,94523392,-1,0
43509.662080,86195888,94523392,-1,0
43509.662126,86195888,94523392,-1,0
43509.662173,86196256,94523392,-1,0
43509.662219,86196256,94523392,-1,0
43509.662265,86196256,94523392,-1,0
43509.662311,86196256,94523392,-1,0
43509.662358,86196256,94523392,-1,0
43509.662404,86196664,94523392,-1,0
43509.662450,86197528,94523392,-1,0
43509.662497,86197528,94523392,-1,0
43509.662543,86198808,94523392,-1,0
43509.662589,86198808,94523392,-1,0
43509.662635,86202616,94523392,-1,0
43509.662682,86203960,94523392,-1,0
43509.662728,86206616,94523392,-1,0
43509.662774,86211880,94523392,-1,0
43509.662821,86211880,94523392,-1,0
43509.662867,86211880,94523392,-1,0
43509.662913,86211880,94523392,-1,0
43509.662960,86213000,94523392,-1,0
43509.663006,86213488,94523392,-1,0
43509.663052,86218776,94523392,-1,0
43509.663098,86225352,94523392,-1,0
43509.663145,86227216,94523392,-1,0
43509.663191,86227616,94523392,-1,0
43509.663237,86233080,94523392,-1,0
43509.663284,86233080,94523392,-1,0
43509.663330,86233080,94523392,-1,0
43509.663376,86240592,94523392,-1,0
43509.663423,86244256,94523392,-1,0
43509.663469,86249528,94523392,-1,0
43509.663515,86249528,94523392,-1,0
43509.663561,86249528,94523392,-1,0
43509.663608,86250048,94523392,-1,0
43509.663654,86250048,94523392,-1,0
43509.663700,86250048,94523392,-1,0
43509.663747,86250048,94523392,-1,0
43509.663793,86250048,94523392,-1,0
43509.663839,86250048,94523392,-1,0
43509.663886,86250048,94523392,-1,0
43509.663932,86250048,94523392,-1,0
43509.663978,86250048,94523392,-1,0
43509.664024,86254312,94523392,-1,0
43509.664071,86254312,94523392,-1,0
