Time,Used,Committed,Max,Threshold
43509.560083,112197632,216006656,-1,-1
43509.560128,115343360,216006656,-1,-1
43509.560175,117440512,216006656,-1,-1
43509.560221,117440512,216006656,-1,-1
43509.560267,118489088,216006656,-1,-1
43509.560313,186646528,216006656,-1,-1
43509.560360,14680064,211812352,-1,-1
43509.560406,51380224,211812352,-1,-1
43509.560452,85983232,211812352,-1,-1
43509.560499,120586240,211812352,-1,-1
43509.560545,155189248,211812352,-1,-1
43509.560591,189792256,211812352,-1,-1
43509.560638,28311552,239075328,-1,-1
43509.560684,62914560,239075328,-1,-1
43509.560730,95420416,239075328,-1,-1
43509.560776,128974848,239075328,-1,-1
43509.560823,162529280,239075328,-1,-1
43509.560869,195035136,239075328,-1,-1
43509.560915,4194304,239075328,-1,-1
43509.560962,39845888,239075328,-1,-1
43509.561008,72351744,239075328,-1,-1
43509.561054,104857600,239075328,-1,-1
43509.561101,138412032,239075328,-1,-1
43509.561147,170917888,239075328,-1,-1
43509.561193,204472320,239075328,-1,-1
43509.561239,13631488,239075328,-1,-1
43509.561286,47185920,239075328,-1,-1
43509.561332,79691776,239075328,-1,-1
43509.561378,112197632,239075328,-1,-1
43509.561425,145752064,239075328,-1,-1
43509.561471,179306496,239075328,-1,-1
43509.561517,211812352,239075328,-1,-1
43509.561564,22020096,239075328,-1,-1
43509.561610,54525952,239075328,-1,-1
43509.561656,88080384,239075328,-1,-1
43509.561702,120586240,239075328,-1,-1
43509.561749,153092096,239075328,-1,-1
43509.561795,185597952,239075328,-1,-1
43509.561841,219152384,239075328,-1,-1
43509.561888,27262976,238026752,-1,-1
43509.561934,60817408,238026752,-1,-1
43509.561980,92274688,238026752,-1,-1
43509.562026,126877696,238026752,-1,-1
43509.562073,159383552,238026752,-1,-1
43509.562119,192937984,238026752,-1,-1
43509.562165,225443840,238026752,-1,-1
43509.562212,34603008,238026752,-1,-1
43509.562258,67108864,238026752,-1,-1
43509.562304,99614720,238026752,-1,-1
43509.562351,133169152,238026752,-1,-1
43509.562397,165675008,238026752,-1,-1
43509.562443,199229440,238026752,-1,-1
43509.562489,6291456,238026752,-1,-1
43509.562536,39845888,238026752,-1,-1
43509.562582,72351744,238026752,-1,-1
43509.562628,105906176,238026752,-1,-1
43509.562675,139460608,238026752,-1,-1
43509.562721,171966464,238026752,-1,-1
43509.562767,205520896,238026752,-1,-1
43509.562814,13631488,236978176,-1,-1
43509.562860,47185920,236978176,-1,-1
43509.562906,80740352,236978176,-1,-1
43509.562952,113246208,236978176,-1,-1
43509.562999,146800640,236978176,-1,-1
43509.563045,180355072,236978176,-1,-1
43509.563091,212860928,236978176,-1,-1
43509.563138,20971520,236978176,-1,-1
43509.563184,54525952,236978176,-1,-1
43509.563230,88080384,236978176,-1,-1
43509.563277,121634816,236978176,-1,-1
43509.563323,153092096,236978176,-1,-1
43509.563369,186646528,236978176,-1,-1
43509.563415,220200960,236978176,-1,-1
43509.563462,30408704,235929600,-1,-1
43509.563508,63963136,235929600,-1,-1
43509.563554,96468992,235929600,-1,-1
43509.563601,128974848,235929600,-1,-1
43509.563647,161480704,235929600,-1,-1
43509.563693,196083712,235929600,-1,-1
43509.563740,6291456,235929600,-1,-1
43509.563786,38797312,235929600,-1,-1
43509.563832,72351744,235929600,-1,-1
43509.563878,105906176,235929600,-1,-1
43509.563925,138412032,235929600,-1,-1
43509.563971,171966464,235929600,-1,-1
43509.564017,204472320,235929600,-1,-1
43509.564064,13631488,234881024,-1,-1
43509.564110,47185920,234881024,-1,-1
43509.564156,79691776,234881024,-1,-1
43509.564202,113246208,234881024,-1,-1
43509.564249,146800640,234881024,-1,-1
43509.564295,180355072,234881024,-1,-1
43509.564341,212860928,234881024,-1,-1
43509.564388,25165824,234881024,-1,-1
43509.564434,57671680,234881024,-1,-1
43509.564480,90177536,234881024,-1,-1
43509.564527,123731968,234881024,-1,-1
43509.564573,156237824,234881024,-1,-1
43509.564619,189792256,234881024,-1,-1
43509.564665,222298112,234881024,-1,-1
43509.564712,33554432,234881024,-1,-1
43509.564758,67108864,234881024,-1,-1
43509.564804,101711872,234881024,-1,-1
43509.564851,135266304,234881024,-1,-1
43509.564897,167772160,234881024,-1,-1
43509.564943,200278016,234881024,-1,-1
43509.564990,12582912,233832448,-1,-1
43509.565036,45088768,233832448,-1,-1
43509.565082,78643200,233832448,-1,-1
43509.565128,111149056,233832448,-1,-1
43509.565175,144703488,233832448,-1,-1
43509.565221,176160768,233832448,-1,-1
43509.565267,209715200,233832448,-1,-1
43509.565314,23068672,234881024,-1,-1
43509.565360,55574528,234881024,-1,-1
43509.565406,88080384,234881024,-1,-1
43509.565453,120586240,234881024,-1,-1
43509.565499,153092096,234881024,-1,-1
43509.565545,185597952,234881024,-1,-1
43509.565591,219152384,234881024,-1,-1
43509.565638,30408704,233832448,-1,-1
43509.565684,62914560,233832448,-1,-1
43509.565730,96468992,233832448,-1,-1
43509.565777,127926272,233832448,-1,-1
43509.565823,161480704,233832448,-1,-1
43509.565869,193986560,233832448,-1,-1
43509.565915,6291456,233832448,-1,-1
43509.565962,39845888,233832448,-1,-1
43509.566008,72351744,233832448,-1,-1
43509.566054,104857600,233832448,-1,-1
43509.566101,137363456,233832448,-1,-1
43509.566147,169869312,233832448,-1,-1
43509.566193,203423744,233832448,-1,-1
43509.566240,15728640,233832448,-1,-1
43509.566286,48234496,233832448,-1,-1
43509.566332,80740352,233832448,-1,-1
43509.566378,113246208,233832448,-1,-1
43509.566425,146800640,233832448,-1,-1
43509.566471,179306496,233832448,-1,-1
43509.566517,212860928,233832448,-1,-1
43509.566564,25165824,233832448,-1,-1
43509.566610,57671680,233832448,-1,-1
43509.566656,90177536,233832448,-1,-1
43509.566703,122683392,233832448,-1,-1
43509.566749,155189248,233832448,-1,-1
43509.566795,188743680,233832448,-1,-1
43509.566841,221249536,233832448,-1,-1
43509.566888,33554432,233832448,-1,-1
43509.566934,67108864,233832448,-1,-1
43509.566980,99614720,233832448,-1,-1
43509.567027,132120576,233832448,-1,-1
43509.567073,164626432,233832448,-1,-1
43509.567119,198180864,233832448,-1,-1
43509.567165,9437184,233832448,-1,-1
43509.567212,42991616,233832448,-1,-1
43509.567258,75497472,233832448,-1,-1
43509.567304,108003328,233832448,-1,-1
43509.567351,140509184,233832448,-1,-1
43509.567397,174063616,233832448,-1,-1
43509.567443,207618048,233832448,-1,-1
43509.567490,18874368,233832448,-1,-1
43509.567536,52428800,233832448,-1,-1
43509.567582,84934656,233832448,-1,-1
43509.567628,117440512,233832448,-1,-1
43509.567675,149946368,233832448,-1,-1
43509.567721,183500800,233832448,-1,-1
43509.567767,216006656,233832448,-1,-1
43509.567814,29360128,233832448,-1,-1
43509.567860,61865984,233832448,-1,-1
43509.567906,94371840,233832448,-1,-1
43509.567953,125829120,233832448,-1,-1
43509.567999,159383552,233832448,-1,-1
43509.568045,191889408,233832448,-1,-1
43509.568091,5242880,233832448,-1,-1
43509.568138,37748736,233832448,-1,-1
43509.568184,70254592,233832448,-1,-1
43509.568230,102760448,233832448,-1,-1
43509.568277,136314880,233832448,-1,-1
43509.568323,168820736,233832448,-1,-1
43509.568369,202375168,233832448,-1,-1
43509.568416,13631488,233832448,-1,-1
43509.568462,47185920,233832448,-1,-1
43509.568508,79691776,233832448,-1,-1
43509.568554,112197632,233832448,-1,-1
43509.568601,144703488,233832448,-1,-1
43509.568647,177209344,233832448,-1,-1
43509.568693,210763776,233832448,-1,-1
43509.568740,23068672,233832448,-1,-1
43509.568786,56623104,233832448,-1,-1
43509.568832,88080384,233832448,-1,-1
43509.568878,121634816,233832448,-1,-1
43509.568925,154140672,233832448,-1,-1
43509.568971,187695104,233832448,-1,-1
43509.569017,219152384,233832448,-1,-1
43509.569064,32505856,233832448,-1,-1
43509.569110,65011712,233832448,-1,-1
43509.569156,98566144,233832448,-1,-1
43509.569203,130023424,233832448,-1,-1
43509.569249,163577856,233832448,-1,-1
43509.569295,196083712,233832448,-1,-1
43509.569341,8388608,234881024,-1,-1
43509.569388,41943040,234881024,-1,-1
43509.569434,74448896,234881024,-1,-1
43509.569480,108003328,234881024,-1,-1
43509.569527,139460608,234881024,-1,-1
43509.569573,173015040,234881024,-1,-1
43509.569619,205520896,234881024,-1,-1
43509.569666,16777216,233832448,-1,-1
43509.569712,50331648,233832448,-1,-1
43509.569758,82837504,233832448,-1,-1
43509.569804,115343360,233832448,-1,-1
43509.569851,147849216,233832448,-1,-1
43509.569897,180355072,233832448,-1,-1
43509.569943,212860928,233832448,-1,-1
43509.569990,26214400,234881024,-1,-1
43509.570036,57671680,234881024,-1,-1
43509.570082,91226112,234881024,-1,-1
43509.570128,124780544,234881024,-1,-1
43509.570175,157286400,234881024,-1,-1
43509.570221,189792256,234881024,-1,-1
43509.570267,222298112,234881024,-1,-1
43509.570314,33554432,233832448,-1,-1
43509.570360,66060288,233832448,-1,-1
43509.570406,99614720,233832448,-1,-1
43509.570453,133169152,233832448,-1,-1
43509.570499,165675008,233832448,-1,-1
43509.570545,198180864,233832448,-1,-1
43509.570591,10485760,233832448,-1,-1
43509.570638,42991616,233832448,-1,-1
43509.570684,76546048,233832448,-1,-1
43509.570730,108003328,233832448,-1,-1
43509.570777,141557760,233832448,-1,-1
43509.570823,175112192,233832448,-1,-1
43509.570869,207618048,233832448,-1,-1
43509.570916,19922944,233832448,-1,-1
43509.570962,53477376,233832448,-1,-1
43509.571008,85983232,233832448,-1,-1
43509.571054,118489088,233832448,-1,-1
43509.571101,150994944,233832448,-1,-1
43509.571147,183500800,233832448,-1,-1
43509.571193,217055232,233832448,-1,-1
43509.571240,29360128,233832448,-1,-1
43509.571286,62914560,233832448,-1,-1
43509.571332,95420416,233832448,-1,-1
43509.571379,127926272,233832448,-1,-1
43509.571425,160432128,233832448,-1,-1
43509.571471,192937984,233832448,-1,-1
43509.571517,6291456,234881024,-1,-1
43509.571564,38797312,234881024,-1,-1
43509.571610,71303168,234881024,-1,-1
43509.571656,104857600,234881024,-1,-1
43509.571703,138412032,234881024,-1,-1
43509.571749,170917888,234881024,-1,-1
43509.571795,203423744,234881024,-1,-1
43509.571841,14680064,233832448,-1,-1
43509.571888,48234496,233832448,-1,-1
43509.571934,81788928,233832448,-1,-1
43509.571980,114294784,233832448,-1,-1
43509.572027,146800640,233832448,-1,-1
43509.572073,179306496,233832448,-1,-1
43509.572119,211812352,233832448,-1,-1
43509.572166,24117248,233832448,-1,-1
43509.572212,56623104,233832448,-1,-1
43509.572258,90177536,233832448,-1,-1
43509.572304,122683392,233832448,-1,-1
43509.572351,155189248,233832448,-1,-1
43509.572397,188743680,233832448,-1,-1
43509.572443,220200960,233832448,-1,-1
43509.572490,33554432,233832448,-1,-1
43509.572536,66060288,233832448,-1,-1
43509.572582,99614720,233832448,-1,-1
43509.572629,132120576,233832448,-1,-1
43509.572675,137363456,234881024,-1,-1
43509.572721,158334976,234881024,-1,-1
43509.572767,180355072,234881024,-1,-1
43509.572814,201326592,234881024,-1,-1
43509.572860,2097152,232783872,-1,-1
43509.572906,23068672,232783872,-1,-1
43509.572953,45088768,232783872,-1,-1
43509.572999,66060288,232783872,-1,-1
43509.573045,87031808,232783872,-1,-1
43509.573092,109051904,232783872,-1,-1
43509.573138,131072000,232783872,-1,-1
43509.573184,152043520,232783872,-1,-1
43509.573230,174063616,232783872,-1,-1
43509.573277,195035136,232783872,-1,-1
43509.573323,217055232,232783872,-1,-1
43509.573369,19922944,233832448,-1,-1
43509.573416,39845888,233832448,-1,-1
43509.573462,61865984,233832448,-1,-1
43509.573508,82837504,233832448,-1,-1
43509.573554,104857600,233832448,-1,-1
43509.573601,125829120,233832448,-1,-1
43509.573647,146800640,233832448,-1,-1
43509.573693,168820736,233832448,-1,-1
43509.573740,190840832,233832448,-1,-1
43509.573786,211812352,233832448,-1,-1
43509.573832,13631488,233832448,-1,-1
43509.573879,34603008,233832448,-1,-1
43509.573925,56623104,233832448,-1,-1
43509.573971,77594624,233832448,-1,-1
43509.574017,98566144,233832448,-1,-1
43509.574064,120586240,233832448,-1,-1
43509.574110,142606336,233832448,-1,-1
43509.574156,163577856,233832448,-1,-1
43509.574203,185597952,233832448,-1,-1
43509.574249,206569472,233832448,-1,-1
