Time,Used,Committed,Max
43509.560083,96236520,105111552,-1
43509.560128,97687080,106749952,-1
43509.560175,98232984,107143168,-1
43509.560221,98829896,107929600,-1
43509.560267,99238320,108191744,-1
43509.560313,115098920,125165568,-1
43509.560360,118207288,128442368,-1
43509.560406,120109112,130408448,-1
43509.560452,120789456,130932736,-1
43509.560499,121465144,131522560,-1
43509.560545,121802688,131850240,-1
43509.560591,122101008,132374528,-1
43509.560638,122954752,133226496,-1
43509.560684,123336616,133554176,-1
43509.560730,123554728,133685248,-1
43509.560776,123813632,133947392,-1
43509.560823,123978280,134340608,-1
43509.560869,124158136,134406144,-1
43509.560915,124377296,134668288,-1
43509.560962,121576176,134799360,-1
43509.561008,121606424,134799360,-1
43509.561054,121759680,134799360,-1
43509.561101,121882216,134799360,-1
43509.561147,122059792,134799360,-1
43509.561193,122202920,134799360,-1
43509.561239,122228920,134799360,-1
43509.561286,122299424,134799360,-1
43509.561332,122394200,134799360,-1
43509.561378,122474448,134864896,-1
43509.561425,122564744,134864896,-1
43509.561471,122648296,134864896,-1
43509.561517,122734704,134864896,-1
43509.561564,122867712,134930432,-1
43509.561610,122889216,134930432,-1
43509.561656,122900832,134930432,-1
43509.561702,122936208,134930432,-1
43509.561749,122976656,134995968,-1
43509.561795,122978240,134995968,-1
43509.561841,122986456,134995968,-1
43509.561888,123035496,134995968,-1
43509.561934,123073240,134995968,-1
43509.561980,123109080,134995968,-1
43509.562026,123154568,135061504,-1
43509.562073,123160200,135061504,-1
43509.562119,123194560,135061504,-1
43509.562165,123208560,135061504,-1
43509.562212,123248712,135061504,-1
43509.562258,123373176,135061504,-1
43509.562304,123380488,135061504,-1
43509.562351,123411088,135323648,-1
43509.562397,123415440,135323648,-1
43509.562443,123438544,135323648,-1
43509.562489,123441024,135323648,-1
43509.562536,123449472,135323648,-1
43509.562582,123461912,135323648,-1
43509.562628,123483480,135323648,-1
43509.562675,123503408,135323648,-1
43509.562721,123525144,135323648,-1
43509.562767,123547560,135323648,-1
43509.562814,123606760,135389184,-1
43509.562860,123639880,135389184,-1
43509.562906,123646744,135389184,-1
43509.562952,123676208,135389184,-1
43509.562999,123798432,135389184,-1
43509.563045,123803536,135389184,-1
43509.563091,123829712,135454720,-1
43509.563138,123888840,135520256,-1
43509.563184,123920712,135520256,-1
43509.563230,123953008,135520256,-1
43509.563277,124019344,135520256,-1
43509.563323,124019344,135520256,-1
43509.563369,124019344,135520256,-1
43509.563415,124022800,135520256,-1
43509.563462,124026640,135520256,-1
43509.563508,124026640,135520256,-1
43509.563554,124035792,135520256,-1
43509.563601,124068584,135520256,-1
43509.563647,124088152,135520256,-1
43509.563693,124119048,135520256,-1
43509.563740,124220264,135520256,-1
43509.563786,124236560,135585792,-1
43509.563832,124252560,135585792,-1
43509.563878,124261264,135585792,-1
43509.563925,124310544,135651328,-1
43509.563971,124345744,135651328,-1
43509.564017,124347920,135651328,-1
43509.564064,124354808,135651328,-1
43509.564110,124366536,135651328,-1
43509.564156,124431824,135716864,-1
43509.564202,124466256,135716864,-1
43509.564249,124483656,135716864,-1
43509.564295,124484552,135716864,-1
43509.564341,124510856,135716864,-1
43509.564388,124526584,135716864,-1
43509.564434,124541320,135716864,-1
43509.564480,124619088,135716864,-1
43509.564527,124678048,135716864,-1
43509.564573,124679072,135716864,-1
43509.564619,124681376,135716864,-1
43509.564665,124690720,135716864,-1
43509.564712,124701728,135716864,-1
43509.564758,124704696,135716864,-1
43509.564804,124950592,135782400,-1
43509.564851,124951360,135782400,-1
43509.564897,124963776,135782400,-1
43509.564943,125001856,136044544,-1
43509.564990,125008552,136044544,-1
43509.565036,125013096,136044544,-1
43509.565082,125031144,136110080,-1
43509.565128,125042792,136110080,-1
43509.565175,125043816,136110080,-1
43509.565221,125061232,136110080,-1
43509.565267,125063584,136110080,-1
43509.565314,125064352,136110080,-1
43509.565360,125099168,136110080,-1
43509.565406,125100424,136110080,-1
43509.565453,125100424,136110080,-1
43509.565499,125100424,136110080,-1
43509.565545,125100424,136110080,-1
43509.565591,125100424,136110080,-1
43509.565638,125112840,136175616,-1
43509.565684,125173248,136175616,-1
43509.565730,125176960,136175616,-1
43509.565777,125176960,136175616,-1
43509.565823,125196608,136175616,-1
43509.565869,125198656,136175616,-1
43509.565915,125206208,136175616,-1
43509.565962,125247320,136175616,-1
