Time,CPU Usage
43509.560128,7.5
43509.560175,4.9
43509.560221,3.1
43509.560267,1.9
43509.560314,23.6
43509.560360,21.5
43509.560406,18.5
43509.560452,11.2
43509.560499,17.8
43509.560545,11.5
43509.560591,8.0
43509.560638,25.3
43509.560684,10.5
43509.560730,6.4
43509.560777,7.5
43509.560823,6.2
43509.560869,7.0
43509.560915,7.6
43509.560962,6.9
43509.561008,5.3
43509.561054,7.2
43509.561101,5.8
43509.561147,6.1
43509.561193,5.8
43509.561240,5.1
43509.561286,4.8
43509.561332,5.4
43509.561378,5.4
43509.561425,4.7
43509.561471,5.0
43509.561517,4.6
43509.561564,6.4
43509.561610,4.7
43509.561656,4.6
43509.561703,4.7
43509.561749,5.4
43509.561795,4.6
43509.561841,4.8
43509.561888,5.0
43509.561934,5.0
43509.561980,5.2
43509.562027,4.7
43509.562073,4.7
43509.562119,4.7
43509.562165,4.7
43509.562212,5.1
43509.562258,4.8
43509.562304,4.6
43509.562351,4.6
43509.562397,4.7
43509.562443,4.6
43509.562490,4.8
43509.562536,4.6
43509.562582,4.6
43509.562628,4.6
43509.562675,4.6
43509.562721,4.6
43509.562767,4.6
43509.562814,6.1
43509.562860,4.7
43509.562906,4.6
43509.562953,4.6
43509.562999,4.7
43509.563045,4.6
43509.563091,4.9
43509.563138,5.8
43509.563184,4.9
43509.563230,4.6
43509.563277,4.9
43509.563323,4.6
43509.563369,4.6
43509.563415,4.6
43509.563462,4.8
43509.563508,4.6
43509.563554,4.6
43509.563601,4.8
43509.563647,4.6
43509.563693,4.7
43509.563740,5.0
43509.563786,4.7
43509.563832,4.9
43509.563878,4.8
43509.563925,5.6
43509.563971,5.2
43509.564017,4.5
43509.564064,4.9
43509.564110,4.5
43509.564156,5.1
43509.564203,4.2
43509.564249,4.5
43509.564295,4.5
43509.564341,4.5
43509.564388,5.0
43509.564434,4.6
43509.564480,4.7
43509.564527,4.5
43509.564573,4.5
43509.564619,4.6
43509.564666,4.8
43509.564712,5.0
43509.564758,4.5
43509.564804,5.6
43509.564851,4.4
43509.564897,4.5
43509.564943,4.7
43509.564990,4.9
43509.565036,4.4
43509.565082,4.9
43509.565129,4.6
43509.565175,4.4
43509.565221,4.4
43509.565267,4.4
43509.565314,4.9
43509.565360,5.1
43509.565406,4.4
43509.565453,4.4
43509.565499,4.4
43509.565545,4.4
43509.565591,4.4
43509.565638,4.9
43509.565684,5.1
43509.565730,4.3
43509.565777,4.4
43509.565823,4.3
43509.565869,4.4
43509.565916,4.9
43509.565962,4.4
43509.566008,4.4
43509.566054,4.2
43509.566101,4.4
43509.566147,4.3
43509.566193,4.4
43509.566240,4.7
43509.566286,4.7
43509.566332,4.4
43509.566379,4.3
43509.566425,4.6
43509.566471,4.3
43509.566517,4.4
43509.566564,4.8
43509.566610,4.6
43509.566656,4.5
43509.566703,4.5
43509.566749,4.4
43509.566795,4.4
43509.566842,4.8
43509.566888,5.2
43509.566934,4.4
43509.566980,4.7
43509.567027,5.2
43509.567073,4.4
43509.567119,4.4
43509.567166,4.9
43509.567212,5.5
43509.567258,4.4
43509.567304,4.3
43509.567351,4.4
43509.567397,4.4
43509.567443,4.4
43509.567490,4.8
43509.567536,4.4
43509.567582,4.4
43509.567629,4.6
43509.567675,4.3
43509.567721,4.4
43509.567767,4.3
43509.567814,4.8
43509.567860,4.4
43509.567906,4.3
43509.567953,4.5
43509.567999,4.3
43509.568045,4.3
43509.568092,4.7
43509.568138,4.3
43509.568184,4.5
43509.568230,4.3
43509.568277,4.4
43509.568323,4.3
43509.568369,4.3
43509.568416,4.8
43509.568462,4.3
43509.568508,4.4
43509.568554,4.3
43509.568601,4.4
43509.568647,4.4
43509.568693,4.3
43509.568740,5.4
43509.568786,4.3
43509.568832,4.4
43509.568879,4.3
43509.568925,5.0
43509.568971,4.6
43509.569017,4.3
43509.569064,4.9
43509.569110,4.4
43509.569156,4.4
43509.569203,4.3
43509.569249,4.3
43509.569295,4.4
43509.569342,4.6
43509.569388,4.4
43509.569434,4.3
43509.569480,4.3
43509.569527,4.3
43509.569573,4.3
43509.569619,4.4
43509.569666,4.9
43509.569712,4.4
43509.569758,4.3
43509.569804,4.4
43509.569851,4.4
43509.569897,4.3
43509.569943,4.4
43509.569990,4.8
43509.570036,4.6
43509.570082,4.3
43509.570129,4.3
43509.570175,4.4
43509.570221,4.4
43509.570268,4.6
43509.570314,4.3
43509.570360,4.4
43509.570406,4.3
43509.570453,4.5
43509.570499,4.2
43509.570545,4.3
43509.570592,4.8
43509.570638,4.3
43509.570684,4.4
43509.570730,4.3
43509.570777,4.2
43509.570823,4.3
43509.570869,4.3
43509.570916,5.0
43509.570962,4.3
43509.571008,4.5
43509.571055,4.6
43509.571101,4.3
43509.571147,4.4
43509.571193,4.3
43509.571240,4.6
43509.571286,4.3
43509.571332,4.5
43509.571379,4.7
43509.571425,4.2
43509.571471,4.3
43509.571517,4.7
43509.571564,4.3
43509.571610,4.4
43509.571656,4.4
43509.571703,4.6
43509.571749,4.3
43509.571795,4.4
43509.571842,4.7
43509.571888,4.4
43509.571934,4.3
43509.571980,4.3
43509.572027,4.1
43509.572073,4.4
43509.572119,4.3
43509.572166,4.9
43509.572212,4.4
43509.572258,4.3
43509.572305,4.4
43509.572351,4.4
43509.572397,4.6
43509.572443,4.3
43509.572490,4.6
43509.572536,4.4
43509.572582,4.4
43509.572629,4.4
43509.572675,23.5
43509.572721,3.9
43509.572768,3.9
43509.572814,4.0
43509.572860,4.3
43509.572906,3.8
43509.572953,3.9
43509.572999,3.9
43509.573045,3.9
43509.573092,3.9
43509.573138,3.9
43509.573184,3.9
43509.573230,3.9
43509.573277,3.8
43509.573323,4.0
43509.573369,4.3
43509.573416,4.1
43509.573462,3.8
43509.573508,3.9
43509.573555,3.9
43509.573601,3.8
43509.573647,3.9
43509.573693,3.9
43509.573740,3.9
43509.573786,4.0
43509.573832,4.3
43509.573879,3.9
43509.573925,3.9
43509.573971,3.9
43509.574018,3.9
