Time,Used,Committed,Max,Threshold
43508.704569,110100480,218103808,-1,-1
43508.704615,114294784,218103808,-1,-1
43508.704661,115343360,218103808,-1,-1
43508.704707,116391936,218103808,-1,-1
43508.704754,117440512,218103808,-1,-1
43508.704800,118489088,218103808,-1,-1
43508.704846,119537664,218103808,-1,-1
43508.704893,120586240,218103808,-1,-1
43508.704939,191889408,218103808,-1,-1
43508.704985,15728640,221249536,-1,-1
43508.705031,38797312,221249536,-1,-1
43508.705078,70254592,221249536,-1,-1
43508.705124,108003328,221249536,-1,-1
43508.705170,142606336,221249536,-1,-1
43508.705217,176160768,221249536,-1,-1
43508.705263,4194304,239075328,-1,-1
43508.705309,39845888,239075328,-1,-1
43508.705356,73400320,239075328,-1,-1
43508.705402,106954752,239075328,-1,-1
43508.705448,140509184,239075328,-1,-1
43508.705494,174063616,239075328,-1,-1
43508.705541,206569472,239075328,-1,-1
43508.705587,15728640,239075328,-1,-1
43508.705633,49283072,239075328,-1,-1
43508.705680,82837504,239075328,-1,-1
43508.705726,116391936,239075328,-1,-1
43508.705772,148897792,239075328,-1,-1
43508.705819,182452224,239075328,-1,-1
43508.705865,214958080,239075328,-1,-1
43508.705911,24117248,239075328,-1,-1
43508.705957,57671680,239075328,-1,-1
43508.706004,91226112,239075328,-1,-1
43508.706050,123731968,239075328,-1,-1
43508.706096,157286400,239075328,-1,-1
43508.706143,189792256,239075328,-1,-1
43508.706189,222298112,239075328,-1,-1
43508.706235,31457280,239075328,-1,-1
43508.706282,63963136,239075328,-1,-1
43508.706328,96468992,239075328,-1,-1
43508.706374,130023424,239075328,-1,-1
43508.706420,162529280,239075328,-1,-1
43508.706467,196083712,239075328,-1,-1
43508.706513,4194304,238026752,-1,-1
43508.706559,36700160,238026752,-1,-1
43508.706606,69206016,238026752,-1,-1
43508.706652,101711872,238026752,-1,-1
43508.706698,135266304,238026752,-1,-1
43508.706744,167772160,238026752,-1,-1
43508.706791,201326592,238026752,-1,-1
43508.706837,9437184,238026752,-1,-1
43508.706883,41943040,238026752,-1,-1
43508.706930,75497472,238026752,-1,-1
43508.706976,109051904,238026752,-1,-1
43508.707022,140509184,238026752,-1,-1
43508.707069,174063616,238026752,-1,-1
43508.707115,206569472,238026752,-1,-1
43508.707161,14680064,236978176,-1,-1
43508.707207,47185920,236978176,-1,-1
43508.707254,81788928,236978176,-1,-1
43508.707300,113246208,236978176,-1,-1
43508.707346,146800640,236978176,-1,-1
43508.707393,180355072,236978176,-1,-1
43508.707439,213909504,236978176,-1,-1
43508.707485,22020096,236978176,-1,-1
43508.707532,55574528,236978176,-1,-1
43508.707578,89128960,236978176,-1,-1
43508.707624,122683392,236978176,-1,-1
43508.707670,155189248,236978176,-1,-1
43508.707717,186646528,236978176,-1,-1
43508.707763,220200960,236978176,-1,-1
43508.707809,30408704,235929600,-1,-1
43508.707856,61865984,235929600,-1,-1
43508.707902,95420416,235929600,-1,-1
43508.707948,127926272,235929600,-1,-1
43508.707995,161480704,235929600,-1,-1
43508.708041,195035136,235929600,-1,-1
43508.708087,4194304,235929600,-1,-1
43508.708133,37748736,235929600,-1,-1
43508.708180,70254592,235929600,-1,-1
43508.708226,102760448,235929600,-1,-1
43508.708272,136314880,235929600,-1,-1
43508.708319,168820736,235929600,-1,-1
