Time,Used,Committed,Max,Threshold
43508.704569,23068672,23068672,-1,-1
43508.704615,23068672,23068672,-1,-1
43508.704661,23068672,23068672,-1,-1
43508.704707,23068672,23068672,-1,-1
43508.704754,23068672,23068672,-1,-1
43508.704800,23068672,23068672,-1,-1
43508.704846,23068672,23068672,-1,-1
43508.704893,23068672,23068672,-1,-1
43508.704939,23068672,23068672,-1,-1
43508.704985,19922944,19922944,-1,-1
43508.705031,19922944,19922944,-1,-1
43508.705078,19922944,19922944,-1,-1
43508.705124,19922944,19922944,-1,-1
43508.705170,19922944,19922944,-1,-1
43508.705217,19922944,19922944,-1,-1
43508.705263,2097152,2097152,-1,-1
43508.705309,2097152,2097152,-1,-1
43508.705356,2097152,2097152,-1,-1
43508.705402,2097152,2097152,-1,-1
43508.705448,2097152,2097152,-1,-1
43508.705494,2097152,2097152,-1,-1
43508.705541,2097152,2097152,-1,-1
43508.705587,2097152,2097152,-1,-1
43508.705633,2097152,2097152,-1,-1
43508.705680,2097152,2097152,-1,-1
43508.705726,2097152,2097152,-1,-1
43508.705772,2097152,2097152,-1,-1
43508.705819,2097152,2097152,-1,-1
43508.705865,2097152,2097152,-1,-1
43508.705911,2097152,2097152,-1,-1
43508.705957,2097152,2097152,-1,-1
43508.706004,2097152,2097152,-1,-1
43508.706050,2097152,2097152,-1,-1
43508.706096,2097152,2097152,-1,-1
43508.706143,2097152,2097152,-1,-1
43508.706189,2097152,2097152,-1,-1
43508.706235,2097152,2097152,-1,-1
43508.706282,2097152,2097152,-1,-1
43508.706328,2097152,2097152,-1,-1
43508.706374,2097152,2097152,-1,-1
43508.706420,2097152,2097152,-1,-1
43508.706467,2097152,2097152,-1,-1
43508.706513,3145728,3145728,-1,-1
43508.706559,3145728,3145728,-1,-1
43508.706606,3145728,3145728,-1,-1
43508.706652,3145728,3145728,-1,-1
43508.706698,3145728,3145728,-1,-1
43508.706744,3145728,3145728,-1,-1
43508.706791,3145728,3145728,-1,-1
43508.706837,3145728,3145728,-1,-1
43508.706883,3145728,3145728,-1,-1
43508.706930,3145728,3145728,-1,-1
43508.706976,3145728,3145728,-1,-1
43508.707022,3145728,3145728,-1,-1
43508.707069,3145728,3145728,-1,-1
43508.707115,3145728,3145728,-1,-1
43508.707161,4194304,4194304,-1,-1
43508.707207,4194304,4194304,-1,-1
43508.707254,4194304,4194304,-1,-1
43508.707300,4194304,4194304,-1,-1
43508.707346,4194304,4194304,-1,-1
43508.707393,4194304,4194304,-1,-1
43508.707439,4194304,4194304,-1,-1
43508.707485,4194304,4194304,-1,-1
43508.707532,4194304,4194304,-1,-1
43508.707578,4194304,4194304,-1,-1
43508.707624,4194304,4194304,-1,-1
43508.707670,4194304,4194304,-1,-1
43508.707717,4194304,4194304,-1,-1
43508.707763,4194304,4194304,-1,-1
43508.707809,5242880,5242880,-1,-1
43508.707856,5242880,5242880,-1,-1
43508.707902,5242880,5242880,-1,-1
43508.707948,5242880,5242880,-1,-1
43508.707995,5242880,5242880,-1,-1
43508.708041,5242880,5242880,-1,-1
43508.708087,5242880,5242880,-1,-1
43508.708133,5242880,5242880,-1,-1
43508.708180,5242880,5242880,-1,-1
43508.708226,5242880,5242880,-1,-1
43508.708272,5242880,5242880,-1,-1
43508.708319,5242880,5242880,-1,-1
43508.708365,5242880,5242880,-1,-1
43508.708411,5242880,5242880,-1,-1
43508.708457,5242880,5242880,-1,-1
43508.708504,5242880,5242880,-1,-1
43508.708550,5242880,5242880,-1,-1
43508.708596,5242880,5242880,-1,-1
43508.708643,5242880,5242880,-1,-1
43508.708689,5242880,5242880,-1,-1
43508.708735,6291456,6291456,-1,-1
43508.708782,6291456,6291456,-1,-1
43508.708828,6291456,6291456,-1,-1
43508.708874,6291456,6291456,-1,-1
43508.708920,6291456,6291456,-1,-1
43508.708967,6291456,6291456,-1,-1
43508.709013,6291456,6291456,-1,-1
43508.709059,6291456,6291456,-1,-1
43508.709106,6291456,6291456,-1,-1
43508.709152,6291456,6291456,-1,-1
43508.709198,6291456,6291456,-1,-1
43508.709245,6291456,6291456,-1,-1
43508.709291,6291456,6291456,-1,-1
43508.709337,6291456,6291456,-1,-1
43508.709383,6291456,6291456,-1,-1
43508.709430,6291456,6291456,-1,-1
43508.709476,6291456,6291456,-1,-1
43508.709522,6291456,6291456,-1,-1
43508.709569,6291456,6291456,-1,-1
43508.709615,6291456,6291456,-1,-1
43508.709661,7340032,7340032,-1,-1
43508.709708,7340032,7340032,-1,-1
43508.709754,7340032,7340032,-1,-1
43508.709800,7340032,7340032,-1,-1
43508.709846,7340032,7340032,-1,-1
43508.709893,7340032,7340032,-1,-1
43508.709939,7340032,7340032,-1,-1
43508.709985,7340032,7340032,-1,-1
43508.710032,7340032,7340032,-1,-1
43508.710078,7340032,7340032,-1,-1
43508.710124,7340032,7340032,-1,-1
43508.710170,7340032,7340032,-1,-1
43508.710217,7340032,7340032,-1,-1
43508.710263,7340032,7340032,-1,-1
43508.710309,7340032,7340032,-1,-1
43508.710356,7340032,7340032,-1,-1
43508.710402,7340032,7340032,-1,-1
43508.710448,7340032,7340032,-1,-1
43508.710495,7340032,7340032,-1,-1
43508.710541,7340032,7340032,-1,-1
43508.710587,7340032,7340032,-1,-1
43508.710633,7340032,7340032,-1,-1
43508.710680,7340032,7340032,-1,-1
43508.710726,7340032,7340032,-1,-1
43508.710772,7340032,7340032,-1,-1
43508.710819,7340032,7340032,-1,-1
43508.710865,7340032,7340032,-1,-1
43508.710911,7340032,7340032,-1,-1
43508.710958,7340032,7340032,-1,-1
43508.711004,7340032,7340032,-1,-1
43508.711050,7340032,7340032,-1,-1
43508.711096,7340032,7340032,-1,-1
43508.711143,7340032,7340032,-1,-1
43508.711189,7340032,7340032,-1,-1
43508.711235,7340032,7340032,-1,-1
43508.711282,7340032,7340032,-1,-1
43508.711328,7340032,7340032,-1,-1
43508.711374,7340032,7340032,-1,-1
43508.711420,7340032,7340032,-1,-1
43508.711467,7340032,7340032,-1,-1
43508.711513,7340032,7340032,-1,-1
43508.711559,7340032,7340032,-1,-1
43508.711606,7340032,7340032,-1,-1
43508.711652,7340032,7340032,-1,-1
43508.711698,7340032,7340032,-1,-1
43508.711745,7340032,7340032,-1,-1
43508.711791,7340032,7340032,-1,-1
43508.711837,7340032,7340032,-1,-1
43508.711883,7340032,7340032,-1,-1
43508.711930,7340032,7340032,-1,-1
43508.711976,7340032,7340032,-1,-1
43508.712022,7340032,7340032,-1,-1
43508.712069,7340032,7340032,-1,-1
43508.712115,7340032,7340032,-1,-1
43508.712161,7340032,7340032,-1,-1
43508.712208,7340032,7340032,-1,-1
43508.712254,7340032,7340032,-1,-1
43508.712300,7340032,7340032,-1,-1
43508.712346,7340032,7340032,-1,-1
43508.712393,7340032,7340032,-1,-1
43508.712439,7340032,7340032,-1,-1
