Time,Used
43508.704569,144674952
43508.704615,149917832
43508.704661,150966408
43508.704707,152014984
43508.704754,153063560
43508.704800,154112136
43508.704846,155160712
43508.704893,156209288
43508.704939,226463880
43508.704985,56030720
43508.705031,79099392
43508.705078,110556672
43508.705124,148305408
43508.705170,182908416
43508.705217,215414272
43508.705263,34497024
43508.705309,70148608
43508.705356,103703040
43508.705402,137257472
43508.705448,170811904
43508.705494,203317760
43508.705541,236872192
43508.705587,45983296
43508.705633,79537728
43508.705680,113092160
43508.705726,145598016
43508.705772,179152448
43508.705819,212706880
43508.705865,245212736
43508.705911,54001200
43508.705957,87555632
43508.706004,121110064
43508.706050,153615920
43508.706096,187170352
43508.706143,219676208
43508.706189,252182064
43508.706235,61704544
43508.706282,94210400
43508.706328,126716256
43508.706374,160270688
43508.706420,192776544
43508.706467,226330976
43508.706513,34958944
43508.706559,67464800
43508.706606,99970656
43508.706652,132476512
43508.706698,166030944
43508.706744,198536800
43508.706791,232091232
43508.706837,40630272
43508.706883,73136128
43508.706930,105641984
43508.706976,140244992
43508.707022,171702272
43508.707069,205256704
43508.707115,237762560
43508.707161,46428104
43508.707207,78933960
43508.707254,113536968
43508.707300,144994248
43508.707346,178548680
43508.707393,212103112
43508.707439,245657544
43508.707485,54142632
43508.707532,87697064
43508.707578,121251496
43508.707624,153757352
43508.707670,187311784
43508.707717,218769064
43508.707763,252323496
43508.707809,62980464
43508.707856,94437744
43508.707902,127992176
43508.707948,160498032
43508.707995,194052464
43508.708041,227606896
43508.708087,37175576
43508.708133,70730008
43508.708180,103235864
43508.708226,135741720
43508.708272,169296152
43508.708319,201802008
43508.708365,234307864
43508.708411,44781440
43508.708457,78335872
43508.708504,110841728
43508.708550,144396160
43508.708596,176902016
43508.708643,209407872
43508.708689,242962304
43508.708735,52556536
43508.708782,86110968
43508.708828,118616824
43508.708874,152171256
43508.708920,184677112
43508.708967,218231544
43508.709013,251785976
43508.709059,63825760
43508.709106,96331616
43508.709152,128837472
43508.709198,161343328
43508.709245,193849184
43508.709291,227403616
43508.709337,39739904
43508.709383,71197184
43508.709430,105800192
43508.709476,138306048
43508.709522,170811904
43508.709569,204366336
43508.709615,235823616
43508.709661,49010872
43508.709708,82565304
43508.709754,115071160
43508.709800,148625592
43508.709846,181131448
43508.709893,213637304
43508.709939,247191736
43508.709985,60588040
43508.710032,94142472
43508.710078,127696904
43508.710124,160202760
43508.710170,192708616
43508.710217,226263048
43508.710263,39320880
43508.710309,71826736
43508.710356,104332592
43508.710402,136838448
43508.710448,169344304
43508.710495,201850160
43508.710541,235404592
43508.710587,47867368
43508.710633,80373224
43508.710680,112879080
43508.710726,144336360
43508.710772,177890792
43508.710819,211445224
43508.710865,242902504
43508.710911,57016864
43508.710958,89522720
43508.711004,120980000
43508.711050,154534432
43508.711096,187040288
43508.711143,219546144
43508.711189,252052000
43508.711235,64499168
43508.711282,97005024
43508.711328,128462304
43508.711374,162016736
43508.711420,194522592
43508.711467,227028448
43508.711513,41137408
43508.711559,73643264
43508.711606,105100544
43508.711652,138654976
43508.711698,171160832
43508.711745,203666688
43508.711791,236172544
43508.711837,49985104
43508.711883,82490960
43508.711930,113948240
43508.711976,147502672
43508.712022,180008528
43508.712069,211465808
43508.712115,245020240
43508.712161,57456536
43508.712208,89962392
43508.712254,122468248
43508.712300,154974104
43508.712346,187479960
43508.712393,221034392
43508.712439,253540248
43508.712485,65215744
43508.712532,97721600
43508.712578,130227456
43508.712624,162733312
43508.712671,196287744
43508.712717,228793600
43508.712763,260250880
43508.712809,74029896
43508.712856,105487176
43508.712902,137993032
43508.712948,171547464
43508.712995,204053320
43508.713041,236559176
43508.713087,49594352
43508.713134,82100208
43508.713180,115654640
43508.713226,147111920
43508.713272,179617776
43508.713319,213172208
43508.713365,245678064
43508.713411,57382800
43508.713458,90937232
43508.713504,123443088
43508.713550,155948944
43508.713596,188454800
43508.713643,220960656
43508.713689,253466512
43508.713735,67260768
43508.713782,98718048
43508.713828,131223904
43508.713874,163729760
43508.713921,197284192
43508.713967,229790048
43508.714013,262295904
43508.714059,75018288
43508.714106,107524144
43508.714152,141078576
43508.714198,173584432
43508.714245,205041712
43508.714291,238596144
43508.714337,51309744
43508.714384,83815600
43508.714430,117370032
43508.714476,149875888
43508.714522,182381744
43508.714569,214887600
43508.714615,246344880
43508.714661,60180352
43508.714708,92686208
43508.714754,125192064
43508.714800,158746496
43508.714847,190203776
43508.714893,222709632
43508.714939,256264064
43508.714985,67983088
43508.715032,100488944
43508.715078,134043376
43508.715124,166549232
43508.715171,199055088
43508.715217,231560944
43508.715263,264066800
43508.715309,75460720
43508.715356,109015152
43508.715402,141521008
43508.715448,174026864
43508.715495,206532720
43508.715541,240087152
43508.715587,50738992
43508.715634,84293424
