Time,Used,Committed,Max,Threshold
43508.704569,72870360,79896576,-1,0
43508.704615,73125080,80158720,-1,0
43508.704661,73227376,80420864,-1,0
43508.704707,73333088,80420864,-1,0
43508.704754,73440888,80420864,-1,0
43508.704800,73782536,80945152,-1,0
43508.704846,73909752,80945152,-1,0
43508.704893,74019080,81207296,-1,0
43508.704939,82875080,91037696,-1,0
43508.704985,83260440,91430912,-1,0
43508.705031,83281232,91430912,-1,0
43508.705078,83406448,91693056,-1,0
43508.705124,83699536,91955200,-1,0
43508.705170,83733120,91955200,-1,0
43508.705217,83798256,91955200,-1,0
43508.705263,83835880,91955200,-1,0
43508.705309,83855568,91955200,-1,0
43508.705356,83863808,91955200,-1,0
43508.705402,83892888,91955200,-1,0
43508.705448,83902384,91955200,-1,0
43508.705494,83906272,91955200,-1,0
43508.705541,83911872,91955200,-1,0
43508.705587,83936496,92217344,-1,0
43508.705633,83937960,92217344,-1,0
43508.705680,83955968,92217344,-1,0
43508.705726,83967624,92217344,-1,0
43508.705772,83984448,92217344,-1,0
43508.705819,83996176,92217344,-1,0
43508.705865,83998904,92217344,-1,0
43508.705911,84007520,92217344,-1,0
43508.705957,84044544,92217344,-1,0
43508.706004,84054848,92217344,-1,0
43508.706050,84060352,92217344,-1,0
43508.706096,84062328,92217344,-1,0
43508.706143,84063704,92217344,-1,0
43508.706189,84063704,92217344,-1,0
43508.706235,84064136,92217344,-1,0
43508.706282,84072192,92217344,-1,0
43508.706328,84072976,92217344,-1,0
43508.706374,84072976,92217344,-1,0
43508.706420,84075400,92217344,-1,0
43508.706467,84075400,92217344,-1,0
43508.706513,84079736,92217344,-1,0
43508.706559,84085784,92217344,-1,0
43508.706606,84086704,92217344,-1,0
43508.706652,84089520,92217344,-1,0
43508.706698,84109704,92479488,-1,0
43508.706744,84109704,92479488,-1,0
43508.706791,84114344,92479488,-1,0
43508.706837,84116944,92479488,-1,0
43508.706883,84117432,92479488,-1,0
43508.706930,84132784,92479488,-1,0
43508.706976,84134328,92479488,-1,0
