Time,Used,Committed,Max
43508.704569,96367808,105201664,-1
43508.704615,97584896,106512384,-1
43508.704661,98162512,107233280,-1
43508.704707,98502576,107495424,-1
43508.704754,98981040,107823104,-1
43508.704800,99862016,108806144,-1
43508.704846,100413464,109264896,-1
43508.704893,100929288,109985792,-1
43508.704939,114689384,125386752,-1
43508.704985,116707384,126894080,-1
43508.705031,117305880,127483904,-1
43508.705078,118410968,128663552,-1
43508.705124,119962736,130170880,-1
43508.705170,120483016,130629632,-1
43508.705217,119730616,130957312,-1
43508.705263,120507480,131350528,-1
43508.705309,120958288,131743744,-1
43508.705356,121207056,131940352,-1
43508.705402,121742488,132333568,-1
43508.705448,121911856,132464640,-1
43508.705494,121999328,132530176,-1
43508.705541,122137408,132661248,-1
43508.705587,122381680,132988928,-1
43508.705633,122416424,133054464,-1
43508.705680,122514944,133120000,-1
43508.705726,122661016,133251072,-1
43508.705772,122812072,133251072,-1
43508.705819,122879016,133316608,-1
43508.705865,122934480,133382144,-1
43508.705911,123079672,133447680,-1
43508.705957,123251096,133578752,-1
43508.706004,123461952,133709824,-1
43508.706050,123501632,133775360,-1
43508.706096,123549432,133775360,-1
43508.706143,123564632,133775360,-1
43508.706189,123628632,133840896,-1
43508.706235,123665416,133840896,-1
43508.706282,123715840,133906432,-1
43508.706328,123770256,133906432,-1
43508.706374,123820816,134037504,-1
43508.706420,123796104,134037504,-1
43508.706467,123820168,134037504,-1
43508.706513,123848184,134037504,-1
43508.706559,123886744,134037504,-1
43508.706606,123892144,134037504,-1
43508.706652,123949232,134103040,-1
43508.706698,124036024,134430720,-1
43508.706744,124050312,134430720,-1
43508.706791,124071848,134430720,-1
43508.706837,124110416,134430720,-1
43508.706883,124115256,134430720,-1
43508.706930,124161024,134496256,-1
43508.706976,124172552,134496256,-1
43508.707022,124208624,134561792,-1
43508.707069,124222080,134561792,-1
43508.707115,124240136,134561792,-1
43508.707161,124258688,134561792,-1
43508.707207,124277320,134627328,-1
43508.707254,124311400,134627328,-1
43508.707300,124327440,134627328,-1
43508.707346,124429272,134692864,-1
43508.707393,124454216,134692864,-1
43508.707439,124575448,134823936,-1
43508.707485,124608800,134889472,-1
43508.707532,124690384,134955008,-1
43508.707578,124692560,134955008,-1
43508.707624,124754416,135020544,-1
43508.707670,124780496,135020544,-1
43508.707717,124782160,135020544,-1
43508.707763,124805840,135020544,-1
43508.707809,124839568,135086080,-1
43508.707856,124882704,135086080,-1
43508.707902,124887440,135151616,-1
43508.707948,124888080,135151616,-1
43508.707995,124889104,135151616,-1
43508.708041,124893288,135151616,-1
43508.708087,124913640,135151616,-1
43508.708133,124928024,135151616,-1
43508.708180,124979448,135217152,-1
43508.708226,124981368,135217152,-1
43508.708272,124988976,135217152,-1
43508.708319,124988976,135217152,-1
43508.708365,124994864,135217152,-1
43508.708411,125015344,135217152,-1
43508.708457,125017904,135217152,-1
43508.708504,125019184,135217152,-1
43508.708550,125097360,135282688,-1
43508.708596,125110504,135282688,-1
43508.708643,125179168,135413760,-1
43508.708689,125208856,135479296,-1
43508.708735,125230280,135479296,-1
43508.708782,125258328,135479296,-1
43508.708828,125261000,135479296,-1
43508.708874,125262816,135479296,-1
