Time,CPU Usage
43508.704615,9.3
43508.704661,3.1
43508.704708,1.9
43508.704754,2.2
43508.704800,2.4
43508.704846,4.8
43508.704893,2.4
43508.704939,23.3
43508.704985,20.4
43508.705032,11.3
43508.705078,13.9
43508.705124,18.1
43508.705170,11.8
43508.705217,12.9
43508.705263,23.7
43508.705309,23.0
43508.705356,9.5
43508.705402,18.7
43508.705448,6.6
43508.705495,6.1
43508.705541,7.3
43508.705587,6.9
43508.705633,4.9
43508.705680,5.1
43508.705726,6.7
43508.705772,5.3
43508.705819,5.3
43508.705865,5.2
43508.705911,7.6
43508.705958,4.9
43508.706004,7.8
43508.706050,4.7
43508.706096,4.6
43508.706143,4.6
43508.706189,5.1
43508.706235,5.4
43508.706282,4.6
43508.706328,4.6
43508.706374,4.7
43508.706420,4.7
43508.706467,4.9
43508.706513,4.9
43508.706559,4.9
43508.706606,4.6
43508.706652,4.7
43508.706698,4.7
43508.706745,4.8
43508.706791,4.6
43508.706837,5.1
43508.706883,4.6
43508.706930,4.6
43508.706976,4.6
43508.707022,4.7
43508.707069,4.4
43508.707115,4.4
43508.707161,4.7
43508.707208,4.6
43508.707254,4.6
43508.707300,4.6
43508.707346,7.0
43508.707393,4.3
43508.707439,4.6
43508.707485,4.6
43508.707532,5.6
43508.707578,4.4
43508.707624,4.7
43508.707671,4.4
43508.707717,4.5
43508.707763,4.6
43508.707809,4.9
43508.707856,4.9
43508.707902,4.6
43508.707948,4.4
43508.707995,4.1
43508.708041,4.3
43508.708087,4.9
43508.708134,4.6
43508.708180,4.6
43508.708226,4.4
43508.708272,4.4
43508.708319,4.5
43508.708365,4.5
43508.708411,5.1
43508.708458,4.4
43508.708504,4.3
43508.708550,6.9
43508.708596,4.4
43508.708643,4.8
43508.708689,4.4
43508.708735,4.8
43508.708782,4.5
43508.708828,4.4
43508.708874,4.5
43508.708921,4.6
43508.708967,4.4
43508.709013,4.4
43508.709059,4.8
43508.709106,4.7
43508.709152,4.3
43508.709198,4.4
43508.709245,4.4
43508.709291,4.4
43508.709337,4.9
43508.709384,5.2
43508.709430,4.4
43508.709476,4.4
43508.709522,4.4
43508.709569,4.7
43508.709615,4.4
43508.709661,5.1
43508.709708,4.6
43508.709754,4.8
43508.709800,4.5
43508.709846,5.8
43508.709893,4.9
43508.709939,4.6
43508.709985,4.9
43508.710032,5.1
43508.710078,4.4
43508.710124,5.1
43508.710171,4.4
43508.710217,5.0
43508.710263,4.7
43508.710309,4.6
43508.710356,4.3
43508.710402,4.2
43508.710448,4.4
43508.710495,4.8
43508.710541,4.1
43508.710587,4.8
43508.710634,4.2
43508.710680,4.2
43508.710726,4.3
43508.710772,4.6
43508.710819,4.5
43508.710865,4.3
43508.710911,4.7
43508.710958,4.3
43508.711004,4.2
43508.711050,4.3
43508.711096,4.3
43508.711143,5.1
43508.711189,4.2
43508.711235,5.3
43508.711282,4.4
43508.711328,5.1
43508.711374,4.9
43508.711421,4.2
43508.711467,4.6
43508.711513,4.3
43508.711559,3.9
43508.711606,4.3
43508.711652,4.3
43508.711698,4.2
43508.711745,4.3
43508.711791,4.3
43508.711837,4.7
43508.711884,4.2
43508.711930,4.5
43508.711976,4.2
43508.712022,4.3
43508.712069,4.3
43508.712115,4.6
43508.712161,4.7
43508.712208,4.3
43508.712254,4.2
43508.712300,4.3
43508.712347,4.2
43508.712393,4.3
43508.712439,4.2
43508.712485,4.7
43508.712532,4.3
43508.712578,4.3
