Time,Used,Committed,Max,Threshold
43508.721634,25165824,25165824,-1,-1
43508.721680,25165824,25165824,-1,-1
43508.721726,25165824,25165824,-1,-1
43508.721772,25165824,25165824,-1,-1
43508.721819,25165824,25165824,-1,-1
43508.721865,25165824,25165824,-1,-1
43508.721911,25165824,25165824,-1,-1
43508.721957,20971520,20971520,-1,-1
43508.722004,20971520,20971520,-1,-1
43508.722050,20971520,20971520,-1,-1
43508.722096,20971520,20971520,-1,-1
43508.722143,20971520,20971520,-1,-1
43508.722189,20971520,20971520,-1,-1
43508.722235,20971520,20971520,-1,-1
43508.722282,20971520,20971520,-1,-1
43508.722328,2097152,2097152,-1,-1
43508.722374,2097152,2097152,-1,-1
43508.722420,2097152,2097152,-1,-1
43508.722467,2097152,2097152,-1,-1
43508.722513,2097152,2097152,-1,-1
43508.722559,2097152,2097152,-1,-1
43508.722606,2097152,2097152,-1,-1
43508.722652,1048576,1048576,-1,-1
43508.722698,1048576,1048576,-1,-1
43508.722745,1048576,1048576,-1,-1
43508.722791,1048576,1048576,-1,-1
43508.722837,1048576,1048576,-1,-1
43508.722883,1048576,1048576,-1,-1
43508.722930,1048576,1048576,-1,-1
43508.722976,2097152,2097152,-1,-1
43508.723022,2097152,2097152,-1,-1
43508.723069,2097152,2097152,-1,-1
43508.723115,2097152,2097152,-1,-1
43508.723161,2097152,2097152,-1,-1
43508.723208,2097152,2097152,-1,-1
43508.723254,2097152,2097152,-1,-1
43508.723300,2097152,2097152,-1,-1
43508.723346,2097152,2097152,-1,-1
43508.723393,2097152,2097152,-1,-1
43508.723439,2097152,2097152,-1,-1
43508.723485,2097152,2097152,-1,-1
43508.723532,2097152,2097152,-1,-1
43508.723578,3145728,3145728,-1,-1
43508.723624,3145728,3145728,-1,-1
43508.723670,3145728,3145728,-1,-1
43508.723717,3145728,3145728,-1,-1
43508.723763,3145728,3145728,-1,-1
43508.723809,3145728,3145728,-1,-1
43508.723856,3145728,3145728,-1,-1
43508.723902,3145728,3145728,-1,-1
43508.723948,3145728,3145728,-1,-1
43508.723995,3145728,3145728,-1,-1
43508.724041,3145728,3145728,-1,-1
43508.724087,3145728,3145728,-1,-1
43508.724133,3145728,3145728,-1,-1
43508.724180,3145728,3145728,-1,-1
43508.724226,3145728,3145728,-1,-1
43508.724272,3145728,3145728,-1,-1
43508.724319,3145728,3145728,-1,-1
43508.724365,3145728,3145728,-1,-1
43508.724411,3145728,3145728,-1,-1
43508.724458,3145728,3145728,-1,-1
43508.724504,3145728,3145728,-1,-1
43508.724550,4194304,4194304,-1,-1
43508.724596,4194304,4194304,-1,-1
43508.724643,4194304,4194304,-1,-1
43508.724689,4194304,4194304,-1,-1
43508.724735,4194304,4194304,-1,-1
43508.724782,4194304,4194304,-1,-1
43508.724828,4194304,4194304,-1,-1
43508.724874,4194304,4194304,-1,-1
43508.724921,4194304,4194304,-1,-1
43508.724967,4194304,4194304,-1,-1
