Time,Used,Committed,Max,Threshold
43508.721634,73286664,80474112,-1,0
43508.721680,73548432,80736256,-1,0
43508.721726,73877960,81260544,-1,0
43508.721772,74041464,81260544,-1,0
43508.721819,74184232,81522688,-1,0
43508.721865,74213952,81522688,-1,0
43508.721911,79308240,87552000,-1,0
43508.721957,83396704,91746304,-1,0
43508.722004,83523248,91746304,-1,0
43508.722050,83584056,92008448,-1,0
43508.722096,83611232,92008448,-1,0
43508.722143,83644008,92008448,-1,0
43508.722189,83692616,92008448,-1,0
43508.722235,83722680,92270592,-1,0
43508.722282,83952384,92270592,-1,0
43508.722328,84051200,92532736,-1,0
43508.722374,84058280,92532736,-1,0
43508.722420,84083960,92532736,-1,0
43508.722467,84097912,92532736,-1,0
43508.722513,84110368,92532736,-1,0
43508.722559,84118304,92532736,-1,0
43508.722606,84139080,92532736,-1,0
43508.722652,84158568,92532736,-1,0
43508.722698,84180672,92532736,-1,0
43508.722745,84182688,92532736,-1,0
43508.722791,84202272,92532736,-1,0
43508.722837,84206656,92532736,-1,0
43508.722883,84241408,92532736,-1,0
43508.722930,84242936,92532736,-1,0
43508.722976,84244952,92532736,-1,0
43508.723022,84251032,92532736,-1,0
43508.723069,84251424,92532736,-1,0
43508.723115,84252696,92532736,-1,0
43508.723161,84260512,92532736,-1,0
43508.723208,84269392,92532736,-1,0
43508.723254,84270896,92532736,-1,0
43508.723300,84270896,92532736,-1,0
43508.723346,84271928,92532736,-1,0
43508.723393,84271928,92532736,-1,0
43508.723439,84275624,92532736,-1,0
43508.723485,84282896,92532736,-1,0
43508.723532,84284144,92532736,-1,0
43508.723578,84287072,92532736,-1,0
43508.723624,84329816,92794880,-1,0
43508.723670,84331112,92794880,-1,0
43508.723717,84335992,92794880,-1,0
43508.723763,84335992,92794880,-1,0
43508.723809,84336480,92794880,-1,0
43508.723856,84336480,92794880,-1,0
43508.723902,84336480,92794880,-1,0
43508.723948,84339600,92794880,-1,0
43508.723995,84345160,92794880,-1,0
43508.724041,84356160,92794880,-1,0
43508.724087,84360920,92794880,-1,0
43508.724133,84369600,92794880,-1,0
43508.724180,84373920,92794880,-1,0
43508.724226,84383488,92794880,-1,0
43508.724272,84383488,92794880,-1,0
43508.724319,84390256,92794880,-1,0
43508.724365,84408376,92794880,-1,0
43508.724411,84415216,92794880,-1,0
43508.724458,84416560,92794880,-1,0
43508.724504,84417496,92794880,-1,0
43508.724550,84418800,92794880,-1,0
43508.724596,84418800,92794880,-1,0
43508.724643,84425528,92794880,-1,0
43508.724689,84425528,92794880,-1,0
43508.724735,84432640,92794880,-1,0
43508.724782,84432640,92794880,-1,0
43508.724828,84432640,92794880,-1,0
43508.724874,84432640,92794880,-1,0
43508.724921,84432640,92794880,-1,0
43508.724967,84433048,92794880,-1,0
43508.725013,84433048,92794880,-1,0
43508.725059,84433480,92794880,-1,0
43508.725106,84438040,92794880,-1,0
43508.725152,84438040,92794880,-1,0
43508.725198,84440696,92794880,-1,0
43508.725245,84440696,92794880,-1,0
43508.725291,84440696,92794880,-1,0
43508.725337,84440696,92794880,-1,0
43508.725384,84440696,92794880,-1,0
43508.725430,84440696,92794880,-1,0
43508.725476,84441816,92794880,-1,0
43508.725522,84446000,92794880,-1,0
43508.725569,84454040,92794880,-1,0
43508.725615,84456912,92794880,-1,0
43508.725661,84457776,92794880,-1,0
43508.725708,84463112,92794880,-1,0
43508.725754,84463592,92794880,-1,0
43508.725800,84466072,92794880,-1,0
43508.725846,84474808,92794880,-1,0
43508.725893,84474808,92794880,-1,0
43508.725939,84479184,92794880,-1,0
43508.725985,84479184,92794880,-1,0
43508.726032,84479184,92794880,-1,0
43508.726078,84479184,92794880,-1,0
43508.726124,84479592,92794880,-1,0
43508.726171,84480112,92794880,-1,0
43508.726217,84480112,92794880,-1,0
43508.726263,84480112,92794880,-1,0
43508.726309,84480112,92794880,-1,0
43508.726356,84480112,92794880,-1,0
43508.726402,84481456,92794880,-1,0
43508.726448,84481456,92794880,-1,0
