Time,CPU Usage
43508.721680,7.5
43508.721726,5.6
43508.721772,2.1
43508.721819,2.4
43508.721865,1.7
43508.721911,6.7
43508.721958,25.7
43508.722004,17.1
43508.722050,11.7
43508.722097,9.3
43508.722143,9.6
43508.722189,11.6
43508.722235,9.3
43508.722282,11.5
43508.722328,14.6
43508.722374,30.9
43508.722421,8.9
43508.722467,9.9
43508.722513,5.9
43508.722559,8.6
43508.722606,5.4
43508.722652,6.6
43508.722698,5.3
43508.722745,4.9
43508.722791,5.8
43508.722837,5.7
43508.722884,5.1
43508.722930,5.9
43508.722976,6.1
43508.723022,4.9
43508.723069,5.9
43508.723115,4.9
43508.723161,4.7
43508.723208,5.3
43508.723254,4.6
43508.723300,4.6
43508.723347,4.9
43508.723393,5.3
43508.723439,4.8
43508.723485,5.1
43508.723532,4.7
43508.723578,4.8
43508.723624,4.7
43508.723671,4.6
43508.723717,4.7
43508.723763,4.6
43508.723809,4.6
43508.723856,4.6
43508.723902,4.8
43508.723948,4.6
43508.723995,4.6
43508.724041,4.6
43508.724087,4.6
43508.724134,4.6
43508.724180,4.6
43508.724226,4.8
43508.724272,4.5
43508.724319,6.9
43508.724365,4.6
43508.724411,4.5
43508.724458,4.6
43508.724504,4.6
43508.724550,5.7
43508.724597,4.5
43508.724643,5.1
43508.724689,4.8
43508.724735,4.4
43508.724782,4.6
43508.724828,4.4
43508.724874,4.7
43508.724921,4.5
43508.724967,4.6
43508.725013,4.5
43508.725060,4.5
43508.725106,4.5
43508.725152,4.8
43508.725198,4.6
43508.725245,4.7
43508.725291,4.5
43508.725337,4.4
43508.725384,4.6
43508.725430,5.0
43508.725476,5.4
43508.725523,4.7
43508.725569,4.6
43508.725615,4.4
43508.725661,4.4
43508.725708,4.8
43508.725754,4.6
43508.725800,4.9
43508.725847,4.6
43508.725893,4.6
43508.725939,4.4
43508.725985,4.6
43508.726032,4.9
43508.726078,4.3
43508.726124,4.8
43508.726171,4.5
43508.726217,4.4
43508.726263,4.4
43508.726310,4.9
43508.726356,5.5
43508.726402,4.4
43508.726448,4.6
43508.726495,4.7
43508.726541,4.6
43508.726587,4.5
43508.726634,4.4
43508.726680,4.4
43508.726726,4.9
43508.726773,4.7
43508.726819,5.9
43508.726865,6.1
43508.726911,4.7
43508.726958,4.5
43508.727004,4.5
43508.727050,4.9
43508.727097,4.4
43508.727143,4.5
43508.727189,4.4
43508.727235,4.9
43508.727282,4.4
43508.727328,4.4
43508.727374,5.6
43508.727421,4.5
43508.727467,4.9
43508.727513,4.4
43508.727560,4.6
43508.727606,4.4
43508.727652,4.9
43508.727698,5.1
43508.727745,4.4
43508.727791,4.7
43508.727837,5.4
43508.727884,4.4
43508.727930,4.4
43508.727976,4.9
43508.728023,4.4
43508.728069,4.4
43508.728115,4.6
43508.728161,4.4
43508.728208,4.4
43508.728254,4.4
43508.728300,5.3
43508.728347,5.5
43508.728393,4.4
43508.728439,4.4
43508.728486,4.6
43508.728532,4.7
43508.728578,4.5
43508.728624,5.0
43508.728671,4.6
43508.728717,4.9
43508.728763,4.4
43508.728810,4.5
43508.728856,4.4
43508.728902,4.8
43508.728949,4.4
43508.728995,4.4
43508.729041,4.4
43508.729087,4.4
43508.729134,4.6
43508.729180,4.6
43508.729226,5.1
43508.729273,4.4
43508.729319,4.9
43508.729365,4.4
43508.729411,4.4
43508.729458,4.6
43508.729504,4.3
43508.729550,4.6
43508.729597,4.3
43508.729643,4.5
43508.729689,4.1
43508.729736,4.1
43508.729782,4.1
43508.729828,4.7
43508.729874,4.3
43508.729921,5.1
43508.729967,4.2
43508.730013,4.4
43508.730060,4.5
43508.730106,4.2
43508.730152,4.9
43508.730199,4.3
43508.730245,4.9
43508.730291,5.1
43508.730337,4.7
43508.730384,4.3
43508.730430,4.3
43508.730476,4.7
43508.730523,4.5
43508.730569,4.3
43508.730615,4.3
43508.730662,4.2
43508.730708,4.3
43508.730754,4.3
43508.730800,4.6
43508.730847,4.4
43508.730893,4.3
43508.730939,4.3
43508.730986,4.3
43508.731032,4.3
43508.731078,4.6
43508.731124,4.2
43508.731171,4.7
43508.731217,4.4
43508.731263,4.5
43508.731310,4.2
43508.731356,4.3
43508.731402,4.7
43508.731449,4.3
43508.731495,4.2
43508.731541,4.3
43508.731587,4.3
43508.731634,4.3
43508.731680,4.3
43508.731726,5.0
43508.731773,4.3
43508.731819,4.2
43508.731865,4.3
43508.731912,4.2
43508.731958,4.3
43508.732004,4.2
43508.732050,4.6
43508.732097,4.2
43508.732143,4.4
43508.732189,4.3
43508.732236,4.2
43508.732282,4.3
43508.732328,4.6
43508.732374,4.2
43508.732421,4.2
43508.732467,4.1
43508.732513,4.6
43508.732560,4.2
43508.732606,4.6
43508.732652,4.6
43508.732699,4.3
43508.732745,4.2
43508.732791,4.2
43508.732837,4.3
43508.732884,4.6
43508.732930,4.2
43508.732976,4.6
43508.733023,4.2
43508.733069,4.2
43508.733115,4.3
43508.733162,4.2
43508.733208,4.3
43508.733254,4.2
43508.733300,4.8
43508.733347,4.1
43508.733393,4.3
43508.733439,4.3
43508.733486,4.2
43508.733532,4.3
43508.733578,4.1
43508.733624,4.3
43508.733671,4.0
43508.733717,4.1
43508.733763,4.3
43508.733810,4.1
43508.733856,4.5
43508.733902,4.7
43508.733949,4.1
43508.733995,4.1
43508.734041,4.1
43508.734087,4.2
43508.734134,4.2
43508.734180,4.1
43508.734226,4.9
43508.734273,4.1
43508.734319,4.1
43508.734365,4.1
43508.734412,4.1
43508.734458,4.1
43508.734504,4.1
43508.734550,22.4
43508.734597,4.3
43508.734643,3.6
43508.734689,3.7
43508.734736,3.7
43508.734782,3.6
43508.734828,3.6
43508.734875,3.6
43508.734921,3.6
43508.734967,3.7
43508.735013,3.6
43508.735060,4.2
43508.735106,3.6
43508.735152,4.2
43508.735199,3.6
43508.735245,3.9
43508.735291,3.7
43508.735337,3.8
43508.735384,3.6
43508.735430,3.7
43508.735476,3.5
43508.735523,4.1
43508.735569,3.7
43508.735615,3.7
43508.735662,3.6
43508.735708,4.5
43508.735754,3.6
43508.735800,3.9
43508.735847,3.7
43508.735893,3.8
43508.735939,4.4
43508.735986,3.6
43508.736032,3.9
43508.736078,3.6
43508.736125,3.6
43508.736171,3.7
43508.736217,4.0
43508.736263,3.9
43508.736310,4.1
43508.736356,3.7
43508.736402,3.6
43508.736449,3.8
43508.736495,4.1
43508.736541,3.7
43508.736588,3.7
43508.736634,3.8
43508.736680,3.8
43508.736726,3.7
43508.736773,3.7
43508.736819,3.7
43508.736865,3.8
43508.736912,3.7
43508.736958,4.1
43508.737004,3.9
43508.737050,3.6
43508.737097,3.9
43508.737143,3.7
43508.737189,3.6
43508.737236,3.7
43508.737282,3.7
43508.737328,3.7
43508.737375,3.6
43508.737421,3.7
43508.737467,4.1
43508.737513,3.7
43508.737560,3.7
43508.737606,3.7
43508.737652,3.8
43508.737699,3.7
43508.737745,3.7
43508.737791,3.7
43508.737838,3.7
43508.737884,3.7
43508.737930,4.1
43508.737976,3.7
43508.738023,3.6
43508.738069,3.7
43508.738115,3.7
43508.738162,3.7
43508.738208,3.6
43508.738254,3.7
43508.738301,3.7
43508.738347,3.7
43508.738393,3.6
43508.738439,4.0
43508.738486,3.7
43508.738532,3.7
43508.738578,3.7
43508.738625,3.6
43508.738671,3.8
43508.738717,3.9
43508.738763,3.6
43508.738810,3.7
43508.738856,3.7
43508.738902,4.0
43508.738949,3.6
43508.738995,3.7
43508.739041,3.9
43508.739088,3.7
43508.739134,3.6
43508.739180,3.3
43508.739226,3.7
43508.739273,3.7
43508.739319,3.7
43508.739365,3.4
43508.739412,4.1
43508.739458,3.6
43508.739504,3.7
43508.739551,3.7
43508.739597,3.6
43508.739643,3.7
43508.739689,3.7
43508.739736,3.6
43508.739782,3.7
43508.739828,3.7
43508.739875,3.6
43508.739921,3.9
43508.739967,3.6
43508.740014,3.7
43508.740060,3.7
43508.740106,3.7
43508.740152,3.6
43508.740199,3.7
43508.740245,3.7
43508.740291,3.6
43508.740338,3.8
43508.740384,4.0
43508.740430,3.6
43508.740476,3.7
43508.740523,3.6
43508.740569,3.7
43508.740615,3.7
43508.740662,4.0
43508.740708,3.7
43508.740754,3.7
43508.740801,3.6
43508.740847,3.7
43508.740893,3.8
43508.740939,3.8
43508.740986,3.6
43508.741032,3.7
43508.741078,3.7
43508.741125,3.7
43508.741171,3.7
43508.741217,3.7
43508.741264,3.6
43508.741310,3.7
43508.741356,3.9
43508.741402,3.7
43508.741449,3.6
43508.741495,3.7
43508.741541,3.7
43508.741588,3.6
43508.741634,3.6
43508.741680,3.7
43508.741726,3.6
43508.741773,3.6
43508.741819,3.7
43508.741865,3.9
43508.741912,3.7
43508.741958,3.6
43508.742004,3.6
43508.742051,3.6
43508.742097,3.7
43508.742143,3.9
43508.742189,3.7
43508.742236,3.7
43508.742282,3.8
43508.742328,3.6
43508.742375,3.5
43508.742421,3.6
43508.742467,3.6
43508.742514,3.5
43508.742560,3.6
43508.742606,3.5
43508.742652,3.2
43508.742699,3.4
43508.742745,3.5
43508.742791,3.3
