Time,Used
43508.721634,148324080
43508.721680,154615536
43508.721726,156712688
43508.721772,157761264
43508.721819,158809840
43508.721865,159858416
43508.721911,199704304
43508.721957,49223680
43508.722004,74389504
43508.722050,96409600
43508.722096,118429696
43508.722143,141498368
43508.722189,163518464
43508.722235,185538560
43508.722282,220141568
43508.722328,43188736
43508.722374,76743168
43508.722420,111346176
43508.722467,144900608
43508.722513,178455040
43508.722559,212009472
43508.722606,244515328
43508.722652,53643264
43508.722698,85100544
43508.722745,117606400
43508.722791,151160832
43508.722837,184715264
43508.722883,217221120
43508.722930,250775552
43508.722976,57100616
43508.723022,89606472
43508.723069,122112328
43508.723115,155666760
43508.723161,188172616
43508.723208,220678472
43508.723254,254232904
43508.723300,62819640
43508.723346,95325496
43508.723393,127831352
43508.723439,160337208
43508.723485,193891640
43508.723532,227446072
43508.723578,34877552
43508.723624,68431984
43508.723670,100937840
43508.723717,133443696
43508.723763,165949552
43508.723809,199503984
43508.723856,232009840
43508.723902,41471520
43508.723948,75025952
43508.723995,106483232
43508.724041,140037664
43508.724087,172543520
43508.724133,205049376
43508.724180,238603808
43508.724226,47250304
43508.724272,79756160
43508.724319,113310592
43508.724365,145816448
43508.724411,178322304
43508.724458,210828160
43508.724504,243334016
43508.724550,53029576
43508.724596,85535432
43508.724643,118041288
43508.724689,151595720
43508.724735,184101576
43508.724782,216607432
43508.724828,249113288
43508.724874,59690656
43508.724921,93245088
43508.724967,124702368
43508.725013,158256800
43508.725059,191811232
43508.725106,224317088
43508.725152,33926224
43508.725198,67480656
43508.725245,98937936
43508.725291,131443792
43508.725337,163949648
43508.725384,197504080
43508.725430,230009936
43508.725476,40822368
43508.725522,73328224
43508.725569,105834080
43508.725615,139388512
43508.725661,172942944
43508.725708,204400224
43508.725754,237954656
43508.725800,48646504
43508.725846,81152360
43508.725893,114706792
43508.725939,147212648
43508.725985,179718504
43508.726032,212224360
43508.726078,244730216
43508.726124,57290320
43508.726171,89796176
43508.726217,122302032
43508.726263,155856464
43508.726309,188362320
43508.726356,220868176
43508.726402,254422608
43508.726448,65973520
43508.726495,98479376
43508.726541,130985232
43508.726587,164539664
43508.726634,197045520
43508.726680,230599952
43508.726726,42415032
43508.726772,74920888
43508.726819,107426744
43508.726865,140981176
43508.726911,174535608
43508.726958,207041464
43508.727004,239547320
43508.727050,52421616
43508.727097,84927472
43508.727143,118481904
43508.727189,150987760
43508.727235,183493616
43508.727282,215999472
43508.727328,249553904
43508.727374,62006856
43508.727421,94512712
43508.727467,128067144
43508.727513,160573000
43508.727560,193078856
43508.727606,225584712
43508.727652,39395040
43508.727698,71900896
43508.727745,105455328
43508.727791,137961184
43508.727837,170467040
43508.727884,204021472
43508.727930,236527328
43508.727976,49274192
43508.728022,82828624
43508.728069,116383056
43508.728115,148888912
43508.728161,180346192
43508.728208,213900624
43508.728254,246406480
43508.728300,60196816
43508.728347,92702672
43508.728393,125208528
43508.728439,158762960
43508.728485,191268816
43508.728532,223774672
43508.728578,257329104
43508.728624,70061320
43508.728671,103615752
43508.728717,136121608
43508.728763,168627464
