Time,Used,Committed,Max
43509.498825,161229824,383778816,2036334592
43509.498869,165424128,383778816,2036334592
43509.498916,166472704,383778816,2036334592
43509.498962,168569856,383778816,2036334592
43509.499008,168569856,383778816,2036334592
43509.499055,175909888,383778816,2036334592
43509.499101,56133120,383778816,2036334592
43509.499147,79201792,383778816,2036334592
43509.499193,102270464,383778816,2036334592
43509.499240,136873472,383778816,2036334592
43509.499286,170427904,383778816,2036334592
43509.499332,203982336,383778816,2036334592
43509.499379,239633920,383778816,2036334592
43509.499425,65044992,383778816,2036334592
43509.499471,97550848,383778816,2036334592
43509.499518,130056704,383778816,2036334592
43509.499564,162562560,383778816,2036334592
43509.499610,197165568,383778816,2036334592
43509.499656,228622848,383778816,2036334592
43509.499703,36733440,383778816,2036334592
43509.499749,70287872,383778816,2036334592
43509.499795,101745152,383778816,2036334592
43509.499842,135299584,383778816,2036334592
43509.499888,168854016,383778816,2036334592
43509.499934,201359872,383778816,2036334592
43509.499981,233865728,383778816,2036334592
43509.500027,41436104,383778816,2036334592
43509.500073,74990536,383778816,2036334592
43509.500119,107496392,383778816,2036334592
43509.500166,141050824,383778816,2036334592
43509.500212,173556680,383778816,2036334592
43509.500258,207111112,383778816,2036334592
43509.500305,239616968,383778816,2036334592
43509.500351,49182368,383778816,2036334592
43509.500397,81688224,383778816,2036334592
43509.500444,114194080,383778816,2036334592
43509.500490,146699936,383778816,2036334592
43509.500536,179205792,383778816,2036334592
43509.500582,212760224,383778816,2036334592
43509.500629,245266080,383778816,2036334592
43509.500675,54814112,383778816,2036334592
43509.500721,86271392,383778816,2036334592
43509.500768,120874400,383778816,2036334592
43509.500814,152331680,383778816,2036334592
43509.500860,185886112,383778816,2036334592
43509.500907,218391968,383778816,2036334592
43509.500953,250897824,383778816,2036334592
43509.500999,60518744,383778816,2036334592
43509.501045,93024600,383778816,2036334592
43509.501092,125530456,383778816,2036334592
43509.501138,158036312,383778816,2036334592
43509.501184,190542168,383778816,2036334592
43509.501231,224096600,383778816,2036334592
43509.501277,257651032,383778816,2036334592
43509.501323,66093568,383778816,2036334592
43509.501369,98599424,383778816,2036334592
43509.501416,132153856,383778816,2036334592
43509.501462,164659712,383778816,2036334592
43509.501508,198214144,383778816,2036334592
43509.501555,229671424,383778816,2036334592
43509.501601,38350496,383778816,2036334592
43509.501647,70856352,383778816,2036334592
43509.501694,104410784,383778816,2036334592
43509.501740,136916640,383778816,2036334592
43509.501786,170471072,383778816,2036334592
43509.501832,202976928,383778816,2036334592
43509.501879,236531360,383778816,2036334592
43509.501925,44883952,383778816,2036334592
43509.501971,78438384,383778816,2036334592
43509.502018,110944240,383778816,2036334592
43509.502064,143450096,383778816,2036334592
43509.502110,175955952,383778816,2036334592
43509.502157,208461808,383778816,2036334592
43509.502203,242016240,383778816,2036334592
43509.502249,51777856,383778816,2036334592
43509.502295,84283712,383778816,2036334592
43509.502342,117838144,383778816,2036334592
43509.502388,149295424,383778816,2036334592
43509.502434,182849856,383778816,2036334592
43509.502481,215355712,383778816,2036334592
43509.502527,248910144,383778816,2036334592
43509.502573,59562400,383778816,2036334592
43509.502619,92068256,383778816,2036334592
43509.502666,124574112,383778816,2036334592
43509.502712,158128544,383778816,2036334592
43509.502758,190634400,383778816,2036334592
43509.502805,223140256,383778816,2036334592
43509.502851,256694688,383778816,2036334592
43509.502897,67364416,383778816,2036334592
43509.502944,99870272,383778816,2036334592
43509.502990,133424704,383778816,2036334592
43509.503036,165930560,383778816,2036334592
43509.503082,199484992,383778816,2036334592
43509.503129,231990848,383778816,2036334592
43509.503175,43751520,383778816,2036334592
43509.503221,76257376,383778816,2036334592
43509.503268,109811808,383778816,2036334592
43509.503314,142317664,383778816,2036334592
43509.503360,174823520,383778816,2036334592
43509.503407,208377952,383778816,2036334592
43509.503453,240883808,383778816,2036334592
43509.503499,51413376,383778816,2036334592
43509.503545,84967808,383778816,2036334592
43509.503592,118522240,383778816,2036334592
43509.503638,151028096,383778816,2036334592
43509.503684,183533952,383778816,2036334592
43509.503731,217088384,383778816,2036334592
43509.503777,248545664,383778816,2036334592
43509.503823,62181416,383778816,2036334592
43509.503870,93638696,383778816,2036334592
43509.503916,127193128,383778816,2036334592
43509.503962,160747560,383778816,2036334592
43509.504008,193253416,383778816,2036334592
43509.504055,224710696,383778816,2036334592
43509.504101,258265128,383778816,2036334592
43509.504147,70986688,383778816,2036334592
43509.504194,104541120,383778816,2036334592
43509.504240,137046976,383778816,2036334592
43509.504286,170601408,383778816,2036334592
43509.504333,203107264,383778816,2036334592
43509.504379,236661696,383778816,2036334592
43509.504425,49741024,383778816,2036334592
43509.504471,82246880,383778816,2036334592
43509.504518,114752736,383778816,2036334592
43509.504564,148307168,383778816,2036334592
43509.504610,181861600,383778816,2036334592
43509.504657,213318880,383778816,2036334592
43509.504703,246873312,383778816,2036334592
43509.504749,59308304,383778816,2036334592
43509.504796,91814160,383778816,2036334592
43509.504842,124320016,383778816,2036334592
43509.504888,158923024,383778816,2036334592
43509.504934,190380304,383778816,2036334592
43509.504981,223934736,383778816,2036334592
43509.505027,256440592,383778816,2036334592
43509.505073,70243192,383778816,2036334592
43509.505120,102749048,383778816,2036334592
43509.505166,136303480,383778816,2036334592
43509.505212,168809336,383778816,2036334592
43509.505259,201315192,383778816,2036334592
43509.505305,233821048,383778816,2036334592
43509.505351,46871024,383778816,2036334592
43509.505397,79376880,383778816,2036334592
43509.505444,112931312,383778816,2036334592
43509.505490,145437168,383778816,2036334592
43509.505536,178991600,383778816,2036334592
43509.505583,210448880,383778816,2036334592
43509.505629,244003312,383778816,2036334592
43509.505675,57496208,383778816,2036334592
43509.505721,90002064,383778816,2036334592
43509.505768,122507920,383778816,2036334592
43509.505814,156062352,383778816,2036334592
43509.505860,188568208,383778816,2036334592
43509.505907,221074064,383778816,2036334592
43509.505953,254628496,383778816,2036334592
43509.505999,66002944,383778816,2036334592
43509.506046,98508800,383778816,2036334592
43509.506092,131014656,383778816,2036334592
43509.506138,163520512,383778816,2036334592
43509.506184,198123520,383778816,2036334592
43509.506231,230629376,383778816,2036334592
43509.506277,43375616,383778816,2036334592
43509.506323,74832896,383778816,2036334592
43509.506370,108387328,383778816,2036334592
43509.506416,141941760,383778816,2036334592
43509.506462,173399040,383778816,2036334592
43509.506509,205904896,383778816,2036334592
43509.506555,239459328,383778816,2036334592
43509.506601,51159040,383778816,2036334592
43509.506647,84713472,383778816,2036334592
43509.506694,117219328,383778816,2036334592
43509.506740,149725184,383778816,2036334592
43509.506786,183279616,383778816,2036334592
43509.506833,215785472,383778816,2036334592
43509.506879,249339904,383778816,2036334592
43509.506925,61342648,383778816,2036334592
43509.506972,93848504,383778816,2036334592
43509.507018,126354360,383778816,2036334592
43509.507064,159908792,383778816,2036334592
43509.507110,192414648,383778816,2036334592
43509.507157,225969080,383778816,2036334592
43509.507203,258474936,383778816,2036334592
43509.507249,70497232,383778816,2036334592
43509.507296,104051664,383778816,2036334592
43509.507342,136557520,383778816,2036334592
43509.507388,169063376,383778816,2036334592
43509.507434,201569232,383778816,2036334592
43509.507481,235123664,383778816,2036334592
43509.507527,46805216,383778816,2036334592
43509.507573,80359648,383778816,2036334592
43509.507620,112865504,383778816,2036334592
43509.507666,145371360,383778816,2036334592
43509.507712,179974368,383778816,2036334592
43509.507759,212480224,383778816,2036334592
43509.507805,244986080,383778816,2036334592
43509.507851,56378712,383778816,2036334592
43509.507897,90981720,383778816,2036334592
43509.507944,123487576,383778816,2036334592
43509.507990,157042008,383778816,2036334592
43509.508036,189547864,383778816,2036334592
43509.508083,222053720,383778816,2036334592
43509.508129,255608152,383778816,2036334592
43509.508175,68352232,383778816,2036334592
43509.508222,100858088,383778816,2036334592
43509.508268,133363944,383778816,2036334592
43509.508314,165869800,383778816,2036334592
43509.508360,199424232,383778816,2036334592
43509.508407,231930088,383778816,2036334592
43509.508453,43311104,383778816,2036334592
43509.508499,77914112,383778816,2036334592
43509.508546,110419968,383778816,2036334592
43509.508592,143974400,383778816,2036334592
43509.508638,176480256,383778816,2036334592
