Time,Used,Committed,Max,Threshold
43509.514535,112197632,216006656,-1,-1
43509.514580,116391936,216006656,-1,-1
43509.514626,116391936,216006656,-1,-1
43509.514672,117440512,216006656,-1,-1
43509.514718,118489088,216006656,-1,-1
43509.514765,119537664,216006656,-1,-1
43509.514811,122683392,216006656,-1,-1
43509.514857,122683392,216006656,-1,-1
43509.514904,123731968,216006656,-1,-1
43509.514950,124780544,216006656,-1,-1
43509.514996,196083712,216006656,-1,-1
43509.515043,26214400,212860928,-1,-1
43509.515089,61865984,212860928,-1,-1
43509.515135,97517568,212860928,-1,-1
43509.515181,132120576,212860928,-1,-1
43509.515228,165675008,212860928,-1,-1
43509.515274,200278016,212860928,-1,-1
43509.515320,37748736,239075328,-1,-1
43509.515367,71303168,239075328,-1,-1
43509.515413,103809024,239075328,-1,-1
43509.515459,137363456,239075328,-1,-1
43509.515506,170917888,239075328,-1,-1
43509.515552,203423744,239075328,-1,-1
43509.515598,13631488,239075328,-1,-1
43509.515644,46137344,239075328,-1,-1
43509.515691,80740352,239075328,-1,-1
43509.515737,113246208,239075328,-1,-1
43509.515783,146800640,239075328,-1,-1
43509.515830,179306496,239075328,-1,-1
43509.515876,212860928,239075328,-1,-1
43509.515922,23068672,239075328,-1,-1
43509.515969,55574528,239075328,-1,-1
43509.516015,89128960,239075328,-1,-1
43509.516061,121634816,239075328,-1,-1
43509.516107,155189248,239075328,-1,-1
43509.516154,186646528,239075328,-1,-1
43509.516200,220200960,239075328,-1,-1
43509.516246,28311552,239075328,-1,-1
43509.516293,61865984,239075328,-1,-1
43509.516339,95420416,239075328,-1,-1
43509.516385,127926272,239075328,-1,-1
43509.516431,161480704,239075328,-1,-1
43509.516478,193986560,239075328,-1,-1
43509.516524,226492416,239075328,-1,-1
43509.516570,34603008,238026752,-1,-1
43509.516617,67108864,238026752,-1,-1
43509.516663,100663296,238026752,-1,-1
43509.516709,133169152,238026752,-1,-1
43509.516756,166723584,238026752,-1,-1
43509.516802,199229440,238026752,-1,-1
43509.516848,8388608,238026752,-1,-1
43509.516894,41943040,238026752,-1,-1
43509.516941,74448896,238026752,-1,-1
43509.516987,106954752,238026752,-1,-1
43509.517033,140509184,238026752,-1,-1
43509.517080,173015040,238026752,-1,-1
43509.517126,205520896,238026752,-1,-1
43509.517172,14680064,238026752,-1,-1
43509.517219,48234496,238026752,-1,-1
43509.517265,80740352,238026752,-1,-1
