Time,Used,Committed,Max,Threshold
43509.514535,25165824,25165824,-1,-1
43509.514580,25165824,25165824,-1,-1
43509.514626,25165824,25165824,-1,-1
43509.514672,25165824,25165824,-1,-1
43509.514718,25165824,25165824,-1,-1
43509.514765,25165824,25165824,-1,-1
43509.514811,25165824,25165824,-1,-1
43509.514857,25165824,25165824,-1,-1
43509.514904,25165824,25165824,-1,-1
43509.514950,25165824,25165824,-1,-1
43509.514996,25165824,25165824,-1,-1
43509.515043,20971520,20971520,-1,-1
43509.515089,20971520,20971520,-1,-1
43509.515135,20971520,20971520,-1,-1
43509.515181,20971520,20971520,-1,-1
43509.515228,20971520,20971520,-1,-1
43509.515274,20971520,20971520,-1,-1
43509.515320,2097152,2097152,-1,-1
43509.515367,2097152,2097152,-1,-1
43509.515413,2097152,2097152,-1,-1
43509.515459,2097152,2097152,-1,-1
43509.515506,2097152,2097152,-1,-1
43509.515552,2097152,2097152,-1,-1
43509.515598,2097152,2097152,-1,-1
43509.515644,2097152,2097152,-1,-1
43509.515691,2097152,2097152,-1,-1
43509.515737,2097152,2097152,-1,-1
43509.515783,2097152,2097152,-1,-1
43509.515830,2097152,2097152,-1,-1
43509.515876,2097152,2097152,-1,-1
43509.515922,2097152,2097152,-1,-1
43509.515969,2097152,2097152,-1,-1
43509.516015,2097152,2097152,-1,-1
43509.516061,2097152,2097152,-1,-1
43509.516107,2097152,2097152,-1,-1
43509.516154,2097152,2097152,-1,-1
43509.516200,2097152,2097152,-1,-1
43509.516246,2097152,2097152,-1,-1
43509.516293,2097152,2097152,-1,-1
43509.516339,2097152,2097152,-1,-1
43509.516385,2097152,2097152,-1,-1
43509.516431,2097152,2097152,-1,-1
43509.516478,2097152,2097152,-1,-1
43509.516524,2097152,2097152,-1,-1
43509.516570,3145728,3145728,-1,-1
43509.516617,3145728,3145728,-1,-1
43509.516663,3145728,3145728,-1,-1
43509.516709,3145728,3145728,-1,-1
43509.516756,3145728,3145728,-1,-1
43509.516802,3145728,3145728,-1,-1
43509.516848,3145728,3145728,-1,-1
43509.516894,3145728,3145728,-1,-1
43509.516941,3145728,3145728,-1,-1
43509.516987,3145728,3145728,-1,-1
43509.517033,3145728,3145728,-1,-1
43509.517080,3145728,3145728,-1,-1
43509.517126,3145728,3145728,-1,-1
43509.517172,3145728,3145728,-1,-1
43509.517219,3145728,3145728,-1,-1
43509.517265,3145728,3145728,-1,-1
43509.517311,3145728,3145728,-1,-1
43509.517357,3145728,3145728,-1,-1
43509.517404,3145728,3145728,-1,-1
43509.517450,3145728,3145728,-1,-1
43509.517496,4194304,4194304,-1,-1
43509.517543,4194304,4194304,-1,-1
43509.517589,4194304,4194304,-1,-1
43509.517635,4194304,4194304,-1,-1
43509.517682,4194304,4194304,-1,-1
43509.517728,4194304,4194304,-1,-1
43509.517774,4194304,4194304,-1,-1
43509.517820,4194304,4194304,-1,-1
43509.517867,4194304,4194304,-1,-1
43509.517913,4194304,4194304,-1,-1
43509.517959,4194304,4194304,-1,-1
43509.518006,4194304,4194304,-1,-1
43509.518052,4194304,4194304,-1,-1
43509.518098,5242880,5242880,-1,-1
43509.518144,5242880,5242880,-1,-1
43509.518191,5242880,5242880,-1,-1
43509.518237,5242880,5242880,-1,-1
43509.518283,5242880,5242880,-1,-1
43509.518330,5242880,5242880,-1,-1
43509.518376,5242880,5242880,-1,-1
43509.518422,5242880,5242880,-1,-1
43509.518469,5242880,5242880,-1,-1
43509.518515,5242880,5242880,-1,-1
43509.518561,5242880,5242880,-1,-1
43509.518607,5242880,5242880,-1,-1
43509.518654,5242880,5242880,-1,-1
43509.518700,5242880,5242880,-1,-1
43509.518746,5242880,5242880,-1,-1
43509.518793,5242880,5242880,-1,-1
43509.518839,5242880,5242880,-1,-1
43509.518885,5242880,5242880,-1,-1
43509.518932,5242880,5242880,-1,-1
43509.518978,5242880,5242880,-1,-1
43509.519024,5242880,5242880,-1,-1
