Time,CPU Usage
43509.514580,6.7
43509.514626,5.4
43509.514672,2.6
43509.514719,1.8
43509.514765,3.0
43509.514811,2.3
43509.514858,2.6
43509.514904,4.9
43509.514950,2.1
43509.514996,25.3
43509.515043,22.1
43509.515089,14.3
43509.515135,15.2
43509.515182,14.5
43509.515228,9.1
43509.515274,12.8
43509.515320,24.7
43509.515367,8.6
43509.515413,6.7
43509.515459,22.0
43509.515506,7.3
43509.515552,5.9
43509.515598,7.1
43509.515645,7.6
43509.515691,5.4
43509.515737,5.2
43509.515783,5.6
43509.515830,5.6
43509.515876,5.9
43509.515922,4.8
43509.515969,4.9
43509.516015,6.1
43509.516061,6.1
43509.516108,4.8
43509.516154,4.6
43509.516200,5.4
43509.516246,4.8
43509.516293,5.3
43509.516339,4.8
43509.516385,4.9
43509.516432,4.7
43509.516478,4.7
43509.516524,4.8
43509.516570,4.8
43509.516617,4.6
43509.516663,4.8
43509.516709,5.1
43509.516756,4.8
43509.516802,4.7
43509.516848,4.9
43509.516895,5.0
43509.516941,4.7
43509.516987,4.6
43509.517033,4.7
43509.517080,4.7
43509.517126,4.8
43509.517172,4.9
43509.517219,6.8
43509.517265,4.8
43509.517311,4.8
43509.517358,4.6
43509.517404,4.8
43509.517450,4.7
43509.517496,4.9
43509.517543,4.7
43509.517589,6.1
43509.517635,5.0
43509.517682,4.9
43509.517728,4.9
43509.517774,4.7
43509.517821,4.8
43509.517867,4.6
43509.517913,4.6
43509.517959,4.6
43509.518006,4.8
43509.518052,4.6
43509.518098,4.6
43509.518145,4.2
43509.518191,4.5
43509.518237,4.0
43509.518283,4.5
43509.518330,4.1
43509.518376,4.7
43509.518422,4.3
43509.518469,4.3
43509.518515,4.2
43509.518561,4.2
43509.518608,4.9
43509.518654,4.6
43509.518700,4.8
43509.518746,4.9
43509.518793,4.5
43509.518839,4.6
43509.518885,4.6
43509.518932,4.7
43509.518978,4.6
43509.519024,4.7
43509.519071,4.9
43509.519117,4.6
43509.519163,4.6
43509.519209,4.4
43509.519256,4.4
43509.519302,4.3
43509.519348,5.1
43509.519395,4.4
43509.519441,4.3
43509.519487,4.4
43509.519533,4.3
43509.519580,4.7
43509.519626,4.0
43509.519672,4.9
43509.519719,4.1
43509.519765,4.1
43509.519811,5.0
43509.519858,4.7
43509.519904,4.2
43509.519950,4.1
43509.519996,4.7
43509.520043,4.3
43509.520089,4.1
43509.520135,4.3
43509.520182,4.6
43509.520228,4.6
43509.520274,5.0
43509.520321,5.1
43509.520367,4.6
43509.520413,4.6
43509.520459,4.6
43509.520506,5.2
43509.520552,4.9
43509.520598,4.8
43509.520645,4.4
43509.520691,4.6
43509.520737,4.6
43509.520783,4.7
43509.520830,4.6
43509.520876,4.5
43509.520922,5.1
43509.520969,4.5
43509.521015,4.5
43509.521061,4.6
43509.521108,4.5
43509.521154,4.6
43509.521200,4.7
43509.521246,4.9
43509.521293,5.4
43509.521339,4.5
43509.521385,4.3
43509.521432,4.9
43509.521478,4.6
43509.521524,5.0
43509.521571,4.6
43509.521617,4.6
43509.521663,6.1
43509.521709,4.6
43509.521756,4.6
43509.521802,4.5
43509.521848,5.0
43509.521895,4.5
43509.521941,4.6
43509.521987,4.6
43509.522034,4.6
43509.522080,4.7
43509.522126,4.5
43509.522172,5.1
43509.522219,4.6
43509.522265,4.6
43509.522311,4.5
43509.522358,4.4
43509.522404,4.4
43509.522450,5.1
43509.522497,4.4
43509.522543,4.5
43509.522589,4.6
43509.522635,4.6
43509.522682,4.8
43509.522728,4.4
43509.522774,5.4
43509.522821,4.5
43509.522867,5.4
43509.522913,4.6
43509.522959,4.5
43509.523006,4.5
43509.523052,4.6
43509.523098,4.9
43509.523145,4.6
43509.523191,4.6
43509.523237,5.4
43509.523284,4.6
43509.523330,5.6
43509.523376,5.1
43509.523422,4.9
43509.523469,4.5
43509.523515,4.6
43509.523561,5.4
43509.523608,4.6
43509.523654,4.6
43509.523700,4.9
43509.523747,4.6
43509.523793,4.8
43509.523839,4.6
43509.523885,4.6
43509.523932,4.5
43509.523978,4.6
43509.524024,4.9
43509.524071,5.1
43509.524117,4.6
43509.524163,4.5
43509.524210,4.8
43509.524256,4.5
43509.524302,4.9
43509.524348,4.5
43509.524395,4.6
43509.524441,4.5
43509.524487,4.6
43509.524534,4.5
43509.524580,4.5
43509.524626,5.3
43509.524672,4.2
43509.524719,4.5
43509.524765,4.4
43509.524811,4.4
43509.524858,4.3
43509.524904,4.4
43509.524950,4.7
43509.524997,4.4
43509.525043,4.7
43509.525089,4.6
43509.525135,4.5
43509.525182,4.4
43509.525228,4.5
43509.525274,4.7
43509.525321,4.4
43509.525367,4.5
43509.525413,4.7
43509.525460,4.6
43509.525506,4.3
43509.525552,4.9
43509.525598,4.4
43509.525645,3.9
43509.525691,4.1
43509.525737,4.3
43509.525784,4.6
43509.525830,4.6
43509.525876,4.8
43509.525922,4.4
43509.525969,4.5
43509.526015,4.6
43509.526061,4.5
43509.526108,4.5
43509.526154,4.6
43509.526200,4.9
43509.526247,4.6
43509.526293,4.3
43509.526339,4.4
43509.526386,4.6
43509.526432,4.6
43509.526478,4.9
43509.526524,4.4
43509.526571,4.5
43509.526617,4.4
43509.526663,4.5
43509.526710,4.1
43509.526756,4.5
43509.526802,5.1
43509.526848,4.8
43509.526895,4.6
43509.526941,4.9
43509.526987,4.6
43509.527034,4.7
43509.527080,4.5
43509.527126,4.9
43509.527173,4.5
43509.527219,4.5
43509.527265,4.4
43509.527311,6.5
43509.527358,21.3
43509.527404,4.1
43509.527450,4.0
43509.527497,4.3
43509.527543,4.5
43509.527589,4.1
43509.527636,4.0
43509.527682,4.1
43509.527728,3.9
43509.527774,3.8
43509.527821,3.7
