Time,Used,Committed,Max
43509.514535,146341920,383778816,2036334592
43509.514580,152633376,383778816,2036334592
43509.514626,152633376,383778816,2036334592
43509.514672,153681952,383778816,2036334592
43509.514718,154730528,383778816,2036334592
43509.514765,155779104,383778816,2036334592
43509.514811,158924832,383778816,2036334592
43509.514857,158924832,383778816,2036334592
43509.514904,159973408,383778816,2036334592
43509.514950,161021984,383778816,2036334592
43509.514996,232325152,383778816,2036334592
43509.515043,68542976,383778816,2036334592
43509.515089,104194560,383778816,2036334592
43509.515135,139846144,383778816,2036334592
43509.515181,174449152,383778816,2036334592
43509.515228,208003584,383778816,2036334592
43509.515274,241558016,383778816,2036334592
43509.515320,69206016,383778816,2036334592
43509.515367,102760448,383778816,2036334592
43509.515413,135266304,383778816,2036334592
43509.515459,168820736,383778816,2036334592
43509.515506,202375168,383778816,2036334592
43509.515552,234881024,383778816,2036334592
43509.515598,44842824,383778816,2036334592
43509.515644,77348680,383778816,2036334592
43509.515691,111951688,383778816,2036334592
43509.515737,144457544,383778816,2036334592
43509.515783,178011976,383778816,2036334592
43509.515830,210517832,383778816,2036334592
43509.515876,244072264,383778816,2036334592
43509.515922,54104544,383778816,2036334592
43509.515969,86610400,383778816,2036334592
43509.516015,120164832,383778816,2036334592
43509.516061,152670688,383778816,2036334592
43509.516107,186225120,383778816,2036334592
43509.516154,217682400,383778816,2036334592
43509.516200,251236832,383778816,2036334592
43509.516246,59668832,383778816,2036334592
43509.516293,93223264,383778816,2036334592
43509.516339,126777696,383778816,2036334592
43509.516385,159283552,383778816,2036334592
43509.516431,191789408,383778816,2036334592
43509.516478,225343840,383778816,2036334592
43509.516524,257849696,383778816,2036334592
43509.516570,66323928,383778816,2036334592
43509.516617,98829784,383778816,2036334592
43509.516663,132384216,383778816,2036334592
43509.516709,164890072,383778816,2036334592
43509.516756,198444504,383778816,2036334592
43509.516802,230950360,383778816,2036334592
43509.516848,40581616,383778816,2036334592
43509.516894,74136048,383778816,2036334592
43509.516941,106641904,383778816,2036334592
43509.516987,138099184,383778816,2036334592
43509.517033,172702192,383778816,2036334592
43509.517080,205208048,383778816,2036334592
43509.517126,237713904,383778816,2036334592
43509.517172,47185920,383778816,2036334592
43509.517219,80740352,383778816,2036334592
43509.517265,113246208,383778816,2036334592
43509.517311,145752064,383778816,2036334592
43509.517357,178257920,383778816,2036334592
43509.517404,211812352,383778816,2036334592
43509.517450,244318208,383778816,2036334592
43509.517496,54055296,383778816,2036334592
43509.517543,87609728,383778816,2036334592
43509.517589,120115584,383778816,2036334592
43509.517635,151572864,383778816,2036334592
43509.517682,186175872,383778816,2036334592
43509.517728,218681728,383778816,2036334592
43509.517774,251187584,383778816,2036334592
43509.517820,60756624,383778816,2036334592
43509.517867,94311056,383778816,2036334592
43509.517913,126816912,383778816,2036334592
43509.517959,160371344,383778816,2036334592
43509.518006,193925776,383778816,2036334592
43509.518052,226431632,383778816,2036334592
43509.518098,37253840,383778816,2036334592
43509.518144,68711120,383778816,2036334592
43509.518191,102265552,383778816,2036334592
43509.518237,134771408,383778816,2036334592
43509.518283,168325840,383778816,2036334592
43509.518330,201880272,383778816,2036334592
43509.518376,234386128,383778816,2036334592
43509.518422,44858688,383778816,2036334592
43509.518469,79461696,383778816,2036334592
43509.518515,110918976,383778816,2036334592
43509.518561,144473408,383778816,2036334592
43509.518607,176979264,383778816,2036334592
43509.518654,210533696,383778816,2036334592
43509.518700,243039552,383778816,2036334592
43509.518746,54525952,383778816,2036334592
43509.518793,87031808,383778816,2036334592
43509.518839,119537664,383778816,2036334592
43509.518885,153092096,383778816,2036334592
43509.518932,185597952,383778816,2036334592
43509.518978,219152384,383778816,2036334592
43509.519024,251658240,383778816,2036334592
43509.519070,63648192,383778816,2036334592
43509.519117,97202624,383778816,2036334592
43509.519163,128659904,383778816,2036334592
43509.519209,163262912,383778816,2036334592
43509.519256,194720192,383778816,2036334592
43509.519302,228274624,383778816,2036334592
43509.519348,39845888,383778816,2036334592
43509.519395,73400320,383778816,2036334592
43509.519441,106954752,383778816,2036334592
43509.519487,140509184,383778816,2036334592
43509.519533,173015040,383778816,2036334592
43509.519580,205520896,383778816,2036334592
43509.519626,239075328,383778816,2036334592
43509.519672,49854112,383778816,2036334592
43509.519719,83408544,383778816,2036334592
43509.519765,115914400,383778816,2036334592
43509.519811,149468832,383778816,2036334592
43509.519857,181974688,383778816,2036334592
43509.519904,215529120,383778816,2036334592
43509.519950,248034976,383778816,2036334592
43509.519996,60861200,383778816,2036334592
43509.520043,94415632,383778816,2036334592
43509.520089,126921488,383778816,2036334592
43509.520135,160475920,383778816,2036334592
43509.520182,192981776,383778816,2036334592
43509.520228,226536208,383778816,2036334592
43509.520274,38976640,383778816,2036334592
43509.520320,71482496,383778816,2036334592
43509.520367,105036928,383778816,2036334592
43509.520413,137542784,383778816,2036334592
43509.520459,171097216,383778816,2036334592
43509.520506,203603072,383778816,2036334592
43509.520552,236108928,383778816,2036334592
43509.520598,49908264,383778816,2036334592
43509.520645,82414120,383778816,2036334592
43509.520691,115968552,383778816,2036334592
43509.520737,147425832,383778816,2036334592
43509.520783,180980264,383778816,2036334592
43509.520830,214534696,383778816,2036334592
43509.520876,248089128,383778816,2036334592
43509.520922,60100864,383778816,2036334592
43509.520969,93655296,383778816,2036334592
43509.521015,126161152,383778816,2036334592
43509.521061,158667008,383778816,2036334592
43509.521107,192221440,383778816,2036334592
43509.521154,224727296,383778816,2036334592
43509.521200,258281728,383778816,2036334592
43509.521246,70723960,383778816,2036334592
43509.521293,103229816,383778816,2036334592
43509.521339,136784248,383778816,2036334592
43509.521385,169290104,383778816,2036334592
43509.521432,201795960,383778816,2036334592
43509.521478,236398968,383778816,2036334592
43509.521524,48404192,383778816,2036334592
43509.521570,81958624,383778816,2036334592
43509.521617,115513056,383778816,2036334592
43509.521663,146970336,383778816,2036334592
43509.521709,181573344,383778816,2036334592
43509.521756,214079200,383778816,2036334592
43509.521802,246585056,383778816,2036334592
43509.521848,59005096,383778816,2036334592
43509.521895,91510952,383778816,2036334592
43509.521941,125065384,383778816,2036334592
43509.521987,157571240,383778816,2036334592
43509.522033,190077096,383778816,2036334592
43509.522080,224680104,383778816,2036334592
43509.522126,256137384,383778816,2036334592
43509.522172,69912376,383778816,2036334592
43509.522219,103466808,383778816,2036334592
43509.522265,135972664,383778816,2036334592
43509.522311,168478520,383778816,2036334592
43509.522358,202032952,383778816,2036334592
43509.522404,234538808,383778816,2036334592
43509.522450,48312920,383778816,2036334592
43509.522496,80818776,383778816,2036334592
43509.522543,114373208,383778816,2036334592
43509.522589,146879064,383778816,2036334592
43509.522635,179384920,383778816,2036334592
43509.522682,212939352,383778816,2036334592
43509.522728,245445208,383778816,2036334592
43509.522774,58197224,383778816,2036334592
43509.522821,91751656,383778816,2036334592
43509.522867,124257512,383778816,2036334592
43509.522913,156763368,383778816,2036334592
43509.522959,190317800,383778816,2036334592
43509.523006,223872232,383778816,2036334592
43509.523052,256378088,383778816,2036334592
43509.523098,69847040,383778816,2036334592
43509.523145,102352896,383778816,2036334592
43509.523191,135907328,383778816,2036334592
43509.523237,168413184,383778816,2036334592
43509.523283,201967616,383778816,2036334592
43509.523330,234473472,383778816,2036334592
43509.523376,46157312,383778816,2036334592
43509.523422,78663168,383778816,2036334592
43509.523469,112217600,383778816,2036334592
43509.523515,145772032,383778816,2036334592
43509.523561,178277888,383778816,2036334592
43509.523608,211832320,383778816,2036334592
43509.523654,244338176,383778816,2036334592
43509.523700,57366528,383778816,2036334592
43509.523746,89872384,383778816,2036334592
43509.523793,123426816,383778816,2036334592
43509.523839,155932672,383778816,2036334592
43509.523885,189487104,383778816,2036334592
43509.523932,221992960,383778816,2036334592
43509.523978,255547392,383778816,2036334592
43509.524024,69067776,383778816,2036334592
43509.524071,101573632,383778816,2036334592
43509.524117,134079488,383778816,2036334592
43509.524163,167633920,383778816,2036334592
43509.524209,199091200,383778816,2036334592
43509.524256,233694208,383778816,2036334592
43509.524302,45367296,383778816,2036334592
43509.524348,77873152,383778816,2036334592
43509.524395,111427584,383778816,2036334592
43509.524441,143933440,383778816,2036334592
43509.524487,176439296,383778816,2036334592
43509.524534,208945152,383778816,2036334592
43509.524580,243548160,383778816,2036334592
43509.524626,55241728,383778816,2036334592
43509.524672,86699008,383778816,2036334592
43509.524719,120253440,383778816,2036334592
43509.524765,154856448,383778816,2036334592
43509.524811,186313728,383778816,2036334592
43509.524858,218819584,383778816,2036334592
43509.524904,252374016,383778816,2036334592
43509.524950,64061952,383778816,2036334592
43509.524996,96567808,383778816,2036334592
43509.525043,131170816,383778816,2036334592
43509.525089,163676672,383778816,2036334592
43509.525135,196182528,383778816,2036334592
43509.525182,229736960,383778816,2036334592
43509.525228,263291392,383778816,2036334592
43509.525274,75304536,383778816,2036334592
43509.525321,107810392,383778816,2036334592
43509.525367,141364824,383778816,2036334592
43509.525413,173870680,383778816,2036334592
43509.525459,207425112,383778816,2036334592
43509.525506,240979544,383778816,2036334592
43509.525552,53698688,383778816,2036334592
43509.525598,86204544,383778816,2036334592
43509.525645,118710400,383778816,2036334592
43509.525691,152264832,383778816,2036334592
43509.525737,184770688,383778816,2036334592
43509.525784,218325120,383778816,2036334592
43509.525830,250830976,383778816,2036334592
43509.525876,63269888,383778816,2036334592
43509.525922,95775744,383778816,2036334592
43509.525969,129330176,383778816,2036334592
43509.526015,161836032,383778816,2036334592
43509.526061,195390464,383778816,2036334592
43509.526108,227896320,383778816,2036334592
43509.526154,261450752,383778816,2036334592
43509.526200,73141248,383778816,2036334592
43509.526246,105647104,383778816,2036334592
43509.526293,140250112,383778816,2036334592
43509.526339,172755968,383778816,2036334592
43509.526385,206310400,383778816,2036334592
43509.526432,237767680,383778816,2036334592
43509.526478,49743568,383778816,2036334592
43509.526524,84346576,383778816,2036334592
43509.526571,116852432,383778816,2036334592
43509.526617,149358288,383778816,2036334592
43509.526663,182912720,383778816,2036334592
43509.526710,216467152,383778816,2036334592
43509.526756,247924432,383778816,2036334592
43509.526802,61712184,383778816,2036334592
43509.526848,94218040,383778816,2036334592
43509.526895,126723896,383778816,2036334592
43509.526941,160278328,383778816,2036334592
43509.526987,193832760,383778816,2036334592
43509.527034,226338616,383778816,2036334592
43509.527080,258844472,383778816,2036334592
43509.527126,72631816,383778816,2036334592
43509.527172,105137672,383778816,2036334592
43509.527219,138692104,383778816,2036334592
43509.527265,171197960,383778816,2036334592
43509.527311,214189576,383778816,2036334592
43509.527358,199999440,383778816,2036334592
43509.527404,222019536,383778816,2036334592
43509.527450,244039632,383778816,2036334592
43509.527497,266059728,383778816,2036334592
43509.527543,68009680,383778816,2036334592
43509.527589,88981200,383778816,2036334592
43509.527635,111001296,383778816,2036334592
43509.527682,133021392,383778816,2036334592
43509.527728,153992912,383778816,2036334592
43509.527774,176013008,383778816,2036334592
43509.527821,196984528,383778816,2036334592
43509.527867,219004624,383778816,2036334592
43509.527913,241024720,383778816,2036334592
43509.527960,263044816,383778816,2036334592
