Time,Used,Committed,Max,Threshold
43509.514535,72830552,79949824,-1,0
43509.514580,73133728,80211968,-1,0
43509.514626,73257768,80474112,-1,0
43509.514672,73379584,80474112,-1,0
43509.514718,73457680,80736256,-1,0
43509.514765,73529816,80736256,-1,0
43509.514811,73883408,80998400,-1,0
43509.514857,74034544,81260544,-1,0
43509.514904,74173768,81522688,-1,0
43509.514950,74206696,81522688,-1,0
43509.514996,83083712,91484160,-1,0
43509.515043,83620624,92008448,-1,0
43509.515089,83768400,92008448,-1,0
43509.515135,83871880,92270592,-1,0
43509.515181,83912504,92270592,-1,0
43509.515228,83965288,92270592,-1,0
43509.515274,83984904,92270592,-1,0
43509.515320,84009816,92270592,-1,0
43509.515367,84046680,92270592,-1,0
43509.515413,84052104,92270592,-1,0
43509.515459,84054328,92270592,-1,0
43509.515506,84067352,92270592,-1,0
43509.515552,84072720,92270592,-1,0
43509.515598,84090752,92532736,-1,0
43509.515644,84093112,92532736,-1,0
43509.515691,84096248,92532736,-1,0
43509.515737,84121144,92532736,-1,0
43509.515783,84127928,92532736,-1,0
43509.515830,84130528,92532736,-1,0
43509.515876,84140992,92532736,-1,0
43509.515922,84154528,92532736,-1,0
43509.515969,84176888,92532736,-1,0
43509.516015,84185712,92532736,-1,0
43509.516061,84194512,92532736,-1,0
43509.516107,84197184,92532736,-1,0
43509.516154,84197184,92532736,-1,0
43509.516200,84197616,92532736,-1,0
43509.516246,84198928,92532736,-1,0
43509.516293,84205136,92532736,-1,0
43509.516339,84205920,92532736,-1,0
43509.516385,84207312,92532736,-1,0
43509.516431,84221016,92532736,-1,0
43509.516478,84221016,92532736,-1,0
43509.516524,84224064,92532736,-1,0
43509.516570,84231224,92532736,-1,0
43509.516617,84232608,92532736,-1,0
43509.516663,84237992,92532736,-1,0
43509.516709,84266848,92532736,-1,0
43509.516756,84269520,92532736,-1,0
43509.516802,84271488,92532736,-1,0
43509.516848,84271488,92532736,-1,0
43509.516894,84273712,92532736,-1,0
43509.516941,84273712,92532736,-1,0
43509.516987,84273712,92532736,-1,0
43509.517033,84279576,92532736,-1,0
43509.517080,84284632,92532736,-1,0
43509.517126,84294704,92532736,-1,0
43509.517172,84300464,92532736,-1,0
43509.517219,84303880,92532736,-1,0
43509.517265,84306376,92532736,-1,0
43509.517311,84312488,92532736,-1,0
43509.517357,84314808,92532736,-1,0
43509.517404,84318296,92532736,-1,0
43509.517450,84354064,92532736,-1,0
43509.517496,84354064,92532736,-1,0
43509.517543,84355856,92532736,-1,0
43509.517589,84356360,92532736,-1,0
43509.517635,84357224,92532736,-1,0
43509.517682,84362640,92532736,-1,0
43509.517728,84362640,92532736,-1,0
43509.517774,84362640,92532736,-1,0
43509.517820,84362640,92532736,-1,0
43509.517867,84362640,92532736,-1,0
43509.517913,84362640,92532736,-1,0
43509.517959,84362640,92532736,-1,0
43509.518006,84362960,92532736,-1,0
43509.518052,84363368,92532736,-1,0
43509.518098,84363368,92532736,-1,0
43509.518144,84364664,92532736,-1,0
43509.518191,84365632,92532736,-1,0
43509.518237,84367464,92532736,-1,0
43509.518283,84367464,92532736,-1,0
43509.518330,84367464,92532736,-1,0
43509.518376,84367464,92532736,-1,0
43509.518422,84367464,92532736,-1,0
43509.518469,84368032,92532736,-1,0
43509.518515,84368032,92532736,-1,0
43509.518561,84369640,92532736,-1,0
43509.518607,84375936,92794880,-1,0
43509.518654,84381752,92794880,-1,0
43509.518700,84384104,92794880,-1,0
43509.518746,84384976,92794880,-1,0
43509.518793,84392024,92794880,-1,0
43509.518839,84392872,92794880,-1,0
43509.518885,84398576,92794880,-1,0
43509.518932,84413456,92794880,-1,0
43509.518978,84419280,92794880,-1,0
43509.519024,84419280,92794880,-1,0
43509.519070,84419280,92794880,-1,0
43509.519117,84419280,92794880,-1,0
43509.519163,84419800,92794880,-1,0
43509.519209,84420208,92794880,-1,0
43509.519256,84420208,92794880,-1,0
43509.519302,84420208,92794880,-1,0
43509.519348,84420208,92794880,-1,0
43509.519395,84420208,92794880,-1,0
43509.519441,84420208,92794880,-1,0
43509.519487,84421552,92794880,-1,0
43509.519533,84421552,92794880,-1,0
43509.519580,84422416,92794880,-1,0
43509.519626,84422416,92794880,-1,0
43509.519672,84423096,92794880,-1,0
43509.519719,84423096,92794880,-1,0
43509.519765,84423096,92794880,-1,0
43509.519811,84423096,92794880,-1,0
43509.519857,84423456,92794880,-1,0
43509.519904,84423456,92794880,-1,0
43509.519950,84423456,92794880,-1,0
43509.519996,84423456,92794880,-1,0
43509.520043,84423456,92794880,-1,0
43509.520089,84423456,92794880,-1,0
43509.520135,84425944,92794880,-1,0
43509.520182,84425944,92794880,-1,0
43509.520228,84425944,92794880,-1,0
43509.520274,84429928,92794880,-1,0
43509.520320,84429928,92794880,-1,0
43509.520367,84429928,92794880,-1,0
43509.520413,84431320,92794880,-1,0
43509.520459,84446144,92794880,-1,0
43509.520506,84446144,92794880,-1,0
43509.520552,84446144,92794880,-1,0
43509.520598,84446144,92794880,-1,0
43509.520645,84446144,92794880,-1,0
43509.520691,84446144,92794880,-1,0
43509.520737,84446824,92794880,-1,0
43509.520783,84447520,92794880,-1,0
43509.520830,84448216,92794880,-1,0
43509.520876,84448216,92794880,-1,0
43509.520922,84448216,92794880,-1,0
43509.520969,84448216,92794880,-1,0
43509.521015,84448216,92794880,-1,0
43509.521061,84448216,92794880,-1,0
43509.521107,84448216,92794880,-1,0
43509.521154,84448936,92794880,-1,0
43509.521200,84448936,92794880,-1,0
43509.521246,84448936,92794880,-1,0
43509.521293,84448936,92794880,-1,0
43509.521339,84448936,92794880,-1,0
43509.521385,84448936,92794880,-1,0
43509.521432,84448936,92794880,-1,0
43509.521478,84448936,92794880,-1,0
43509.521524,84448936,92794880,-1,0
43509.521570,84448936,92794880,-1,0
43509.521617,84448936,92794880,-1,0
43509.521663,84448936,92794880,-1,0
43509.521709,84448936,92794880,-1,0
43509.521756,84448936,92794880,-1,0
43509.521802,84448936,92794880,-1,0
43509.521848,84448936,92794880,-1,0
43509.521895,84448936,92794880,-1,0
43509.521941,84449864,92794880,-1,0
43509.521987,84453456,92794880,-1,0
43509.522033,84456056,92794880,-1,0
43509.522080,84458480,92794880,-1,0
43509.522126,84458480,92794880,-1,0
43509.522172,84464232,92794880,-1,0
43509.522219,84464232,92794880,-1,0
43509.522265,84464232,92794880,-1,0
43509.522311,84464232,92794880,-1,0
43509.522358,84464232,92794880,-1,0
43509.522404,84471384,92794880,-1,0
43509.522450,84471384,92794880,-1,0
43509.522496,84471384,92794880,-1,0
43509.522543,84471384,92794880,-1,0
43509.522589,84471384,92794880,-1,0
43509.522635,84471384,92794880,-1,0
43509.522682,84471384,92794880,-1,0
43509.522728,84471384,92794880,-1,0
43509.522774,84471384,92794880,-1,0
43509.522821,84471384,92794880,-1,0
43509.522867,84471384,92794880,-1,0
43509.522913,84471384,92794880,-1,0
43509.522959,84471384,92794880,-1,0
43509.523006,84471384,92794880,-1,0
43509.523052,84471384,92794880,-1,0
43509.523098,84471384,92794880,-1,0
43509.523145,84471384,92794880,-1,0
43509.523191,84471384,92794880,-1,0
43509.523237,84471384,92794880,-1,0
43509.523283,84471384,92794880,-1,0
43509.523330,84471384,92794880,-1,0
43509.523376,84471384,92794880,-1,0
43509.523422,84471384,92794880,-1,0
43509.523469,84471384,92794880,-1,0
43509.523515,84471384,92794880,-1,0
43509.523561,84471384,92794880,-1,0
43509.523608,84471384,92794880,-1,0
43509.523654,84472344,92794880,-1,0
43509.523700,84472344,92794880,-1,0
43509.523746,84472344,92794880,-1,0
43509.523793,84472344,92794880,-1,0
43509.523839,84472344,92794880,-1,0
43509.523885,84472344,92794880,-1,0
43509.523932,84472344,92794880,-1,0
43509.523978,84472344,92794880,-1,0
43509.524024,84472344,92794880,-1,0
43509.524071,84472344,92794880,-1,0
43509.524117,84472344,92794880,-1,0
43509.524163,84472344,92794880,-1,0
43509.524209,84472344,92794880,-1,0
43509.524256,84476528,92794880,-1,0
43509.524302,84476528,92794880,-1,0
43509.524348,84476528,92794880,-1,0
43509.524395,84478368,92794880,-1,0
43509.524441,84478368,92794880,-1,0
43509.524487,84478368,92794880,-1,0
43509.524534,84478368,92794880,-1,0
