Time,Used,Committed,Max
43509.514535,96318024,105373696,-1
43509.514580,97684632,106618880,-1
43509.514626,98401912,107536384,-1
43509.514672,98917264,107929600,-1
43509.514718,99250744,108388352,-1
43509.514765,99683904,108781568,-1
43509.514811,100450840,109436928,-1
43509.514857,101017168,110092288,-1
43509.514904,101588168,110747648,-1
43509.514950,101787672,110878720,-1
43509.514996,116989088,127197184,-1
43509.515043,119805344,130211840,-1
43509.515089,121193336,131391488,-1
43509.515135,121819608,131981312,-1
43509.515181,122355840,132702208,-1
43509.515228,122771504,133029888,-1
43509.515274,123173288,133423104,-1
43509.515320,123987056,134209536,-1
43509.515367,124306552,134471680,-1
43509.515413,124529744,134668288,-1
43509.515459,124769880,134930432,-1
43509.515506,124885920,134995968,-1
43509.515552,124922952,135127040,-1
43509.515598,125100296,135520256,-1
43509.515644,122503488,135651328,-1
43509.515691,122570624,135651328,-1
43509.515737,122672296,135651328,-1
43509.515783,122763688,135651328,-1
43509.515830,122838224,135651328,-1
43509.515876,122962400,135651328,-1
43509.515922,123027648,135651328,-1
43509.515969,123133848,135651328,-1
43509.516015,123260024,135651328,-1
43509.516061,123396696,135651328,-1
43509.516107,123454280,135651328,-1
43509.516154,123454920,135651328,-1
43509.516200,123491960,135716864,-1
43509.516246,123505816,135716864,-1
43509.516293,123579864,135716864,-1
43509.516339,123647464,135716864,-1
43509.516385,123666520,135716864,-1
43509.516431,123724000,135716864,-1
43509.516478,123724768,135716864,-1
43509.516524,123746376,135716864,-1
43509.516570,123780288,135716864,-1
43509.516617,123789656,135716864,-1
43509.516663,123844400,135782400,-1
43509.516709,123983464,135782400,-1
43509.516756,124010712,135782400,-1
43509.516802,124016648,135782400,-1
43509.516848,124021896,135782400,-1
43509.516894,124048056,135782400,-1
43509.516941,124051128,135782400,-1
43509.516987,124056888,135782400,-1
43509.517033,124084896,135782400,-1
43509.517080,124109664,135782400,-1
43509.517126,124135352,135782400,-1
43509.517172,124158136,135782400,-1
43509.517219,124252688,135913472,-1
43509.517265,124270672,135913472,-1
43509.517311,124309680,135913472,-1
43509.517357,124340288,135913472,-1
43509.517404,124366392,135913472,-1
43509.517450,124485416,135913472,-1
43509.517496,124493592,135913472,-1
