Time,Used,Committed,Max,Threshold
43509.530187,24117248,24117248,-1,-1
43509.530231,24117248,24117248,-1,-1
43509.530278,24117248,24117248,-1,-1
43509.530324,24117248,24117248,-1,-1
43509.530370,24117248,24117248,-1,-1
43509.530417,20971520,20971520,-1,-1
43509.530463,20971520,20971520,-1,-1
43509.530509,20971520,20971520,-1,-1
43509.530556,20971520,20971520,-1,-1
43509.530602,20971520,20971520,-1,-1
43509.530648,20971520,20971520,-1,-1
43509.530694,2097152,2097152,-1,-1
43509.530741,2097152,2097152,-1,-1
43509.530787,2097152,2097152,-1,-1
43509.530833,2097152,2097152,-1,-1
43509.530880,2097152,2097152,-1,-1
43509.530926,2097152,2097152,-1,-1
43509.530972,2097152,2097152,-1,-1
43509.531018,2097152,2097152,-1,-1
43509.531065,2097152,2097152,-1,-1
43509.531111,2097152,2097152,-1,-1
43509.531157,2097152,2097152,-1,-1
43509.531204,2097152,2097152,-1,-1
43509.531250,2097152,2097152,-1,-1
43509.531296,2097152,2097152,-1,-1
43509.531343,2097152,2097152,-1,-1
43509.531389,2097152,2097152,-1,-1
43509.531435,2097152,2097152,-1,-1
43509.531481,2097152,2097152,-1,-1
43509.531528,2097152,2097152,-1,-1
43509.531574,2097152,2097152,-1,-1
43509.531620,2097152,2097152,-1,-1
43509.531667,2097152,2097152,-1,-1
43509.531713,2097152,2097152,-1,-1
43509.531759,2097152,2097152,-1,-1
43509.531806,2097152,2097152,-1,-1
43509.531852,2097152,2097152,-1,-1
43509.531898,2097152,2097152,-1,-1
43509.531944,3145728,3145728,-1,-1
43509.531991,3145728,3145728,-1,-1
43509.532037,3145728,3145728,-1,-1
43509.532083,3145728,3145728,-1,-1
43509.532130,3145728,3145728,-1,-1
43509.532176,3145728,3145728,-1,-1
43509.532222,3145728,3145728,-1,-1
43509.532268,3145728,3145728,-1,-1
43509.532315,3145728,3145728,-1,-1
43509.532361,3145728,3145728,-1,-1
43509.532407,3145728,3145728,-1,-1
43509.532454,3145728,3145728,-1,-1
43509.532500,3145728,3145728,-1,-1
43509.532546,3145728,3145728,-1,-1
43509.532593,3145728,3145728,-1,-1
43509.532639,3145728,3145728,-1,-1
43509.532685,3145728,3145728,-1,-1
43509.532731,3145728,3145728,-1,-1
43509.532778,3145728,3145728,-1,-1
43509.532824,3145728,3145728,-1,-1
43509.532870,3145728,3145728,-1,-1
43509.532917,4194304,4194304,-1,-1
43509.532963,4194304,4194304,-1,-1
43509.533009,4194304,4194304,-1,-1
43509.533056,4194304,4194304,-1,-1
43509.533102,4194304,4194304,-1,-1
43509.533148,4194304,4194304,-1,-1
43509.533195,4194304,4194304,-1,-1
43509.533241,4194304,4194304,-1,-1
43509.533287,4194304,4194304,-1,-1
43509.533333,4194304,4194304,-1,-1
43509.533380,4194304,4194304,-1,-1
43509.533426,4194304,4194304,-1,-1
43509.533472,4194304,4194304,-1,-1
43509.533519,5242880,5242880,-1,-1
43509.533565,5242880,5242880,-1,-1
43509.533611,5242880,5242880,-1,-1
43509.533657,5242880,5242880,-1,-1
43509.533704,5242880,5242880,-1,-1
43509.533750,5242880,5242880,-1,-1
43509.533796,5242880,5242880,-1,-1
43509.533843,5242880,5242880,-1,-1
43509.533889,5242880,5242880,-1,-1
43509.533935,5242880,5242880,-1,-1
43509.533982,5242880,5242880,-1,-1
43509.534028,5242880,5242880,-1,-1
43509.534074,5242880,5242880,-1,-1
43509.534120,5242880,5242880,-1,-1
43509.534167,6291456,6291456,-1,-1
43509.534213,6291456,6291456,-1,-1
43509.534259,6291456,6291456,-1,-1
43509.534306,6291456,6291456,-1,-1
43509.534352,6291456,6291456,-1,-1
43509.534398,6291456,6291456,-1,-1
43509.534445,6291456,6291456,-1,-1
43509.534491,6291456,6291456,-1,-1
43509.534537,6291456,6291456,-1,-1
43509.534583,6291456,6291456,-1,-1
