Time,Used,Committed,Max
43509.545307,95828536,104456192,-1
43509.545352,97237376,106291200,-1
43509.545398,97841248,106815488,-1
43509.545445,98281576,107143168,-1
43509.545491,98825720,107798528,-1
43509.545537,99318720,108257280,-1
43509.545583,99818520,108847104,-1
43509.545630,100620264,109830144,-1
43509.545676,116611864,126541824,-1
43509.545722,118697024,128770048,-1
43509.545769,120215752,130408448,-1
43509.545815,119032176,131129344,-1
43509.545861,119731640,131457024,-1
43509.545908,120083912,131653632,-1
43509.545954,120351968,131850240,-1
43509.546000,121179912,132440064,-1
43509.546046,121528784,132702208,-1
43509.546093,121784808,132833280,-1
43509.546139,122033384,133226496,-1
43509.546185,122163152,133292032,-1
43509.546232,122239512,133357568,-1
43509.546278,121782224,133423104,-1
43509.546324,121979000,133488640,-1
43509.546371,122099416,133554176,-1
43509.546417,122243080,133619712,-1
43509.546463,122333784,133685248,-1
43509.546509,122388888,133685248,-1
43509.546556,122579144,133816320,-1
43509.546602,122651920,133816320,-1
43509.546648,122682000,133881856,-1
43509.546695,122794104,133947392,-1
43509.546741,122930976,133947392,-1
43509.546787,123020552,134012928,-1
43509.546834,123089000,134078464,-1
43509.546880,123113200,134078464,-1
43509.546926,123153008,134078464,-1
43509.546972,123240912,134078464,-1
43509.547019,123250544,134078464,-1
43509.547065,123309104,134144000,-1
43509.547111,123345736,134144000,-1
43509.547158,123426760,134209536,-1
43509.547204,123488440,134275072,-1
43509.547250,123506408,134275072,-1
43509.547296,123513064,134275072,-1
43509.547343,123565304,134275072,-1
43509.547389,123578800,134275072,-1
43509.547435,123592848,134275072,-1
43509.547482,123752400,134275072,-1
43509.547528,123769040,134340608,-1
43509.547574,123787296,134340608,-1
43509.547621,123802992,134340608,-1
43509.547667,123806552,134340608,-1
43509.547713,123825376,134340608,-1
43509.547759,123852000,134340608,-1
43509.547806,123873888,134340608,-1
43509.547852,123895408,134340608,-1
43509.547898,123908256,134340608,-1
43509.547945,123931352,134340608,-1
43509.547991,124002504,134406144,-1
43509.548037,124029872,134406144,-1
43509.548084,124070576,134668288,-1
43509.548130,124077136,134668288,-1
43509.548176,124088632,134733824,-1
43509.548222,124179392,134799360,-1
43509.548269,124221776,134799360,-1
43509.548315,124234640,134799360,-1
43509.548361,124255984,134799360,-1
43509.548408,124298088,134864896,-1
43509.548454,124332008,134864896,-1
43509.548500,124374544,134864896,-1
43509.548546,124409232,134930432,-1
43509.548593,124409232,134930432,-1
43509.548639,124411792,134930432,-1
43509.548685,124418064,134930432,-1
43509.548732,124418832,134930432,-1
43509.548778,124420880,134930432,-1
43509.548824,124445712,134995968,-1
43509.548871,124449936,134995968,-1
43509.548917,124453648,134995968,-1
43509.548963,124493016,134995968,-1
43509.549009,124514216,134995968,-1
43509.549056,124535560,134995968,-1
43509.549102,124536840,134995968,-1
43509.549148,124541320,134995968,-1
43509.549195,124541320,134995968,-1
43509.549241,124542600,134995968,-1
43509.549287,124561728,134995968,-1
43509.549334,124568728,134995968,-1
43509.549380,124593856,135061504,-1
43509.549426,124650744,135061504,-1
43509.549472,124671760,135061504,-1
43509.549519,124707648,135061504,-1
43509.549565,124716552,135061504,-1
43509.549611,124745344,135061504,-1
43509.549658,124748016,135061504,-1
43509.549704,124819936,135127040,-1
43509.549750,124838368,135127040,-1
43509.549796,124878456,135192576,-1
43509.549843,124891392,135192576,-1
43509.549889,124897152,135192576,-1
43509.549935,124898560,135192576,-1
43509.549982,124911768,135192576,-1
43509.550028,124911768,135192576,-1
43509.550074,124912536,135192576,-1
43509.550121,124912536,135192576,-1
43509.550167,124914328,135192576,-1
43509.550213,124918296,135192576,-1
43509.550259,124922584,135192576,-1
