Time,Used,Committed,Max
43509.664517,97893656,106774528,-1
43509.664562,99373576,108412928,-1
43509.664609,100020944,109264896,-1
43509.664655,100491680,109658112,-1
43509.664701,100821712,110116864,-1
43509.664748,118207328,128598016,-1
43509.664794,119729016,130170880,-1
43509.664840,121828192,131940352,-1
43509.664887,122712208,132988928,-1
43509.664933,123226536,133447680,-1
43509.664979,123623960,133840896,-1
43509.665025,124174816,134299648,-1
43509.665072,124880232,135282688,-1
43509.665118,125137264,135479296,-1
43509.665164,125480440,135806976,-1
43509.665211,125583400,135872512,-1
43509.665257,125644112,135938048,-1
43509.665303,125673224,135938048,-1
43509.665350,125881584,136069120,-1
43509.665396,123126624,136200192,-1
43509.665442,123293408,136462336,-1
43509.665488,123557408,136462336,-1
43509.665535,123655848,136462336,-1
43509.665581,123735176,136462336,-1
43509.665627,123798200,136462336,-1
43509.665674,123894200,136462336,-1
43509.665720,124125488,136527872,-1
43509.665766,124248696,136527872,-1
43509.665812,124309880,136593408,-1
43509.665859,124377664,136593408,-1
43509.665905,124394688,136658944,-1
43509.665951,124413432,136658944,-1
43509.665998,124429760,136658944,-1
43509.666044,124463400,136658944,-1
43509.666090,124483992,136658944,-1
43509.666137,124518344,136658944,-1
43509.666183,124559936,136724480,-1
43509.666229,124566720,136724480,-1
43509.666275,124590912,136724480,-1
43509.666322,124626016,136724480,-1
43509.666368,124647912,136724480,-1
43509.666414,124675512,136724480,-1
43509.666461,124830880,136724480,-1
43509.666507,124832416,136724480,-1
43509.666553,124838096,136790016,-1
43509.666600,124855760,136790016,-1
43509.666646,124860296,136790016,-1
43509.666692,124860296,136790016,-1
43509.666738,124877640,136790016,-1
43509.666785,124906960,136790016,-1
43509.666831,124929128,136790016,-1
43509.666877,124946296,136790016,-1
43509.666924,124960056,136790016,-1
43509.666970,124971712,136790016,-1
43509.667016,124997200,136790016,-1
43509.667063,125107288,136855552,-1
43509.667109,125111128,136855552,-1
43509.667155,125136544,136855552,-1
43509.667201,125244648,137117696,-1
43509.667248,125277472,137117696,-1
43509.667294,125293024,137183232,-1
43509.667340,125301856,137183232,-1
43509.667387,125304024,137183232,-1
43509.667433,125319424,137183232,-1
43509.667479,125324976,137183232,-1
43509.667525,125329040,137183232,-1
43509.667572,125332264,137183232,-1
43509.667618,125332264,137183232,-1
43509.667664,125335592,137183232,-1
43509.667711,125339048,137183232,-1
43509.667757,125339816,137183232,-1
43509.667803,125344680,137183232,-1
43509.667850,125350280,137183232,-1
43509.667896,125352200,137183232,-1
43509.667942,125386592,137183232,-1
43509.667988,125391568,137183232,-1
43509.668035,125399432,137183232,-1
43509.668081,125400840,137183232,-1
43509.668127,125403400,137183232,-1
43509.668174,125404168,137183232,-1
43509.668220,125408392,137183232,-1
43509.668266,125425160,137248768,-1
43509.668313,125441248,137248768,-1
43509.668359,125466304,137248768,-1
43509.668405,125516928,137248768,-1
43509.668451,125561696,137248768,-1
43509.668498,125563512,137248768,-1
43509.668544,125597168,137248768,-1
43509.668590,125613864,137248768,-1
43509.668637,125621528,137248768,-1
43509.668683,125659064,137248768,-1
43509.668729,125680632,137248768,-1
43509.668776,125723576,137248768,-1
43509.668822,125726904,137248768,-1
43509.668868,125726904,137248768,-1
43509.668914,125735992,137248768,-1
43509.668961,125738320,137248768,-1
43509.669007,125738320,137248768,-1
43509.669053,125750224,137248768,-1
43509.669100,125761360,137248768,-1
43509.669146,125779792,137314304,-1
43509.669192,125781328,137314304,-1
43509.669238,125788176,137314304,-1
43509.669285,125811312,137314304,-1
43509.669331,125811312,137314304,-1
43509.669377,125877552,137379840,-1
43509.669424,125892656,137379840,-1
43509.669470,125919024,137379840,-1
43509.669516,125921328,137379840,-1
43509.669563,125932976,137379840,-1
43509.669609,125932976,137379840,-1
43509.669655,125932976,137379840,-1
43509.669701,125960752,137445376,-1
43509.669748,125968560,137445376,-1
43509.669794,125968560,137445376,-1
43509.669840,125980952,137445376,-1
43509.669887,125991192,137445376,-1
43509.669933,126030528,137445376,-1
43509.669979,126030528,137445376,-1
43509.670026,126055848,137445376,-1
43509.670072,126065576,137445376,-1
43509.670118,126069544,137445376,-1
43509.670164,126073128,137445376,-1
43509.670211,126117272,137445376,-1
43509.670257,126118040,137445376,-1
43509.670303,126118040,137445376,-1
43509.670350,126123416,137445376,-1
43509.670396,126125080,137445376,-1
43509.670442,126137120,137445376,-1
43509.670489,126139712,137445376,-1
43509.670535,126140608,137445376,-1
43509.670581,126146440,137445376,-1
43509.670627,126147720,137445376,-1
43509.670674,126161032,137510912,-1
43509.670720,126168368,137510912,-1
43509.670766,126173032,137510912,-1
43509.670813,126178080,137510912,-1
43509.670859,126181408,137510912,-1
43509.670905,126185888,137510912,-1
43509.670952,126202968,137510912,-1
43509.670998,126212696,137510912,-1
43509.671044,126256088,137576448,-1
43509.671090,126256984,137576448,-1
43509.671137,126256984,137576448,-1
43509.671183,126269400,137576448,-1
43509.671229,126270552,137576448,-1
43509.671276,126274392,137576448,-1
43509.671322,126277208,137576448,-1
43509.671368,126278232,137576448,-1
43509.671415,126282952,137576448,-1
43509.671461,126284488,137576448,-1
43509.671507,126284488,137576448,-1
43509.671553,126295112,137576448,-1
43509.671600,126299208,137576448,-1
43509.671646,126300488,137576448,-1
43509.671692,126339344,137576448,-1
43509.671739,126351504,137576448,-1
43509.671785,126377864,137576448,-1
43509.671831,126377864,137576448,-1
43509.671877,126397784,137576448,-1
43509.671924,126432472,137641984,-1
43509.671970,126432472,137641984,-1
43509.672016,126436184,137641984,-1
43509.672063,126436184,137641984,-1
43509.672109,126448336,137641984,-1
43509.672155,126451664,137641984,-1
43509.672202,126457400,137641984,-1
43509.672248,126457400,137641984,-1
43509.672294,126457400,137641984,-1
43509.672340,126457400,137641984,-1
43509.672387,126457400,137641984,-1
43509.672433,126457400,137641984,-1
43509.672479,126457400,137641984,-1
43509.672526,126462776,137641984,-1
43509.672572,126462776,137641984,-1
43509.672618,126475576,137641984,-1
43509.672665,126477368,137641984,-1
43509.672711,126477368,137641984,-1
43509.672757,126477368,137641984,-1
43509.672803,126477368,137641984,-1
43509.672850,126479288,137641984,-1
43509.672896,126479288,137641984,-1
43509.672942,126479288,137641984,-1
43509.672989,126481592,137641984,-1
43509.673035,126510264,137707520,-1
43509.673081,126526264,137707520,-1
43509.673128,126530168,137707520,-1
43509.673174,126560632,137707520,-1
43509.673220,126560632,137707520,-1
43509.673266,126560632,137707520,-1
43509.673313,126562040,137707520,-1
43509.673359,126589816,137773056,-1
43509.673405,126598776,137773056,-1
43509.673452,126598776,137773056,-1
43509.673498,126599672,137773056,-1
43509.673544,126599672,137773056,-1
43509.673590,126600440,137773056,-1
43509.673637,126648952,137838592,-1
43509.673683,126648952,137838592,-1
43509.673729,126648952,137838592,-1
43509.673776,126649848,137838592,-1
43509.673822,126649848,137838592,-1
43509.673868,126649848,137838592,-1
43509.673915,126649848,137838592,-1
43509.673961,126649848,137838592,-1
43509.674007,126649848,137838592,-1
43509.674053,126652408,137838592,-1
43509.674100,126667384,137838592,-1
43509.674146,126673328,137838592,-1
43509.674192,126673328,137838592,-1
43509.674239,126673328,137838592,-1
43509.674285,126678072,137838592,-1
43509.674331,126678072,137838592,-1
43509.674378,126688216,137838592,-1
43509.674424,126688216,137838592,-1
43509.674470,126701136,137838592,-1
43509.674516,126701136,137838592,-1
43509.674563,126701136,137838592,-1
43509.674609,126707536,137838592,-1
43509.674655,126707536,137838592,-1
43509.674702,126713552,137838592,-1
43509.674748,126713552,137838592,-1
43509.674794,126713552,137838592,-1
43509.674841,126713552,137838592,-1
43509.674887,126725456,137904128,-1
43509.674933,126725536,137904128,-1
43509.674979,126730016,137904128,-1
43509.675026,126730016,137904128,-1
