Time,Used,Committed,Max,Threshold
43508.766921,24117248,24117248,-1,-1
43508.766967,24117248,24117248,-1,-1
43508.767013,24117248,24117248,-1,-1
43508.767059,24117248,24117248,-1,-1
43508.767106,24117248,24117248,-1,-1
43508.767152,24117248,24117248,-1,-1
43508.767198,22020096,22020096,-1,-1
43508.767244,22020096,22020096,-1,-1
43508.767291,22020096,22020096,-1,-1
43508.767337,22020096,22020096,-1,-1
43508.767383,22020096,22020096,-1,-1
43508.767430,22020096,22020096,-1,-1
43508.767476,2097152,2097152,-1,-1
43508.767522,2097152,2097152,-1,-1
43508.767569,2097152,2097152,-1,-1
43508.767615,2097152,2097152,-1,-1
43508.767661,2097152,2097152,-1,-1
43508.767707,2097152,2097152,-1,-1
43508.767754,2097152,2097152,-1,-1
43508.767800,1048576,1048576,-1,-1
43508.767846,1048576,1048576,-1,-1
43508.767893,1048576,1048576,-1,-1
43508.767939,1048576,1048576,-1,-1
43508.767985,1048576,1048576,-1,-1
43508.768032,1048576,1048576,-1,-1
43508.768078,1048576,1048576,-1,-1
43508.768124,1048576,1048576,-1,-1
43508.768170,1048576,1048576,-1,-1
43508.768217,1048576,1048576,-1,-1
43508.768263,1048576,1048576,-1,-1
43508.768309,1048576,1048576,-1,-1
43508.768356,1048576,1048576,-1,-1
43508.768402,1048576,1048576,-1,-1
43508.768448,1048576,1048576,-1,-1
43508.768495,1048576,1048576,-1,-1
43508.768541,1048576,1048576,-1,-1
43508.768587,1048576,1048576,-1,-1
43508.768633,1048576,1048576,-1,-1
43508.768680,1048576,1048576,-1,-1
43508.768726,1048576,1048576,-1,-1
43508.768772,1048576,1048576,-1,-1
43508.768819,1048576,1048576,-1,-1
43508.768865,1048576,1048576,-1,-1
43508.768911,1048576,1048576,-1,-1
43508.768957,1048576,1048576,-1,-1
43508.769004,1048576,1048576,-1,-1
43508.769050,1048576,1048576,-1,-1
43508.769096,1048576,1048576,-1,-1
43508.769143,1048576,1048576,-1,-1
43508.769189,1048576,1048576,-1,-1
43508.769235,1048576,1048576,-1,-1
43508.769282,1048576,1048576,-1,-1
43508.769328,1048576,1048576,-1,-1
43508.769374,1048576,1048576,-1,-1
43508.769420,1048576,1048576,-1,-1
43508.769467,1048576,1048576,-1,-1
43508.769513,1048576,1048576,-1,-1
43508.769559,1048576,1048576,-1,-1
43508.769606,1048576,1048576,-1,-1
43508.769652,1048576,1048576,-1,-1
43508.769698,1048576,1048576,-1,-1
43508.769745,1048576,1048576,-1,-1
43508.769791,1048576,1048576,-1,-1
43508.769837,1048576,1048576,-1,-1
43508.769883,1048576,1048576,-1,-1
43508.769930,1048576,1048576,-1,-1
