Time,Used,Committed,Max,Threshold
43508.766921,73762240,81010688,-1,0
43508.766967,73958744,81272832,-1,0
43508.767013,74120848,81272832,-1,0
43508.767059,74261000,81534976,-1,0
43508.767106,74289624,81534976,-1,0
43508.767152,82853936,90841088,-1,0
43508.767198,84014672,92282880,-1,0
43508.767244,84127344,92282880,-1,0
43508.767291,84347952,92545024,-1,0
43508.767337,84455984,92545024,-1,0
43508.767383,84474744,92807168,-1,0
43508.767430,84515504,92807168,-1,0
43508.767476,84550560,92807168,-1,0
43508.767522,84599720,92807168,-1,0
43508.767569,84635272,92807168,-1,0
43508.767615,84686840,93069312,-1,0
43508.767661,84702568,93069312,-1,0
43508.767707,84716072,93069312,-1,0
43508.767754,84727320,93069312,-1,0
43508.767800,84742352,93069312,-1,0
43508.767846,84747816,93069312,-1,0
43508.767893,84778088,93069312,-1,0
43508.767939,84790808,93069312,-1,0
43508.767985,84791472,93069312,-1,0
43508.768032,84794928,93069312,-1,0
43508.768078,84798760,93069312,-1,0
43508.768124,84801200,93069312,-1,0
43508.768170,84803024,93069312,-1,0
43508.768217,84815312,93069312,-1,0
43508.768263,84821712,93069312,-1,0
43508.768309,84822144,93069312,-1,0
43508.768356,84824808,93069312,-1,0
43508.768402,84826528,93069312,-1,0
43508.768448,84830904,93069312,-1,0
43508.768495,84838328,93069312,-1,0
43508.768541,84839248,93069312,-1,0
43508.768587,84840496,93069312,-1,0
43508.768633,84875752,93069312,-1,0
43508.768680,84875752,93069312,-1,0
43508.768726,84881032,93069312,-1,0
43508.768772,84882424,93069312,-1,0
43508.768819,84882912,93069312,-1,0
43508.768865,84882912,93069312,-1,0
43508.768911,84883072,93069312,-1,0
43508.768957,84883072,93069312,-1,0
43508.769004,84887440,93069312,-1,0
43508.769050,84893624,93331456,-1,0
43508.769096,84903152,93331456,-1,0
43508.769143,84908608,93331456,-1,0
43508.769189,84916064,93331456,-1,0
43508.769235,84919344,93331456,-1,0
43508.769282,84922000,93331456,-1,0
43508.769328,84923840,93331456,-1,0
43508.769374,84953496,93331456,-1,0
43508.769420,84959608,93331456,-1,0
43508.769467,84960952,93331456,-1,0
43508.769513,84963672,93331456,-1,0
43508.769559,84964176,93331456,-1,0
43508.769606,84964176,93331456,-1,0
43508.769652,84966448,93331456,-1,0
43508.769698,84966448,93331456,-1,0
43508.769745,84966448,93331456,-1,0
43508.769791,84967384,93331456,-1,0
43508.769837,84967752,93331456,-1,0
43508.769883,84967752,93331456,-1,0
43508.769930,84968200,93331456,-1,0
43508.769976,84969472,93331456,-1,0
43508.770022,84969472,93331456,-1,0
43508.770069,84969904,93331456,-1,0
43508.770115,84974144,93331456,-1,0
43508.770161,84974768,93331456,-1,0
43508.770208,84975976,93331456,-1,0
43508.770254,84975976,93331456,-1,0
43508.770300,84975976,93331456,-1,0
43508.770346,84975976,93331456,-1,0
43508.770393,84977256,93331456,-1,0
43508.770439,84977256,93331456,-1,0
43508.770485,84980808,93331456,-1,0
43508.770532,84982664,93331456,-1,0
43508.770578,84988376,93331456,-1,0
43508.770624,84993216,93331456,-1,0
43508.770670,84995488,93331456,-1,0
43508.770717,85002320,93331456,-1,0
43508.770763,85002688,93331456,-1,0
43508.770809,85003232,93331456,-1,0
43508.770856,85016120,93331456,-1,0
43508.770902,85016480,93331456,-1,0
43508.770948,85022872,93331456,-1,0
43508.770995,85023352,93331456,-1,0
43508.771041,85023864,93331456,-1,0
43508.771087,85023864,93331456,-1,0
43508.771133,85024272,93331456,-1,0
43508.771180,85024272,93331456,-1,0
43508.771226,85024272,93331456,-1,0
43508.771272,85024272,93331456,-1,0
43508.771319,85024272,93331456,-1,0
43508.771365,85024272,93331456,-1,0
43508.771411,85025616,93331456,-1,0
43508.771458,85025616,93331456,-1,0
43508.771504,85025616,93331456,-1,0
43508.771550,85025616,93331456,-1,0
43508.771596,85026136,93331456,-1,0
43508.771643,85030280,93331456,-1,0
43508.771689,85030280,93331456,-1,0
43508.771735,85030280,93331456,-1,0
43508.771782,85030280,93331456,-1,0
43508.771828,85030960,93331456,-1,0
43508.771874,85030960,93331456,-1,0
43508.771920,85030960,93331456,-1,0
43508.771967,85030960,93331456,-1,0
43508.772013,85030960,93331456,-1,0
43508.772059,85030960,93331456,-1,0
43508.772106,85034768,93331456,-1,0
43508.772152,85034768,93331456,-1,0
43508.772198,85034768,93331456,-1,0
43508.772245,85039336,93331456,-1,0
43508.772291,85039336,93331456,-1,0
43508.772337,85039952,93331456,-1,0
43508.772383,85057848,93331456,-1,0
43508.772430,85057848,93331456,-1,0
43508.772476,85057848,93331456,-1,0
43508.772522,85057848,93331456,-1,0
43508.772569,85057848,93331456,-1,0
43508.772615,85057848,93331456,-1,0
43508.772661,85057848,93331456,-1,0
43508.772708,85057848,93331456,-1,0
43508.772754,85061368,93331456,-1,0
43508.772800,85062560,93331456,-1,0
43508.772846,85062560,93331456,-1,0
43508.772893,85062560,93331456,-1,0
43508.772939,85062560,93331456,-1,0
43508.772985,85062560,93331456,-1,0
43508.773032,85062560,93331456,-1,0
43508.773078,85062560,93331456,-1,0
43508.773124,85063240,93331456,-1,0
43508.773170,85063936,93331456,-1,0
43508.773217,85064632,93331456,-1,0
43508.773263,85064632,93331456,-1,0
43508.773309,85065352,93331456,-1,0
