Time,Used,Committed,Max
43508.766921,99316960,108453888,-1
43508.766967,100222624,109174784,-1
43508.767013,100944968,109961216,-1
43508.767059,101434440,110616576,-1
43508.767106,101697032,110878720,-1
43508.767152,113524728,123396096,-1
43508.767198,118935184,129163264,-1
43508.767244,120015120,130146304,-1
43508.767291,121682432,131850240,-1
43508.767337,122650944,132702208,-1
43508.767383,123146952,133423104,-1
43508.767430,123672072,133947392,-1
43508.767476,124303056,134537216,-1
43508.767522,124925232,135127040,-1
43508.767569,125219544,135389184,-1
43508.767615,125705384,135782400,-1
43508.767661,125870144,136175616,-1
43508.767707,125949240,136241152,-1
43508.767754,126081552,136372224,-1
43508.767800,126167984,136568832,-1
43508.767846,123064712,136568832,-1
43508.767893,123284680,136568832,-1
43508.767939,123480568,136568832,-1
43508.767985,123506960,136568832,-1
43508.768032,123560336,136568832,-1
43508.768078,123712568,136568832,-1
43508.768124,123772048,136634368,-1
43508.768170,123810480,136634368,-1
43508.768217,123885616,136634368,-1
43508.768263,124004016,136634368,-1
43508.768309,124052960,136634368,-1
43508.768356,124082888,136634368,-1
43508.768402,124094208,136634368,-1
43508.768448,124122264,136634368,-1
43508.768495,124161432,136634368,-1
43508.768541,124168624,136634368,-1
43508.768587,124211216,136634368,-1
43508.768633,124357320,136634368,-1
43508.768680,124362824,136634368,-1
43508.768726,124394088,136634368,-1
43508.768772,124402264,136634368,-1
43508.768819,124408512,136634368,-1
43508.768865,124429504,136699904,-1
43508.768911,124439264,136699904,-1
43508.768957,124471264,136699904,-1
43508.769004,124489840,136699904,-1
43508.769050,124515528,136962048,-1
43508.769096,124535376,136962048,-1
43508.769143,124554528,136962048,-1
43508.769189,124583360,136962048,-1
43508.769235,124595728,136962048,-1
43508.769282,124615408,136962048,-1
43508.769328,124629792,136962048,-1
43508.769374,124730104,136962048,-1
43508.769420,124762968,136962048,-1
43508.769467,124773016,136962048,-1
43508.769513,124861752,137027584,-1
43508.769559,124868016,137027584,-1
43508.769606,124868016,137027584,-1
43508.769652,124883856,137027584,-1
43508.769698,124883856,137027584,-1
43508.769745,124890384,137093120,-1
43508.769791,124905872,137093120,-1
43508.769837,124910776,137093120,-1
43508.769883,124913192,137093120,-1
43508.769930,124915816,137093120,-1
43508.769976,124920064,137093120,-1
43508.770022,124937824,137093120,-1
43508.770069,124942480,137093120,-1
43508.770115,124980768,137093120,-1
43508.770161,124984080,137093120,-1
43508.770208,124993224,137093120,-1
43508.770254,124993224,137093120,-1
43508.770300,124994888,137093120,-1
43508.770346,124998344,137093120,-1
43508.770393,125001544,137093120,-1
43508.770439,125001544,137093120,-1
43508.770485,125032872,137093120,-1
43508.770532,125039720,137093120,-1
43508.770578,125099960,137093120,-1
43508.770624,125131808,137158656,-1
43508.770670,125152896,137158656,-1
43508.770717,125183664,137158656,-1
43508.770763,125204384,137158656,-1
43508.770809,125208000,137158656,-1
43508.770856,125302296,137158656,-1
43508.770902,125307264,137158656,-1
43508.770948,125354944,137158656,-1
43508.770995,125362008,137158656,-1
43508.771041,125365464,137158656,-1
43508.771087,125368536,137158656,-1
43508.771133,125374576,137158656,-1
43508.771180,125374576,137158656,-1
43508.771226,125374576,137158656,-1
43508.771272,125375728,137158656,-1
43508.771319,125377520,137158656,-1
43508.771365,125379696,137158656,-1
43508.771411,125386288,137158656,-1
43508.771458,125392304,137224192,-1
43508.771504,125393840,137224192,-1
43508.771550,125396528,137224192,-1
43508.771596,125396528,137224192,-1
43508.771643,125423336,137224192,-1
43508.771689,125424104,137224192,-1
43508.771735,125427048,137224192,-1
43508.771782,125448552,137224192,-1
43508.771828,125455376,137224192,-1
43508.771874,125456784,137224192,-1
43508.771920,125472528,137224192,-1
43508.771967,125472528,137224192,-1
43508.772013,125472528,137224192,-1
43508.772059,125472528,137224192,-1
43508.772106,125498864,137224192,-1
43508.772152,125502704,137224192,-1
43508.772198,125511408,137289728,-1
43508.772245,125558472,137289728,-1
43508.772291,125559240,137289728,-1
43508.772337,125566000,137289728,-1
43508.772383,125617432,137289728,-1
43508.772430,125617432,137289728,-1
43508.772476,125620120,137289728,-1
43508.772522,125621016,137289728,-1
43508.772569,125624984,137289728,-1
43508.772615,125624984,137289728,-1
43508.772661,125639064,137289728,-1
43508.772708,125644568,137289728,-1
43508.772754,125652320,137289728,-1
43508.772800,125666048,137355264,-1
43508.772846,125671432,137355264,-1
