Time,CPU Usage
43508.766967,5.6
43508.767013,4.1
43508.767059,2.1
43508.767106,1.8
43508.767152,11.4
43508.767198,20.4
43508.767245,16.3
43508.767291,17.7
43508.767337,18.7
43508.767383,13.8
43508.767430,13.6
43508.767476,19.3
43508.767522,13.6
43508.767569,13.5
43508.767615,11.3
43508.767661,6.6
43508.767708,5.6
43508.767754,5.9
43508.767800,7.5
43508.767846,6.9
43508.767893,6.5
43508.767939,7.0
43508.767985,4.9
43508.768032,4.9
43508.768078,6.2
43508.768124,5.1
43508.768171,4.7
43508.768217,4.8
43508.768263,4.7
43508.768309,4.7
43508.768356,4.7
43508.768402,4.6
43508.768448,4.6
43508.768495,4.6
43508.768541,4.6
43508.768587,5.3
43508.768633,4.7
43508.768680,4.6
43508.768726,4.6
43508.768772,4.5
43508.768819,4.5
43508.768865,5.1
43508.768911,4.6
43508.768958,4.6
43508.769004,4.6
43508.769050,4.5
43508.769096,4.6
43508.769143,4.5
43508.769189,4.6
43508.769235,4.6
43508.769282,4.4
43508.769328,4.6
43508.769374,4.6
43508.769421,4.5
43508.769467,4.4
43508.769513,6.8
43508.769559,4.4
43508.769606,4.4
43508.769652,4.6
43508.769698,4.4
43508.769745,4.6
43508.769791,4.8
43508.769837,4.4
43508.769883,4.4
43508.769930,4.6
43508.769976,4.5
43508.770022,4.6
43508.770069,4.4
43508.770115,4.6
43508.770161,4.4
43508.770208,4.4
43508.770254,4.4
43508.770300,4.5
43508.770346,4.4
43508.770393,4.4
43508.770439,4.5
43508.770485,4.7
43508.770532,4.4
43508.770578,4.7
43508.770624,4.6
43508.770671,4.6
43508.770717,4.6
43508.770763,4.8
43508.770809,4.5
43508.770856,4.5
43508.770902,4.6
43508.770948,4.6
43508.770995,4.5
43508.771041,4.4
43508.771087,4.2
43508.771134,4.4
43508.771180,4.3
43508.771226,4.5
43508.771272,4.4
43508.771319,4.4
43508.771365,4.5
43508.771411,4.5
43508.771458,4.5
43508.771504,4.4
43508.771550,4.5
43508.771597,4.4
43508.771643,4.6
43508.771689,4.4
43508.771735,4.5
43508.771782,4.9
43508.771828,4.4
43508.771874,4.5
43508.771921,4.6
43508.771967,4.4
43508.772013,4.4
43508.772059,4.4
43508.772106,4.4
43508.772152,4.5
43508.772198,4.6
43508.772245,4.9
43508.772291,4.4
43508.772337,4.4
43508.772384,4.4
43508.772430,4.5
43508.772476,4.4
43508.772522,4.4
43508.772569,4.5
43508.772615,4.4
43508.772661,4.6
43508.772708,4.4
43508.772754,4.5
43508.772800,4.6
43508.772846,4.4
43508.772893,4.4
43508.772939,4.4
43508.772985,4.4
43508.773032,4.4
43508.773078,4.3
43508.773124,4.6
43508.773171,4.4
43508.773217,4.4
43508.773263,4.4
43508.773309,4.4
43508.773356,4.4
43508.773402,4.5
43508.773448,4.6
43508.773495,5.4
43508.773541,4.7
43508.773587,4.9
43508.773634,4.4
43508.773680,4.4
43508.773726,4.5
43508.773772,4.4
43508.773819,4.7
43508.773865,4.4
43508.773911,4.4
43508.773958,4.4
43508.774004,4.4
43508.774050,4.4
43508.774097,4.4
43508.774143,4.5
43508.774189,4.3
43508.774235,4.4
43508.774282,4.4
43508.774328,4.4
43508.774374,4.5
43508.774421,4.4
43508.774467,4.4
43508.774513,4.4
43508.774559,4.7
43508.774606,4.4
43508.774652,4.6
43508.774698,4.4
43508.774745,4.3
43508.774791,4.4
43508.774837,4.3
43508.774884,4.2
43508.774930,4.1
43508.774976,4.0
43508.775022,4.2
43508.775069,4.3
43508.775115,4.3
43508.775161,4.3
43508.775208,4.4
43508.775254,4.3
43508.775300,5.1
43508.775347,5.0
43508.775393,4.6
43508.775439,4.4
43508.775485,5.1
43508.775532,4.4
43508.775578,4.6
43508.775624,4.4
43508.775671,4.4
43508.775717,4.4
43508.775763,4.5
43508.775810,4.4
43508.775856,4.4
43508.775902,4.4
43508.775948,4.4
43508.775995,4.3
43508.776041,4.4
43508.776087,4.4
43508.776134,4.3
43508.776180,4.4
43508.776226,4.4
43508.776273,4.4
43508.776319,4.4
43508.776365,4.4
43508.776411,4.4
43508.776458,4.4
43508.776504,4.6
43508.776550,4.4
43508.776597,4.3
43508.776643,4.4
43508.776689,4.3
43508.776735,4.5
43508.776782,4.9
43508.776828,4.6
43508.776874,4.7
43508.776921,4.6
43508.776967,4.4
43508.777013,4.5
43508.777060,4.3
43508.777106,4.4
43508.777152,4.4
43508.777198,4.4
43508.777245,4.6
43508.777291,4.4
43508.777337,4.3
43508.777384,4.4
43508.777430,4.3
43508.777476,4.3
43508.777523,4.4
43508.777569,4.4
43508.777615,4.4
43508.777661,4.3
43508.777708,4.5
43508.777754,4.8
43508.777800,4.4
43508.777847,4.7
43508.777893,4.4
43508.777939,4.4
43508.777985,4.3
43508.778032,4.4
43508.778078,4.4
43508.778124,4.9
43508.778171,4.4
43508.778217,4.3
43508.778263,4.4
43508.778310,4.4
43508.778356,4.4
43508.778402,4.4
43508.778448,4.3
43508.778495,4.4
43508.778541,4.4
43508.778587,4.3
43508.778634,4.4
43508.778680,4.4
43508.778726,4.4
43508.778773,4.3
43508.778819,4.4
43508.778865,4.3
43508.778911,4.6
43508.778958,4.1
43508.779004,4.6
43508.779050,4.4
43508.779097,4.4
43508.779143,4.4
43508.779189,4.4
43508.779236,4.4
43508.779282,4.4
43508.779328,4.4
43508.779374,4.4
43508.779421,4.4
43508.779467,4.4
43508.779513,4.3
43508.779560,3.3
43508.779606,3.6
43508.779652,3.7
43508.779698,3.6
43508.779745,3.8
43508.779791,3.6
43508.779837,3.6
43508.779884,3.5
43508.779930,3.7
43508.779976,3.9
