Time,Used
43509.618004,151067032
43509.618049,155261336
43509.618095,156309912
43509.618141,158407064
43509.618188,158407064
43509.618234,159455640
43509.618280,232855960
43509.618326,70845952
43509.618373,109643264
43509.618419,144246272
43509.618465,178849280
43509.618512,213452288
43509.618558,39497216
43509.618604,75148800
43509.618651,109751808
43509.618697,143306240
43509.618743,176860672
43509.618789,211463680
43509.618836,245018112
43509.618882,54177280
43509.618928,88780288
43509.618975,121286144
43509.619021,155889152
43509.619067,189443584
43509.619114,222998016
43509.619160,256552448
43509.619206,65222368
43509.619252,97728224
43509.619299,131282656
43509.619345,164837088
43509.619391,198391520
43509.619438,231945952
43509.619484,39987552
43509.619530,73541984
43509.619577,106047840
43509.619623,139602272
43509.619669,174205280
43509.619715,206711136
43509.619762,240265568
43509.619808,48373504
43509.619854,81927936
43509.619901,115482368
43509.619947,149036800
43509.619993,182591232
43509.620039,215097088
43509.620086,249700096
43509.620132,56767296
43509.620178,90321728
43509.620225,123876160
43509.620271,156382016
43509.620317,189936448
43509.620364,224539456
43509.620410,257045312
43509.620456,65147040
43509.620502,98701472
43509.620549,132255904
43509.620595,165810336
43509.620641,198316192
43509.620688,231870624
43509.620734,40005392
43509.620780,73559824
43509.620827,107114256
43509.620873,139620112
43509.620919,174223120
43509.620965,206728976
43509.621012,240283408
43509.621058,47359984
43509.621104,80914416
43509.621151,114468848
43509.621197,148023280
43509.621243,181577712
43509.621290,214083568
43509.621336,249735152
43509.621382,55752464
43509.621428,88258320
43509.621475,121812752
43509.621521,155367184
43509.621567,188921616
43509.621614,222476048
43509.621660,256030480
43509.621706,63117584
43509.621752,96672016
43509.621799,130226448
43509.621845,162732304
43509.621891,197335312
43509.621938,229841168
43509.621984,37966232
43509.622030,70472088
43509.622077,104026520
43509.622123,137580952
43509.622169,172183960
43509.622215,204689816
43509.622262,238244248
43509.622308,44281792
43509.622354,77836224
43509.622401,111390656
43509.622447,145993664
43509.622493,178499520
43509.622540,213102528
43509.622586,246656960
43509.622632,52687696
43509.622678,86242128
43509.622725,118747984
43509.622771,153350992
43509.622817,185856848
43509.622864,220459856
43509.622910,252965712
43509.622956,60045272
43509.623003,94648280
43509.623049,127154136
43509.623095,160708568
43509.623141,194263000
43509.623188,226768856
43509.623234,33828216
43509.623280,67382648
43509.623327,100937080
43509.623373,134491512
43509.623419,168045944
43509.623465,201600376
43509.623512,235154808
43509.623558,42249360
43509.623604,75803792
43509.623651,109358224
43509.623697,142912656
43509.623743,176467088
43509.623790,208972944
43509.623836,243575952
43509.623882,50629776
43509.623928,84184208
43509.623975,117738640
43509.624021,151293072
43509.624067,184847504
43509.624114,218401936
43509.624160,251956368
43509.624206,57996000
43509.624253,91550432
43509.624299,125104864
43509.624345,158659296
43509.624391,192213728
43509.624438,225768160
43509.624484,32851824
43509.624530,66406256
43509.624577,99960688
43509.624623,134563696
43509.624669,167069552
43509.624715,200623984
43509.624762,234178416
43509.624808,41241344
43509.624854,74795776
43509.624901,108350208
43509.624947,140856064
43509.624993,175459072
43509.625040,209013504
43509.625086,241519360
43509.625132,48611264
43509.625178,83214272
43509.625225,115720128
43509.625271,149274560
43509.625317,182828992
43509.625364,216383424
43509.625410,249937856
43509.625456,57006328
43509.625503,89512184
43509.625549,124115192
43509.625595,156621048
43509.625641,191224056
43509.625688,223729912
43509.625734,31870768
43509.625780,64376624
43509.625827,98979632
43509.625873,131485488
43509.625919,166088496
43509.625966,198594352
43509.626012,232148784
43509.626058,38177536
43509.626104,72780544
43509.626151,106334976
43509.626197,139889408
43509.626243,173443840
43509.626290,206998272
43509.626336,240552704
43509.626382,47634192
43509.626428,80140048
43509.626475,113694480
43509.626521,147248912
43509.626567,180803344
43509.626614,214357776
43509.626660,247912208
43509.626706,53947696
43509.626753,88550704
43509.626799,121056560
43509.626845,155659568
43509.626891,189214000
43509.626938,221719856
43509.626984,256322864
43509.627030,63383872
43509.627077,96938304
43509.627123,129444160
43509.627169,164047168
43509.627216,196553024
43509.627262,230107456
43509.627308,38246688
43509.627354,70752544
43509.627401,105355552
43509.627447,137861408
43509.627493,171415840
43509.627540,204970272
43509.627586,239573280
43509.627632,46650960
43509.627679,79156816
43509.627725,112711248
43509.627771,146265680
43509.627817,179820112
43509.627864,213374544
43509.627910,246928976
43509.627956,54017216
43509.628003,87571648
43509.628049,121126080
43509.628095,154680512
43509.628142,188234944
43509.628188,221789376
43509.628234,255343808
43509.628280,62392704
43509.628327,95947136
43509.628373,129501568
43509.628419,163056000
43509.628466,196610432
43509.628512,230164864
43509.628558,37262656
43509.628604,69768512
43509.628651,103322944
43509.628697,136877376
43509.628743,171480384
43509.628790,203986240
43509.628836,237540672
43509.628882,43554816
43509.628929,78157824
43509.628975,111712256
43509.629021,144218112
43509.629067,178821120
43509.629114,212375552
43509.629160,245929984
43509.629206,53006680
43509.629253,85512536
43509.629299,119066968
43509.629345,152621400
43509.629392,187224408
43509.629438,219730264
43509.629484,254333272
43509.629530,60368376
43509.629577,92874232
43509.629623,127477240
43509.629669,161031672
43509.629716,194586104
43509.629762,228140536
43509.629808,35248400
43509.629855,68802832
43509.629901,102357264
43509.629947,135911696
43509.629993,169466128
43509.630040,201971984
43509.630086,236574992
43509.630132,43666032
43509.630179,77220464
43509.630225,109726320
43509.630271,144329328
43509.630317,176835184
43509.630364,211438192
43509.630410,244992624
43509.630456,52071360
43509.630503,85625792
43509.630549,118131648
43509.630595,152734656
43509.630642,176851904
43509.630688,197823424
43509.630734,219843520
43509.630780,241863616
43509.630827,36356048
