Time,Used,Committed,Max
43509.648429,100727760,109658112,-1
43509.648474,101683648,110641152,-1
43509.648521,101962160,110772224,-1
43509.648567,102158216,110968832,-1
43509.648613,102210664,111034368,-1
43509.648659,102364736,111099904,-1
43509.648706,102477664,111230976,-1
43509.648752,102583272,111558656,-1
43509.648798,118890824,128860160,-1
43509.648845,120789632,130826240,-1
43509.648891,122706240,132726784,-1
43509.648937,123345528,133251072,-1
43509.648984,123994904,133840896,-1
43509.649030,124534280,134365184,-1
43509.649076,125279592,135348224,-1
43509.649122,125695560,135741440,-1
43509.649169,126065608,136069120,-1
43509.649215,126163600,136134656,-1
43509.649261,126359616,136331264,-1
43509.649308,126471128,136396800,-1
43509.649354,123199640,136527872,-1
43509.649400,123335376,136527872,-1
43509.649446,123464200,136527872,-1
43509.649493,123584304,136527872,-1
43509.649539,123741688,136527872,-1
43509.649585,123799488,136527872,-1
43509.649632,123930096,136527872,-1
43509.649678,124005600,136527872,-1
43509.649724,124067168,136527872,-1
43509.649771,124081224,136527872,-1
43509.649817,124200696,136527872,-1
43509.649863,124283136,136593408,-1
43509.649909,124313208,136593408,-1
43509.649956,124356128,136855552,-1
43509.650002,124386824,136855552,-1
43509.650048,124413024,136855552,-1
43509.650095,124458424,136855552,-1
43509.650141,124501848,136855552,-1
43509.650187,124550920,136921088,-1
43509.650234,124563432,136921088,-1
43509.650280,124580808,136921088,-1
43509.650326,124622688,136921088,-1
43509.650372,124739008,136921088,-1
43509.650419,124740032,136921088,-1
43509.650465,124755712,136921088,-1
43509.650511,124791984,136986624,-1
43509.650558,124800512,136986624,-1
43509.650604,124802816,136986624,-1
43509.650650,124806144,136986624,-1
43509.650696,124828416,136986624,-1
43509.650743,124836496,136986624,-1
43509.650789,124840976,136986624,-1
43509.650835,124849808,136986624,-1
43509.650882,124855760,136986624,-1
43509.650928,124856528,136986624,-1
43509.650974,124858112,136986624,-1
43509.651021,124858112,136986624,-1
43509.651067,124863072,136986624,-1
43509.651113,124896736,136986624,-1
43509.651159,124896736,136986624,-1
43509.651206,124908872,136986624,-1
43509.651252,124912808,136986624,-1
43509.651298,125005632,137117696,-1
43509.651345,125011816,137117696,-1
43509.651391,125013336,137117696,-1
43509.651437,125029848,137117696,-1
43509.651484,125039264,137117696,-1
43509.651530,125079256,137117696,-1
43509.651576,125109664,137117696,-1
43509.651622,125144456,137117696,-1
