Time,CPU Usage
43481.725987,9.1
43481.726033,7.9
43481.726079,7.1
43481.726125,4.4
43481.726172,3.9
43481.726218,4.6
43481.726264,4.3
43481.726311,3.8
43481.726357,4.1
43481.726403,15.9
43481.726449,24.7
43481.726496,43.4
43481.726542,43.6
43481.726588,24.6
43481.726635,34.6
43481.726681,17.8
43481.726727,14.6
43481.726773,15.7
43481.726820,17.1
43481.726866,13.2
43481.726912,12.9
43481.726959,12.4
43481.727005,12.2
43481.727051,12.7
43481.727098,11.9
43481.727144,12.1
43481.727190,12.3
43481.727236,11.9
43481.727283,12.3
43481.727329,11.9
43481.727375,12.2
43481.727422,11.7
43481.727468,12.2
43481.727514,11.8
43481.727560,14.0
43481.727607,11.8
43481.727653,12.2
43481.727699,11.7
43481.727746,11.9
43481.727792,13.3
43481.727838,11.5
43481.727885,11.6
43481.727931,12.0
43481.727977,11.4
43481.728023,11.5
43481.728070,11.8
43481.728116,12.0
43481.728162,11.4
43481.728209,12.1
43481.728255,14.1
43481.728301,11.9
43481.728348,12.1
43481.728394,12.0
43481.728440,11.7
43481.728486,12.5
43481.728533,11.7
43481.728579,12.1
43481.728625,11.8
43481.728672,11.8
43481.728718,11.7
43481.728764,12.2
43481.728811,11.9
43481.728857,12.1
43481.728903,11.6
43481.728949,11.9
43481.728996,11.6
43481.729042,12.6
43481.729088,10.9
43481.729135,12.1
43481.729181,11.5
43481.729227,11.4
43481.729273,11.6
43481.729320,12.0
43481.729366,11.8
43481.729412,11.6
43481.729459,12.1
43481.729505,12.6
43481.729551,12.2
43481.729598,11.6
43481.729644,11.9
43481.729690,11.7
43481.729736,11.8
43481.729783,11.0
43481.729829,10.3
43481.729875,11.6
43481.729922,12.2
43481.729968,11.3
43481.730014,11.9
43481.730060,11.9
43481.730107,11.8
43481.730153,12.1
43481.730199,11.8
43481.730246,11.4
43481.730292,11.8
43481.730338,12.2
43481.730385,11.8
43481.730431,11.4
43481.730477,10.4
43481.730523,10.7
43481.730570,11.8
43481.730616,10.7
43481.730662,10.4
43481.730709,10.8
43481.730755,11.5
43481.730801,11.1
43481.730848,11.0
43481.730894,11.6
43481.730940,12.7
43481.730986,11.3
43481.731033,11.9
43481.731079,11.7
43481.731125,12.5
43481.731172,11.4
43481.731218,10.2
43481.731264,11.2
43481.731310,11.6
43481.731357,10.9
43481.731403,11.3
43481.731449,11.1
43481.731496,11.0
43481.731542,10.8
43481.731588,11.7
43481.731635,11.4
43481.731681,11.7
43481.731727,11.2
43481.731774,11.4
43481.731820,11.3
43481.731866,11.4
43481.731912,11.2
43481.731959,11.7
43481.732005,10.7
43481.732051,11.3
43481.732098,11.3
43481.732144,11.7
43481.732190,11.2
43481.732236,12.5
43481.732283,12.2
43481.732329,11.1
43481.732375,10.9
43481.732422,10.3
43481.732468,11.0
43481.732514,12.6
43481.732561,12.5
43481.732607,19.5
43481.732653,16.6
43481.732700,6.4
43481.732746,6.9
43481.732792,6.7
43481.732838,6.3
43481.732885,6.3
43481.732931,9.7
43481.732977,6.4
43481.733024,6.7
43481.733070,6.4
43481.733116,6.4
43481.733162,6.9
43481.733209,6.4
43481.733255,6.4
43481.733301,6.7
43481.733348,6.3
43481.733394,6.5
43481.733440,6.7
43481.733487,7.3
43481.733533,6.4
43481.733579,6.8
43481.733625,7.0
43481.733672,6.3
43481.733718,7.0
43481.733764,6.4
43481.733811,6.3
43481.733857,7.1
43481.733903,6.4
43481.733950,6.4
43481.733996,6.4
43481.734042,6.3
43481.734088,7.1
43481.734135,6.6
43481.734181,6.2
43481.734227,6.9
43481.734274,6.5
43481.734320,6.2
43481.734366,6.6
43481.734412,6.3
43481.734459,7.3
43481.734505,6.7
43481.734551,6.3
43481.734598,6.3
43481.734644,6.4
43481.734690,6.7
43481.734737,6.4
43481.734783,6.1
43481.734829,6.1
43481.734875,6.3
43481.734922,6.3
43481.734968,6.2
43481.735014,6.2
43481.735061,6.3
43481.735107,6.6
43481.735153,6.2
43481.735200,6.3
43481.735246,6.2
43481.735292,6.2
43481.735338,6.3
43481.735385,6.1
43481.735431,6.2
43481.735477,6.2
43481.735524,6.4
43481.735570,6.1
43481.735616,6.3
43481.735662,6.1
43481.735709,6.3
43481.735755,6.1
43481.735801,5.9
43481.735848,5.8
43481.735894,6.2
43481.735940,6.1
43481.735987,6.1
43481.736033,6.3
43481.736079,6.6
43481.736125,6.2
43481.736172,6.2
43481.736218,6.1
43481.736264,6.1
43481.736311,6.3
43481.736357,6.1
43481.736403,6.0
43481.736450,6.3
43481.736496,6.4
43481.736542,6.1
43481.736588,6.1
43481.736635,6.2
43481.736681,6.2
43481.736727,6.1
43481.736774,5.8
43481.736820,6.7
43481.736866,6.6
43481.736913,6.3
43481.736959,6.0
43481.737005,6.3
43481.737051,6.2
43481.737098,6.2
43481.737144,5.6
43481.737190,5.4
43481.737237,5.9
43481.737283,6.1
43481.737329,5.6
43481.737375,5.9
43481.737422,6.3
43481.737468,5.9
43481.737514,6.3
43481.737561,6.2
43481.737607,5.8
43481.737653,6.1
43481.737700,5.6
43481.737746,6.2
43481.737792,6.0
43481.737838,6.1
43481.737885,6.1
43481.737931,5.9
43481.737977,6.1
43481.738024,6.1
43481.738070,6.1
43481.738116,5.2
43481.738163,6.9
43481.738209,6.2
43481.738255,6.2
43481.738301,6.1
43481.738348,5.7
43481.738394,6.1
43481.738440,6.1
43481.738487,6.1
43481.738533,6.1
43481.738579,5.9
43481.738625,6.6
43481.738672,6.1
43481.738718,6.1
43481.738764,6.3
43481.738811,6.1
43481.738857,6.2
43481.738903,6.1
43481.738950,6.1
43481.738996,6.1
43481.739042,5.4
43481.739088,6.1
43481.739135,6.6
43481.739181,5.2
