Time,Used
43481.725942,140769280
43481.725986,205780992
43481.726033,51987800
43481.726079,114902360
43481.726125,177816920
43481.726171,240731480
43481.726218,84484664
43481.726264,148447800
43481.726310,211362360
43481.726357,53689840
43481.726403,179518960
43481.726449,49496928
43481.726495,171131744
43481.726542,76281856
43481.726588,193722368
43481.726634,89389056
43481.726681,203683840
43481.726727,99779728
43481.726773,208831632
43481.726820,100843680
43481.726866,209895584
43481.726912,102960336
43481.726958,212012240
43481.727005,103519536
43481.727051,212571440
43481.727097,105631688
43481.727144,213635016
43481.727190,106690560
43481.727236,215742464
43481.727283,108141056
43481.727329,218241536
43481.727375,111900672
43481.727421,222001152
43481.727468,111487920
43481.727514,220539824
43481.727560,109993472
43481.727607,220093952
43481.727653,109214208
43481.727699,219314688
43481.727746,107182080
43481.727792,217282560
43481.727838,106597376
43481.727884,216697856
43481.727931,103363648
43481.727977,213464128
43481.728023,100624896
43481.728070,210725376
43481.728116,97492032
43481.728162,207592512
43481.728208,93744328
43481.728255,205941960
43481.728301,90863864
43481.728347,200964344
43481.728394,88079872
43481.728440,197131776
43481.728486,81953896
43481.728533,192054376
43481.728579,78133248
43481.728625,188233728
43481.728671,73911616
43481.728718,184012096
43481.728764,70278656
43481.728810,179330560
43481.728857,65310720
43481.728903,174362624
43481.728949,60333568
43481.728996,169385472
43481.729042,55260752
43481.729088,165361232
43481.729134,52477440
43481.729181,162577920
43481.729227,48465800
43481.729273,158566280
43481.729320,45587848
43481.729366,155688328
43481.729412,265788808
43481.729459,151859712
43481.729505,261960192
43481.729551,148887712
43481.729597,258988192
43481.729644,147155968
43481.729690,258305024
43481.729736,146281056
43481.729783,258478688
43481.729829,144249888
43481.729875,254350368
43481.729922,142608544
43481.729968,251660448
43481.730014,138696704
43481.730060,249845760
43481.730107,135929856
43481.730153,247078912
43481.730199,133067264
43481.730246,243167744
43481.730292,129146880
43481.730338,239247360
43481.730384,125112832
43481.730431,234164736
43481.730477,120141632
43481.730523,230242112
43481.730570,115256832
43481.730616,225357312
43481.730662,112271096
43481.730709,223420152
43481.730755,110443640
43481.730801,221592696
43481.730847,107555320
43481.730894,217655800
43481.730940,104666528
43481.730986,215815584
43481.731033,101783336
43481.731079,211883816
43481.731125,97858704
43481.731172,209007760
43481.731218,92873064
43481.731264,204022120
43481.731310,89993648
43481.731357,200094128
43481.731403,86069112
43481.731449,197218168
43481.731496,83290112
43481.731542,193390592
43481.731588,79364608
43481.731634,189465088
43481.731681,76377280
43481.731727,188574912
43481.731773,75607120
43481.731820,186756176
43481.731866,73880064
43481.731912,185029120
43481.731959,72054272
43481.732005,183203328
43481.732051,70228480
43481.732097,181377536
43481.732144,68289336
43481.732190,179438392
43481.732236,66448056
43481.732283,178645688
43481.732329,65667416
43481.732375,175767896
43481.732422,58686464
43481.732468,168786944
43481.732514,56754968
43481.732560,166855448
43481.732607,212224936
43481.732653,89031488
43481.732699,171868992
43481.732746,254706496
43481.732792,113220960
43481.732838,192912736
43481.732885,273653088
43481.732931,129240576
43481.732977,208932352
43481.733023,64746520
43481.733070,142341144
43481.733116,220984344
43481.733162,74420352
43481.733209,150966400
43481.733255,227512448
43481.733301,80945640
43481.733348,156443112
43481.733394,234037736
43481.733440,87250848
43481.733486,163796896
43481.733533,242440096
43481.733579,95462832
43481.733625,173057456
43481.733672,250652080
43481.733718,103864608
43481.733764,180410656
43481.733811,258005280
43481.733857,111067776
43481.733903,187613824
43481.733949,264159872
43481.733996,116543776
43481.734042,193089824
43481.734088,270684448
43481.734135,121707520
43481.734181,198253568
43481.734227,274799616
43481.734273,125121024
43481.734320,202715648
43481.734366,53663920
43481.734412,131258544
43481.734459,207804592
43481.734505,58906944
43481.734551,134404416
43481.734598,210950464
43481.734644,62126048
43481.734690,139720672
43481.734736,217315296
43481.734783,65507560
43481.734829,141005032
43481.734875,216502504
43481.734922,64459664
43481.734968,139957136
43481.735014,215454608
43481.735061,64466520
43481.735107,141012568
43481.735153,216510040
43481.735199,64486096
43481.735246,141032144
43481.735292,216529616
43481.735338,65545720
43481.735385,143140344
43481.735431,219686392
43481.735477,69758096
43481.735523,146304144
43481.735570,222850192
43481.735616,71872144
43481.735662,150515344
43481.735709,228109968
43481.735755,78209824
43481.735801,156853024
43481.735848,234447648
43481.735894,84503536
43481.735940,162098160
43481.735986,238644208
43481.736033,88697528
43481.736079,166292152
43481.736125,242838200
43481.736172,91874960
43481.736218,168421008
43481.736264,244967056
43481.736311,93986960
43481.736357,171581584
43481.736403,249176208
43481.736449,97147536
43481.736496,171596432
43481.736542,247093904
43481.736588,95066640
43481.736635,171612688
43481.736681,247110160
43481.736727,96129888
43481.736774,172675936
43481.736820,248173408
43481.736866,97192432
43481.736912,174787056
43481.736959,251333104
43481.737005,100338184
43481.737051,177932808
43481.737098,254478856
43481.737144,103498928
43481.737190,180044976
43481.737236,257639600
43481.737283,106676800
43481.737329,184271424
43481.737375,260817472
43481.737422,110890928
43481.737468,188485552
43481.737514,265031600
43481.737561,115102832
43481.737607,192697456
43481.737653,269243504
43481.737699,119312800
43481.737746,195858848
43481.737792,273453472
43481.737838,121413736
43481.737885,197959784
43481.737931,274505832
43481.737977,123539840
43481.738024,201134464
43481.738070,278729088
43481.738116,127749344
43481.738162,205343968
43481.738209,281890016
43481.738255,131946792
43481.738301,208492840
43481.738348,58578528
43481.738394,135124576
43481.738440,211670624
43481.738486,59626456
43481.738533,137221080
43481.738579,213767128
43481.738625,63865752
43481.738672,140411800
43481.738718,218006424
43481.738764,67011264
43481.738811,143557312
43481.738857,221151936
43481.738903,71222288
43481.738949,149865488
43481.738996,229557264
43481.739042,78580736
43481.739088,157223936
