Time,Used
43481.741171,217413120
43481.741215,61522088
43481.741261,120242344
43481.741308,177914024
43481.741354,236634280
43481.741400,78964232
43481.741446,163898888
43481.741493,61128816
43481.741539,174375024
43481.741585,79590928
43481.741632,194934288
43481.741678,93596784
43481.741724,205794416
43481.741771,101490456
43481.741817,212639512
43481.741863,108834848
43481.741909,222081056
43481.741956,115619952
43481.742002,226769008
43481.742048,120877552
43481.742095,230978032
43481.742141,124054624
43481.742187,234155104
43481.742234,130371952
43481.742280,240472432
43481.742326,135624192
43481.742372,246773248
43481.742419,139651072
43481.742465,249751552
43481.742511,145519616
43481.742558,37114160
43481.742604,150360368
43481.742650,40804448
43481.742697,153002080
43481.742743,43206656
43481.742789,155404288
43481.742835,44692992
43481.742882,156890624
43481.742928,45567520
43481.742974,157765152
43481.743021,44876960
43481.743067,157074592
43481.743113,46269952
43481.743160,158467584
43481.743206,47478360
43481.743252,159675992
43481.743298,47741856
43481.743345,159939488
43481.743391,46951776
43481.743437,158100832
43481.743484,47221720
43481.743530,158370776
43481.743576,47609344
43481.743622,159806976
43481.743669,46835712
43481.743715,160081920
43481.743761,48071456
43481.743808,160269088
43481.743854,47304456
43481.743900,159502088
43481.743947,46625280
43481.743993,159871488
43481.744039,46887424
43481.744085,159085056
43481.744132,45996984
43481.744178,158194616
43481.744224,46353920
43481.744271,158551552
43481.744317,45557248
43481.744363,156706304
43481.744410,44670200
43481.744456,157916408
43481.744502,47047280
43481.744548,161342064
43481.744595,50446960
43481.744641,161596016
43481.744687,50813440
43481.744734,163011072
43481.744780,50017280
43481.744826,162214912
43481.744873,50271232
43481.744919,162468864
43481.744965,50434296
43481.745011,162631928
43481.745058,50712512
43481.745104,163958720
43481.745150,51870048
43481.745197,164067680
43481.745243,52305632
43481.745289,164503264
43481.745335,53719552
43481.745382,165917184
43481.745428,56083456
43481.745474,168281088
43481.745521,56225712
43481.745567,168423344
43481.745613,56592384
43481.745660,167741440
43481.745706,56739936
43481.745752,169986144
43481.745798,56994432
43481.745845,170240640
43481.745891,58309760
43481.745937,170507392
43481.745984,58574904
43481.746030,170772536
43481.746076,59884104
43481.746123,174178888
43481.746169,62232872
43481.746215,175479080
43481.746261,65757184
43481.746308,177954816
43481.746354,67059712
43481.746400,180305920
43481.746447,69310200
43481.746493,182556408
43481.746539,71660192
43481.746586,184906400
43481.746632,75082888
43481.746678,186231944
43481.746724,74312480
43481.746771,186510112
43481.746817,73338464
43481.746863,186584672
43481.746910,76002304
43481.746956,188199936
43481.747002,77199168
43481.747048,188348224
43481.747095,77453120
43481.747141,189650752
43481.747187,77720112
43481.747234,189917744
43481.747280,79033184
43481.747326,191230816
43481.747373,80462848
43481.747419,193709056
43481.747465,82824704
43481.747511,196070912
43481.747558,83102720
43481.747604,195300352
43481.747650,225867984
43481.747697,147403568
43481.747743,233386800
43481.747789,94313552
43481.747836,177151056
43481.747882,257891408
43481.747928,115296352
43481.747974,193939552
43481.748021,273631328
43481.748067,128944128
43481.748113,206538752
43481.748160,60976896
43481.748206,137522944
43481.748252,214068992
43481.748299,66809384
43481.748345,144404008
43481.748391,220950056
43481.748437,74635648
43481.748484,151181696
43481.748530,229824896
43481.748576,83894712
43481.748623,160440760
43481.748669,236986808
43481.748715,91455008
43481.748761,168001056
43481.748808,245595680
43481.748854,97593648
43481.748900,175188272
43481.748947,251734320
43481.748993,102880080
43481.749039,182571856
43481.749086,259117904
43481.749132,110463584
43481.749178,187009632
43481.749224,263555680
43481.749271,116570464
43481.749317,193116512
43481.749363,269662560
43481.749410,120752144
43481.749456,196249616
43481.749502,271747088
43481.749549,121648728
43481.749595,197146200
43481.749641,272643672
43481.749687,122843056
43481.749734,199389104
43481.749780,274886576
43481.749826,126063616
43481.749873,202609664
43481.749919,279155712
43481.749965,127161760
43481.750012,203707808
43481.750058,279205280
43481.750104,128193136
43481.750150,203690608
43481.750197,279188080
43481.750243,128199328
43481.750289,205793952
43481.750336,54834304
43481.750382,130331776
43481.750428,207926400
43481.750475,56953168
43481.750521,134547792
43481.750567,211093840
43481.750613,60083288
43481.750660,136629336
43481.750706,213175384
43481.750752,63265296
43481.750799,139811344
43481.750845,216357392
43481.750891,65379632
43481.750938,140877104
43481.750984,216374576
43481.751030,64349888
43481.751076,141944512
43481.751123,218490560
43481.751169,67497440
43481.751215,142994912
43481.751262,219540960
43481.751308,68581696
43481.751354,145127744
43481.751400,221673792
43481.751447,69640016
43481.751493,148283216
43481.751539,224829264
43481.751586,73848992
43481.751632,152492192
43481.751678,229038240
43481.751725,79093736
43481.751771,156688360
43481.751817,233234408
43481.751863,82253808
43481.751910,158799856
43481.751956,235345904
43481.752002,84400776
43481.752049,160946824
43481.752095,236444296
43481.752141,85436352
43481.752188,161982400
43481.752234,238528448
43481.752280,87578456
43481.752326,162027352
43481.752373,238573400
43481.752419,86532176
43481.752465,163078224
43481.752512,239624272
43481.752558,88645696
43481.752604,165191744
43481.752651,241737792
43481.752697,90761616
43481.752743,165210512
43481.752789,240707984
43481.752836,89748024
43481.752882,166294072
43481.752928,242840120
43481.752975,92877960
43481.753021,169424008
43481.753067,245970056
43481.753114,94992008
43481.753160,171538056
43481.753206,248084104
43481.753252,96072608
43481.753299,173667232
43481.753345,250213280
43481.753391,100265792
43481.753438,176811840
43481.753484,254406464
43481.753530,102411344
43481.753577,178957392
43481.753623,256552016
43481.753669,104497080
43481.753715,182091704
43481.753762,257589176
43481.753808,106621152
43481.753854,184215776
43481.753901,260761824
43481.753947,108753648
43481.753993,185299696
43481.754039,262894320
43481.754086,110832440
43481.754132,188427064
43481.754178,264973112
43481.754225,114010000
43481.754271,189507472
43481.754317,266053520
43481.754364,114023904
43481.754410,190569952
43481.754456,266067424
43481.754502,115092192
43481.754549,191638240
43481.754595,268184288
43481.754641,116140352
43481.754688,193734976
43481.754734,270281024
43481.754780,119300456
43481.754827,194797928
43481.754873,271343976
43481.754919,121413632
43481.754965,199008256
43481.755012,276602880
43481.755058,125622112
43481.755104,202168160
43481.755151,280811360
43481.755197,129832776
43481.755243,206378824
43481.755290,55413024
43481.755336,131959072
43481.755382,208505120
43481.755428,57528592
43481.755475,134074640
43481.755521,210620688
43481.755567,59642816
43481.755614,135140288
43481.755660,211686336
43481.755706,60711984
