Time,Used
43481.758786,163137752
43481.758831,223955160
43481.758877,65325568
43481.758924,126142976
43481.758970,184863232
43481.759016,244632064
43481.759062,141209328
43481.759109,226143984
43481.759155,88037040
43481.759201,215963312
43481.759248,116181504
43481.759294,231524864
43481.759340,128159104
43481.759387,240356736
43481.759433,133368256
43481.759479,244517312
43481.759525,138725888
43481.759572,248826368
43481.759618,141787184
43481.759664,34853392
43481.759711,144953872
43481.759757,38566736
43481.759803,148667216
43481.759850,42769040
43481.759896,152869520
43481.759942,44878336
43481.759988,156027392
43481.760035,50121216
43481.760081,160221696
43481.760127,54522880
43481.760174,166720512
43481.760220,61573120
43481.760266,172722176
43481.760313,63554048
43481.760359,174703104
43481.760405,63769600
43481.760451,174918656
43481.760498,65024600
43481.760544,177222232
43481.760590,65037280
43481.760637,177234912
43481.760683,67524408
43481.760729,178673464
43481.760775,66724248
43481.760822,179970456
43481.760868,69092584
43481.760914,182338792
43481.760961,70399192
43481.761007,182596824
43481.761053,70471136
43481.761100,182668768
43481.761146,70922552
43481.761192,183120184
43481.761238,71176816
43481.761285,182325872
43481.761331,69456896
43481.761377,181654528
43481.761424,70666056
43481.761470,182863688
43481.761516,71043584
43481.761563,183241216
43481.761609,72228384
43481.761655,184426016
43481.761701,73535520
43481.761748,186781728
43481.761794,75907408
43481.761840,188105040
43481.761887,77221168
43481.761933,189418800
43481.761979,77481728
43481.762025,190727936
43481.762072,78796272
43481.762118,189945328
43481.762164,78001256
43481.762211,191247464
43481.762257,79115488
43481.762303,190264544
43481.762350,78629888
43481.762396,191876096
43481.762442,78783160
43481.762488,190980792
43481.762535,79059984
43481.762581,191257616
43481.762627,79138944
43481.762674,191336576
43481.762720,79592128
43481.762766,191789760
43481.762813,79846584
43481.762859,193092792
43481.762905,80112584
43481.762951,192310216
43481.762998,79441920
43481.763044,190590976
43481.763090,78655488
43481.763137,189804544
43481.763183,77750224
43481.763229,189947856
43481.763276,79172096
43481.763322,193466880
43481.763368,82472280
43481.763414,195718488
43481.763461,84821728
43481.763507,197019360
43481.763553,86126760
43481.763600,198324392
43481.763646,86515200
43481.763692,199761408
43481.763738,88766512
43481.763785,202012720
43481.763831,91139392
43481.763877,204385600
43481.763924,92451896
43481.763970,204649528
43481.764016,93755312
43481.764063,205952944
43481.764109,95057632
43481.764155,208303840
43481.764201,97542144
43481.764248,210788352
43481.764294,99779136
43481.764340,211976768
43481.764387,101220864
43481.764433,213418496
43481.764479,103293664
43481.764526,215491296
43481.764572,105954816
43481.764618,220249600
43481.764664,109039168
43481.764711,221236800
43481.764757,110550016
43481.764803,222747648
43481.764850,111850184
43481.764896,224047816
43481.764942,112114176
43481.764989,224311808
43481.765035,112180416
43481.765081,224378048
43481.765127,112433408
43481.765174,224631040
43481.765220,111952384
43481.765266,224150016
43481.765313,71240032
43481.765359,157223264
43481.765405,242157920
43481.765451,103112560
43481.765498,182804336
43481.765544,263544688
43481.765590,120873984
43481.765637,199517184
43481.765683,55005248
43481.765729,132599872
43481.765776,210194496
43481.765822,63646208
43481.765868,142289408
43481.765914,219884032
43481.765961,73886688
43481.766007,150432736
43481.766053,225930208
43481.766100,78309872
43481.766146,154855920
43481.766192,231401968
43481.766239,84407496
43481.766285,159904968
43481.766331,236451016
43481.766377,87760888
43481.766424,164306936
43481.766470,240852984
43481.766516,92826952
43481.766563,169373000
43481.766609,245919048
43481.766655,97084240
43481.766702,172581712
43481.766748,248079184
43481.766794,99097600
43481.766840,174595072
43481.766887,251141120
43481.766933,101460992
43481.766979,176958464
43481.767026,252455936
43481.767072,102364096
43481.767118,177861568
43481.767165,252310464
43481.767211,102489584
43481.767257,177987056
43481.767303,253484528
43481.767350,103411296
43481.767396,178908768
43481.767442,255454816
43481.767489,106632704
43481.767535,184227328
43481.767581,261821952
43481.767628,110872664
43481.767674,187418712
43481.767720,263964760
43481.767766,112971120
43481.767813,190565744
43481.767859,267111792
43481.767905,116130584
43481.767952,192676632
43481.767998,269222680
43481.768044,117200576
43481.768091,192698048
43481.768137,269244096
43481.768183,116190656
43481.768229,192736704
43481.768276,268234176
43481.768322,117221736
43481.768368,192719208
43481.768415,269265256
43481.768461,117237424
43481.768507,192734896
43481.768553,269280944
43481.768600,117285112
43481.768646,193831160
43481.768692,270377208
43481.768739,119401368
43481.768785,196995992
43481.768831,273542040
43481.768878,122546176
43481.768924,199092224
43481.768970,274589696
43481.769016,124646720
43481.769063,201192768
43481.769109,278787392
43481.769155,128868848
43481.769202,206463472
43481.769248,55470568
43481.769294,132016616
43481.769341,208562664
43481.769387,57596256
43481.769433,134142304
43481.769479,210688352
43481.769526,58644312
43481.769572,136238936
43481.769618,211736408
43481.769665,60755976
43481.769711,138350600
43481.769757,214896648
43481.769804,63932608
43481.769850,141527232
43481.769896,218073280
43481.769942,68158136
43481.769989,145752760
43481.770035,223347384
43481.770081,73403232
43481.770128,149949280
43481.770174,228592480
43481.770220,77597352
43481.770267,155191976
43481.770313,232786600
43481.770359,81836216
43481.770405,159430840
43481.770452,237025464
43481.770498,86050200
43481.770544,164693400
43481.770591,242288024
43481.770637,92346768
43481.770683,168892816
43481.770729,244390288
43481.770776,93411824
43481.770822,169957872
43481.770868,248601072
43481.770915,98669728
43481.770961,175215776
43481.771007,251761824
43481.771054,101831824
43481.771100,179426448
43481.771146,257021072
43481.771192,107090896
43481.771239,184685520
43481.771285,262280144
43481.771331,111304144
43481.771378,188898768
43481.771424,265444816
43481.771470,115515520
43481.771517,193110144
43481.771563,271753344
43481.771609,120777408
43481.771655,198372032
43481.771702,274918080
43481.771748,126022472
43481.771794,203617096
